id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
c9ff424b-9974-44bf-8fe3-ef879bfe34d5,Sunset,16,3,17,8,Bronze,2.0,251.474,3,4,0,6,13,1,1,3
36eeca63-a129-4430-acef-0d9222f6308a,Lotus,8,12,22,4,Bronze,2.0,144.308,2,2,1,14,12,0,1,3
e2d37204-dec6-48f9-b9f2-2424cde32cf4,Haven,10,2,19,7,Bronze,2.0,114.083,0,3,0,11,13,0,2,2
9b5fc711-9b9a-40eb-913b-d5b3f967aa9a,Sunset,7,3,15,5,Bronze,2.0,89.75,1,4,1,13,11,0,1,3
1f4e5d4a-b28e-42a6-8096-fb80d34676b2,Abyss,14,5,18,8,Bronze,2.0,160.462,1,4,1,13,13,0,1,3
33139f5a-231b-4709-82e6-605fa9532a81,Haven,11,9,20,4,Bronze,2.0,186.818,3,5,0,9,13,1,2,2
8bd24b00-f999-4578-b0a3-ea1bd714e21d,Ascent,16,5,17,10,Bronze,2.0,196.958,4,5,1,13,11,1,2,2
89e257a8-2670-4156-a8b4-904318a06edc,Haven,9,4,22,6,Bronze,2.0,102.458,1,2,0,11,13,0,2,2
5e33a34f-1f73-4d80-9ef0-f0fe479edf31,Ascent,12,5,25,5,Bronze,2.0,141.571,3,10,0,13,15,1,2,2
b0ad034a-3941-404f-a3c7-286d6421751d,Ascent,2,0,5,1,Bronze,1.0,46.077,0,1,0,0,5,1,1,3
4fc9000b-e73f-4b94-b527-c9888e51271d,Sunset,18,3,22,16,Bronze,1.0,220.652,2,3,0,10,13,1,2,2
7a389cc6-5bb7-4194-b925-6ef08b2bdd1e,Summit,6,6,13,2,Bronze,1.0,122.421,1,0,1,13,6,0,2,2
214280b1-aa81-424c-9d48-623459368572,Summit,1,0,2,2,Bronze,1.0,20.667,0,0,0,2,10,0,2,2
6a3ad70e-4e38-49d4-90b4-850e09956db5,Sunset,3,1,4,0,Bronze,1.0,59.412,0,0,1,13,4,1,2,2
43bd8b6b-1d99-4e72-8902-9f18f925e974,Haven,7,6,17,5,Bronze,1.0,150.0,1,4,0,6,13,0,3,1
a683a31a-2a28-4149-8c41-f5195839c38b,Summit,2,3,11,6,Bronze,1.0,55.889,0,1,0,5,13,1,3,1
a7f8fd0f-c4d1-4e1f-bc6a-9cb6d5fc9ac5,Ascent,12,4,11,8,Bronze,1.0,169.952,1,0,1,13,8,1,3,1
dba20f68-c163-48d1-a6ef-7c7efa279347,Haven,15,3,15,4,Bronze,1.0,191.3,2,2,1,13,7,0,2,2
298d3432-3fc7-46bb-b11e-f3ef5470e26d,Split,13,5,21,10,Bronze,1.0,183.261,4,4,0,10,13,0,2,2
b0fe0c62-98b6-4a38-bc51-bd4d654aae28,Summit,12,1,15,8,Bronze,1.0,172.579,3,2,0,6,13,0,2,2
b60a45af-77e5-4102-a776-fd38c734416d,Lotus,13,3,11,6,Bronze,1.0,186.316,2,1,1,13,6,1,3,1
dc4b6483-a078-4ff5-9ed3-6dbca9edfeb9,Split,8,8,14,5,Bronze,1.0,162.895,1,1,1,13,6,1,1,3
7c3951f9-1f29-4bce-a0c2-05a32852d840,Lotus,10,7,19,11,Bronze,1.0,168.167,2,5,0,5,13,1,3,1
f7a4f90a-dbbd-42f0-ac69-6d89b68a366b,Abyss,12,5,13,10,Bronze,1.0,205.833,2,2,1,13,5,0,3,1
79a697da-93e3-4d33-8df3-49df2a36d3ab,Sunset,18,5,15,15,Bronze,1.0,274.15,4,3,0,7,13,1,0,4
bb91f288-8eef-4af1-affa-6e16fdb35c2a,Ascent,12,2,10,10,Bronze,1.0,204.625,4,2,1,13,3,1,2,2
f13fd39b-6b99-414c-a24f-45fefa93073f,Abyss,18,2,14,17,Bronze,1.0,206.955,0,1,0,9,13,0,4,0
690cc1b4-f8e3-408c-9c19-3b208cb66f51,Sunset,13,2,17,10,Bronze,1.0,181.0,0,0,0,8,13,0,2,2
b8f24084-4fde-4d27-8a56-3f8e3e308aeb,Haven,13,3,14,8,Bronze,1.0,189.05,1,2,1,13,7,0,2,2
09995c76-8506-4382-bf9d-21acd48ad08a,Haven,6,7,22,8,Bronze,1.0,102.083,3,5,0,11,13,0,2,2
0ea38e36-b051-491a-af57-744227ccf5f8,Summit,16,9,19,10,Bronze,1.0,211.583,2,4,1,13,11,1,4,0
65b19ea5-6f88-4623-8c16-65b9af55f507,Abyss,8,4,15,8,Bronze,1.0,128.778,1,1,0,5,12,1,3,1
49c7a1ce-7c78-4d62-b2cf-19df6da7cfea,Ascent,3,6,9,3,Bronze,1.0,89.875,2,3,1,13,3,1,1,3
1342eb2e-7c49-48a0-9e51-cd97ba7947b3,Lotus,6,2,14,5,Bronze,1.0,107.944,2,3,0,5,10,0,3,1
b46752cb-bcc0-4e57-bb2c-5c6c6820028a,Ascent,14,6,8,9,Bronze,1.0,232.588,1,1,1,13,4,1,1,3
479d7700-584c-4778-9b37-a71961fee678,Sunset,2,0,3,3,Bronze,1.0,26.875,0,0,2,13,11,0,1,3
f29aae57-6a32-4344-b6a7-6649b07190fb,Summit,8,8,17,7,Bronze,1.0,119.708,1,2,0,11,13,1,3,1
0fd60246-2f4a-441a-98e2-d73c48cf92ed,Haven,20,6,20,16,Bronze,1.0,240.269,7,2,0,12,14,0,0,4
