id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
c9ff424b-9974-44bf-8fe3-ef879bfe34d5,Sunset,12,5,17,8,Silver,1.0,223.684,2,2,0,6,13,0,0,4
36eeca63-a129-4430-acef-0d9222f6308a,Lotus,29,3,16,16,Silver,1.0,306.885,5,3,1,14,12,1,0,4
e2d37204-dec6-48f9-b9f2-2424cde32cf4,Haven,25,7,18,12,Silver,2.0,297.792,3,1,0,11,13,0,1,3
2b76f826-b3d4-40bc-9d5c-810b2cc242d4,Split,8,5,13,4,Silver,2.0,171.533,0,3,0,2,12,1,0,4
33139f5a-231b-4709-82e6-605fa9532a81,Haven,25,3,16,10,Silver,1.0,315.273,4,2,0,9,13,1,2,2
8bd24b00-f999-4578-b0a3-ea1bd714e21d,Ascent,28,2,14,15,Silver,1.0,320.125,5,2,1,13,11,1,2,2
89e257a8-2670-4156-a8b4-904318a06edc,Haven,20,5,17,12,Silver,1.0,261.25,5,3,0,11,13,1,2,2
5e33a34f-1f73-4d80-9ef0-f0fe479edf31,Ascent,31,4,17,18,Silver,1.0,301.036,0,4,0,13,15,1,2,2
b0ad034a-3941-404f-a3c7-286d6421751d,Ascent,1,0,5,0,Silver,1.0,23.538,0,2,0,0,5,0,1,3
4fc9000b-e73f-4b94-b527-c9888e51271d,Sunset,25,12,18,16,Silver,1.0,347.087,6,0,0,10,13,0,2,2
7a389cc6-5bb7-4194-b925-6ef08b2bdd1e,Summit,26,2,8,17,Silver,1.0,344.579,2,0,1,13,6,1,2,2
214280b1-aa81-424c-9d48-623459368572,Summit,9,1,11,4,Silver,1.0,195.467,2,2,0,2,10,0,2,2
6a3ad70e-4e38-49d4-90b4-850e09956db5,Sunset,23,4,8,16,Silver,1.0,372.706,4,1,1,13,4,1,2,2
a46ee9a8-2747-44f4-b4b7-aa0771ac23f5,Ascent,14,5,14,13,Silver,1.0,172.167,2,3,1,13,11,0,0,4
37122402-d17a-40df-9451-9188da9d62ad,Haven,6,2,13,3,Silver,1.0,107.062,0,2,0,3,13,1,1,3
7f14b58f-0ad2-4978-a5e6-b59ff9ca8749,Abyss,34,6,16,20,Silver,1.0,442.409,4,3,0,9,13,0,2,2
742a1457-3c54-434d-8513-22dc0b6239e0,Split,35,2,15,18,Silver,1.0,366.208,5,1,1,13,11,0,1,3
5593b1e2-152b-4c84-9738-5ff47bc99941,Sunset,9,7,7,4,Silver,1.0,180.5,1,0,2,13,3,0,1,3
df65a28d-b84c-4176-a00b-d61c55410ce3,Haven,29,10,12,15,Silver,1.0,394.8,2,1,3,13,7,0,1,3
9d667e00-cf6d-42d4-951f-a91e3a655608,Abyss,31,2,16,17,Silver,1.0,363.478,4,3,0,10,13,1,1,3
6b8fbb9d-63f9-49b9-917b-c75d6a10517e,Split,9,5,18,4,Silver,1.0,117.087,0,0,0,10,13,1,2,2
397c9ec6-f292-4d6f-8a5d-d0d1137ecb81,Haven,3,5,18,2,Silver,1.0,51.1,1,4,0,7,13,1,2,2
9a06a1fd-1a4c-40a9-a34c-bb377124aebd,Summit,8,2,16,7,Silver,1.0,145.765,0,3,0,4,13,1,2,2
43bd8b6b-1d99-4e72-8902-9f18f925e974,Haven,9,2,16,6,Silver,1.0,133.947,3,3,0,6,13,0,3,1
a683a31a-2a28-4149-8c41-f5195839c38b,Summit,7,3,14,3,Silver,1.0,112.833,1,7,0,5,13,0,3,1
a7f8fd0f-c4d1-4e1f-bc6a-9cb6d5fc9ac5,Ascent,11,9,16,6,Silver,1.0,154.762,0,2,1,13,8,1,3,1
dba20f68-c163-48d1-a6ef-7c7efa279347,Haven,16,4,14,8,Silver,1.0,206.8,1,0,1,13,7,1,2,2
