id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
3cd183eb-fdea-4a77-990b-8f4cb55d9a4f,Ascent,15,4,16,9,Diamond,3.0,204.045,3,3,0,9,13,1,0,4
fc66c4c8-2797-42cc-9d3e-570c738240d9,Summit,9,7,18,6,Diamond,3.0,153.333,3,1,0,5,13,0,2,2
f9575745-3a94-4998-a935-911025ba419f,Haven,15,5,15,12,Diamond,3.0,197.818,4,1,1,13,9,0,2,2
ab286cb4-bb23-4d08-b482-f430007cd62d,Split,12,0,14,5,Diamond,3.0,168.737,1,1,0,6,13,1,2,2
700099dc-c7eb-4c40-86db-819845c17922,Abyss,19,0,14,11,Diamond,3.0,255.55,2,0,0,7,13,1,0,4
8b2df52a-f0bd-4b4c-8594-d244e734f953,Lotus,12,3,15,4,Diamond,3.0,172.421,2,4,0,6,13,1,0,4
747eb5e9-0400-42ac-a53d-195231821e58,Lotus,17,4,4,10,Diamond,3.0,262.824,2,1,1,13,4,1,0,4
93d75efb-3bc1-4946-aa32-3c8b01e5950b,Split,24,2,15,8,Diamond,3.0,245.885,5,5,1,14,12,1,0,4
1a3a3e3a-e63e-40c1-9e17-02e41a9e6913,Summit,15,4,18,9,Diamond,3.0,243.5,4,1,0,7,13,1,0,4
733d466f-5f62-416a-b0ba-7bef8755d8a6,Ascent,12,0,17,8,Diamond,3.0,171.368,0,1,0,6,13,1,0,4
c47a96b0-a5a5-4efe-99b0-a0bf961ac30d,Summit,8,1,15,5,Diamond,3.0,125.421,2,0,0,6,13,1,0,4
7c05b460-dd84-4192-beef-b43db334fc3d,Lotus,4,3,16,3,Diamond,3.0,101.647,3,4,0,4,13,0,0,4
368a0a91-9abe-4797-b23b-b1ff55971c8f,Split,11,5,16,6,Diamond,3.0,164.857,2,3,0,8,13,1,0,4
4e1e8c22-bffc-4325-9b13-7b20e906a812,Lotus,21,4,18,13,Diamond,3.0,213.143,2,3,0,13,15,1,0,4
8bb70d92-2948-4a15-bc38-8ec4806e5407,Lotus,16,3,13,8,Diamond,3.0,199.435,4,3,1,13,10,1,0,4
13cecf81-819e-4e68-aa31-f240d08f9e0b,Summit,13,0,17,9,Diamond,2.0,172.217,3,1,0,10,13,0,0,4
d2205403-5c81-4bf0-a688-4966292ac0d4,Sunset,21,4,16,10,Diamond,3.0,256.958,2,0,1,13,11,1,0,4
4ee600e6-5dba-47fa-b7a4-5af5f701d5fe,Haven,16,1,6,8,Diamond,2.0,256.133,2,0,2,10,2,1,0,4
5be7269d-2f53-492a-8c5e-dccdab375370,Haven,24,1,14,12,Diamond,2.0,266.542,2,1,3,13,11,1,0,4
2252e3b9-0018-4f6f-8ced-75f8d90f6d7e,Sunset,14,0,14,2,Diamond,3.0,252.25,3,2,0,3,13,1,0,4
