id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
4f24a1b0-f77f-42b2-9baf-d7a29ea475e0,Summit,10,6,18,9,Gold,3,139.909,1,5,0,9,13,0,0,4
9c8e52da-5d68-4f1a-977b-47c013250810,Sunset,14,8,21,10,Gold,3,186.333,1,6,0,11,13,1,0,4
808240c5-8466-4ff5-9635-17b52d48e4ad,Ascent,10,2,15,9,Gold,3,129.81,2,1,1,13,8,1,0,4
17dc867f-55d8-4aee-a8f8-ac083691202c,Sunset,19,12,24,12,Gold,3,212.5,2,3,1,14,14,0,0,4
81c948f2-6178-4731-b279-a0c4be973506,Summit,15,4,19,10,Gold,3,176.217,1,1,0,10,13,0,0,4
0c86aa78-db26-4fe6-947f-14f11d682fe7,Ascent,13,5,17,9,Gold,3,162.81,0,1,1,13,8,1,0,4
f449aa80-3150-4ecb-938c-75943f91ed02,Lotus,19,4,14,14,Gold,3,250.75,2,2,2,13,7,1,0,4
dd1c9b23-c0a8-472b-8828-20e130474d56,Haven,12,6,23,9,Gold,3,142.958,2,4,0,11,13,1,0,4
8935ba15-90bc-43e0-94aa-c9dddf2854f3,Sunset,8,3,15,5,Gold,3,159.625,0,3,0,3,13,1,0,4
476b14f2-6e5e-45a0-a85c-a7c5988e314d,Sunset,19,1,17,15,Gold,3,273.6,1,4,0,7,13,1,1,3
3ee930db-0b6c-40e1-9eec-008092727d3b,Haven,8,3,17,8,Gold,3,130.55,0,2,0,7,13,1,1,3
561c6276-ddb7-492d-998c-8cb6a7f65f81,Split,13,5,22,11,Gold,3,143.833,1,3,1,13,11,0,1,3
