id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
5a2ba782-dfc0-4df0-915e-72ca562b9dfa,Lotus,6,3,16,3,Silver,2,107.579,0,2,0,6,13,1,1,3
278688f9-b6df-45e3-b71e-c37895af4c1e,Summit,17,3,18,11,Silver,2,219.091,1,5,0,9,13,0,1,3
d138a8fd-b9df-4924-9d97-e2a7ad536656,Haven,15,5,14,10,Silver,1,252.222,4,5,1,13,5,0,1,3
1a6e4c49-9117-4bc7-a2e6-2849e6fe52cd,Split,22,4,22,13,Silver,2,266.0,6,3,0,11,13,1,1,3
1167ebff-ba66-413c-8b54-5bce3d4e5869,Ascent,6,4,14,5,Silver,2,146.333,1,5,0,2,13,0,1,3
e0840089-ced5-4c03-9498-3980539faca4,Summit,6,5,12,5,Silver,1,123.688,1,4,0,3,9,0,0,4
de9205ff-1ee7-4881-a41c-69af41a2391c,Split,8,5,14,5,Silver,1,160.294,1,3,0,4,13,1,0,4
e45843cd-9243-42b8-add1-1c03bf7405e0,Summit,25,8,21,9,Silver,1,247.893,4,2,0,13,15,1,0,4
46132a79-08ee-4a8d-9dd6-f33b0557d093,Sunset,16,0,7,7,Silver,1,253.312,3,2,1,13,3,1,0,4
226302ca-1d72-48ae-b690-0737885935ef,Ascent,11,5,17,2,Silver,1,121.167,1,4,2,13,11,0,0,4
d406f9a8-c205-4726-94e7-f8b03e731705,Split,7,5,18,6,Silver,1,120.6,0,6,0,7,13,1,0,4
678f9d30-cf3d-4a2a-8fc4-2e5ad0bcea53,Haven,19,7,19,15,Silver,1,248.5,2,1,0,11,13,0,0,4
37b9f02b-afe5-4889-b1c5-9019a793f163,Abyss,17,5,22,13,Silver,1,219.391,7,5,0,10,13,1,0,4
775b1de3-7cbe-447c-9cb7-410d6d0501ae,Abyss,24,4,20,13,Silver,1,316.826,7,6,1,13,10,1,0,4
8588eee5-3dbd-4140-877f-f5851bd881cf,Summit,10,8,18,12,Silver,1,159.409,3,5,0,9,13,0,0,4
d73c5cbf-cf93-455f-8688-c884ed958dc8,Ascent,5,1,4,4,Silver,1,111.154,0,0,0,0,4,0,0,4
33b42813-b7de-41b7-b2af-6f907af8aa3d,Lotus,12,3,17,12,Silver,1,150.667,1,5,0,8,13,1,0,4
6996f70f-acb0-4779-842f-61d94114f70d,Lotus,29,3,17,20,Silver,1,407.0,8,2,1,13,8,1,0,4
e535ad99-981e-42b0-93ec-75afe10c45e1,Summit,17,7,15,10,Silver,1,270.684,4,2,1,13,6,1,0,4
02b573c2-2395-44f1-9171-bf19ca8d1f54,Lotus,9,4,19,6,Silver,1,157.429,3,5,0,8,13,1,0,4
12155de6-3299-491a-acce-8d23399a0892,Lotus,1,1,5,2,Silver,1,30.231,0,1,0,0,5,1,0,4
df9ce528-5831-41a2-8544-9f4c723a4c43,Sunset,12,4,17,8,Silver,1,214.333,0,5,0,5,13,0,0,4
