id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
87790e52-db3f-4020-b86c-2bdfe2b77d36,Fracture,19,4,17,9,Bronze,1.0,255.208,2,2,0,11,13,1,2,2
663b668e-14aa-46a4-b414-64e9e2fdf3a0,Split,9,4,14,8,Bronze,1.0,135.571,1,2,1,13,8,1,0,4
9dff2f76-89da-41ac-8ade-a275499899f6,Breeze,7,4,20,4,Bronze,1.0,105.739,1,3,0,10,13,1,1,3
978c4af4-b5e1-4de2-9e2b-a7ea0a2cd39b,Lotus,8,5,12,4,Bronze,1.0,143.471,0,1,1,13,4,0,0,4
00fa081a-0796-466b-a9f8-0fb5bc983aee,Lotus,19,0,15,16,Bronze,1.0,235.174,4,1,1,13,10,1,3,1
9d7f62b9-9334-410c-a60c-0df1b047d1bc,Split,14,7,17,8,Bronze,2.0,191.364,2,4,0,9,13,1,0,4
793f769a-fc9b-4902-8ccc-a2715ce687ab,Split,25,5,21,16,Bronze,2.0,248.75,4,1,0,14,14,1,0,4
17806c20-9a29-42b0-a891-d3c7e4a865ab,Pearl,16,2,16,17,Bronze,2.0,192.261,1,4,1,13,10,1,0,4
cb3d7345-b2c4-48c0-8410-92502c39db42,Bind,20,2,21,14,Bronze,2.0,220.423,1,7,0,12,14,1,4,0
066d4d36-5f5f-4331-b0be-5b5cd44ec00d,Lotus,15,9,13,10,Bronze,2.0,240.4,3,3,1,13,7,1,0,4
50491aeb-07d4-4a9a-9d3d-57a619dfb287,Pearl,14,3,18,9,Bronze,2.0,207.304,2,3,0,10,13,1,1,3
aee13bbe-fba8-4ff4-8502-2659320d5f97,Fracture,10,7,13,5,Bronze,2.0,154.211,2,2,1,13,6,0,0,4
767dc04e-77ae-4fa9-b5b8-28e30ea0fcc4,Pearl,21,2,14,15,Bronze,2.0,278.667,5,1,1,13,8,1,0,4
d03bea05-5418-4ef6-a096-ee9c546f3027,Ascent,11,5,17,5,Bronze,2.0,238.059,3,3,0,4,13,1,0,4
8a1fed11-e742-4426-8113-94beba6a879d,Split,26,6,22,16,Bronze,2.0,297.231,6,7,0,12,14,1,0,4
32811dbd-0271-4eaa-ade5-247755acb915,Fracture,19,7,22,10,Bronze,2.0,228.308,3,5,0,12,14,1,0,4
2fe6c70d-0b19-4368-b124-c2cdcc10dbab,Lotus,23,6,18,17,Bronze,2.0,303.583,4,2,1,13,11,1,0,4
9af478eb-8663-455f-8a3c-8017f24e94b5,Haven,14,4,15,7,Bronze,2.0,202.95,2,3,2,13,7,1,0,4
6aae10d1-d8d3-4276-b5af-aa3d779a5355,Haven,26,9,21,15,Bronze,2.0,246.133,4,4,1,15,15,1,0,4
fd55c82e-4585-4845-9886-6de95a8e3a6a,Fracture,14,2,15,9,Bronze,2.0,263.118,2,1,0,4,13,1,0,4
c890d2b8-0cb0-49f5-802d-35c2dfcb1830,Fracture,13,2,18,9,Bronze,2.0,233.579,2,2,0,6,13,1,0,4
3d5a3519-235d-4c0c-99dc-40f8ec20105b,Ascent,22,2,18,11,Bronze,2.0,283.87,4,3,0,10,13,1,0,4
725acbd5-0fb7-44be-a124-6b406788b772,Lotus,14,5,19,8,Bronze,2.0,231.7,1,2,0,7,13,1,2,2
5f3154c4-4862-4b92-a687-a833063aeb43,Breeze,18,5,18,11,Bronze,2.0,239.714,1,4,0,8,13,1,4,0
54f6013c-d302-4efb-abbf-825393a73f7c,Haven,19,3,18,11,Bronze,2.0,252.409,2,5,0,9,13,1,0,4
7ac1949f-1ec7-4fca-98ee-19b2f9f5add2,Pearl,11,5,9,4,Bronze,1.0,226.0,3,4,2,13,2,1,0,4
16d79d42-022e-45c4-bd0c-f494babd8a77,Ascent,12,7,17,4,Bronze,1.0,207.524,2,5,0,8,13,1,0,4
fea61afc-abd9-4ae9-bb97-c2a96b61c59f,Haven,23,5,16,18,Bronze,2.0,369.474,4,3,0,6,13,1,0,4
f3e326aa-844d-4d48-89f3-1412a8d229db,Lotus,24,4,17,13,Bronze,2.0,334.909,2,2,0,9,13,1,2,2
503a70f6-527c-4c01-bc90-2ef3b7f39931,Pearl,7,3,15,2,Bronze,2.0,139.625,0,1,0,3,13,1,4,0
5dafdce6-c4f6-46ce-9465-18e9ceaee7a7,Haven,15,3,15,8,Bronze,1.0,201.727,1,4,1,13,9,1,1,3
0f5f6461-8805-4a79-939e-c4b306ef8f52,Ascent,10,4,16,7,Bronze,1.0,171.0,2,2,0,6,13,1,0,4
2b0c6139-a00b-4473-a699-eba177745de5,Lotus,18,4,18,5,Bronze,2.0,243.864,1,3,0,9,13,1,1,3
5e077ceb-ec99-4b4c-bbcc-10fe2023c191,Lotus,19,3,14,6,Bronze,2.0,261.6,2,1,1,13,7,1,0,4
