id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
39d5ff5e-ee03-4663-86d3-ed4f5a140c7c,Split,19,2,10,10,Platinum,2.0,287.647,1,2,1,13,4,1,0,4
898e93bd-196d-4376-8f9f-d3ff7c1cf267,Ascent,16,3,6,7,Platinum,2.0,252.562,2,1,2,13,3,1,0,4
5def45b4-a316-4bb9-b707-ac65cc5e5572,Breeze,10,5,16,6,Platinum,2.0,196.471,1,0,0,4,13,0,0,4
d5928df5-960d-473d-ad91-5af3475b3fa3,Abyss,18,4,16,13,Platinum,3.0,249.455,3,1,0,9,13,0,1,3
219562a3-3737-4bb5-96fd-92b94db39a34,Abyss,16,3,17,14,Platinum,3.0,215.5,3,0,0,9,13,0,1,3
bdbb195f-e704-4769-aed0-17deb621f609,Lotus,13,7,10,8,Platinum,3.0,203.294,1,0,1,13,4,0,1,3
a1e4b73e-646e-4cee-9101-3372b03170ce,Split,20,3,9,11,Unrated,,270.105,2,0,2,13,6,1,1,3
8bb14c9f-0883-41d5-b6f2-354698265bac,Sunset,24,7,13,18,Platinum,3.0,297.174,1,1,1,13,10,0,1,3
210d973b-92b5-4d0b-8389-82c3ae056396,Ascent,25,5,13,16,Platinum,3.0,266.375,4,1,1,13,11,0,1,3
ab5a89dc-0f94-41c7-ae54-30e9ff67e850,Haven,8,8,18,7,Platinum,3.0,138.579,0,0,0,6,13,0,0,4
de36e8ce-a852-4c08-8386-939fde9d2995,Split,13,3,15,5,Platinum,3.0,187.263,0,2,0,6,13,1,1,3
9ea4ad7d-abf7-4723-9f6b-565e59585128,Haven,5,2,4,3,Platinum,3.0,82.429,0,0,1,6,1,1,1,3
