id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
25f7f495-3025-463c-97f5-0441f3ae7a03,Summit,17,5,17,13,Silver,3,265.9,5,3,0,7,13,1,0,4
c01d4a58-53a5-49a2-b731-d33a45c12637,Split,22,2,16,10,Silver,3,289.227,3,2,0,9,13,1,0,4
bedaa0ee-5d1d-41d0-b929-ed5ec0ce4d02,Haven,16,4,11,8,Silver,3,241.0,3,3,1,13,6,1,0,4
89697cf7-2e42-4457-8938-69cc706faf53,Haven,19,6,16,14,Silver,3,270.333,4,4,0,8,13,1,3,1
c7bef244-08ab-47a2-b774-346b73ced305,Summit,14,2,19,8,Silver,3,157.308,4,2,1,14,12,1,0,4
c28d400e-02df-4d02-b35d-21b77e1d6bc6,Abyss,17,5,16,12,Silver,3,242.95,2,2,1,13,7,1,0,4
53173f35-8b29-488c-9e71-a987377694d2,Ascent,9,11,20,5,Silver,3,128.667,0,1,0,11,13,0,0,4
aba63ef8-1609-45f9-b7d5-4620ecdd81ba,Split,9,7,15,8,Silver,3,156.368,1,3,1,13,6,0,0,4
32467625-d64f-4567-9290-0bc5ec7a3941,Split,21,2,18,16,Silver,3,228.174,1,5,1,13,10,0,0,4
c456d2a0-4613-414f-9bd6-fe4898e5adc4,Haven,15,4,21,15,Silver,3,218.364,4,3,0,9,13,0,0,4
611e090c-84bb-419d-8073-a2f81a0e2f7d,Summit,22,4,12,12,Silver,3,320.632,4,0,1,13,6,1,0,4
baf1ebd4-a844-407d-92b4-ae3342e79087,Split,15,3,12,3,Gold,1,236.471,3,0,1,13,4,1,0,4
b03992be-9d3a-471b-8cf7-901fd5699539,Lotus,14,2,18,10,Silver,3,142.231,1,4,2,14,12,0,0,4
e022a47a-8974-46a8-a927-9cbc96b8fe0e,Haven,13,2,16,5,Gold,1,213.647,2,2,0,4,13,1,0,4
a92dc388-ab97-44c2-b298-06c1e1afef3c,Lotus,23,3,17,9,Gold,1,254.231,6,2,1,14,12,1,0,4
6e7f3783-a791-44d2-9d49-7f9f4904361b,Summit,22,2,17,11,Gold,1,283.0,5,1,0,8,13,1,0,4
aa9c74d4-475e-4c36-a65c-2908ea11d29a,Split,10,1,16,4,Gold,1,175.421,1,4,0,6,13,1,0,4
e1d13f5c-7826-4fd1-80a6-dd868e525b22,Split,14,6,20,11,Gold,1,200.318,5,5,0,9,13,0,0,4
bcf52eab-8f59-4791-aba5-c6c793ed82a6,Sunset,18,3,10,7,Gold,1,248.25,5,3,1,13,7,1,0,4
7ca00cf1-b825-4888-8312-4b86ae313c93,Ascent,17,7,17,11,Gold,1,217.391,2,4,2,13,10,1,0,4
f885a64d-f7a0-4c44-8ef9-7195395a5b0e,Sunset,18,8,19,11,Gold,1,249.478,1,2,0,10,13,1,0,4
19ea3a98-9f1e-466a-a791-b928a7cf9471,Summit,17,2,15,14,Gold,1,213.476,0,2,1,13,8,0,0,4
9971d2fd-32f4-4624-b98a-0b8407643945,Summit,11,5,14,10,Gold,1,135.9,0,0,0,7,13,1,0,4
75518840-3edc-45ef-85cc-96cad8ac0e86,Split,14,2,14,8,Gold,1,170.5,1,4,1,13,7,0,0,4
46e3e27e-8904-4824-b645-ca5368fa5376,Summit,15,5,18,12,Gold,1,189.0,2,3,0,11,13,1,0,4
fb955d32-0266-4dc0-b608-00a6a0590c3e,Lotus,20,4,24,8,Gold,1,177.933,2,5,1,16,14,1,0,4
8143008c-766f-4531-b6f8-8707277060f1,Ascent,9,3,15,6,Gold,1,148.944,0,4,0,5,13,0,0,4
85cb01dd-1e7b-4e54-8df9-1b2ebbd23a90,Split,13,3,8,6,Gold,1,180.833,0,0,1,13,5,0,0,4
c8e9ed95-1a65-4c15-bdc9-b54ed7cd32cb,Abyss,6,14,14,7,Gold,1,111.1,0,0,1,13,7,0,0,4
0b3fd421-3d25-4051-b3b3-e21da7befac1,Haven,8,6,16,8,Gold,1,114.762,1,2,2,13,8,0,0,4
e3a193e5-ef4e-4cc0-8be4-3bf66aa347f1,Split,15,3,17,6,Gold,1,170.667,2,3,0,11,13,1,0,4
