id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
5462b6bb-eb11-4e25-84ea-51abb75947ce,Haven,18,2,12,9,Bronze,3.0,246.25,2,2,1,13,7,1,0,4
6fe4eb84-638b-4a87-86d9-ab311908b9ab,Split,15,4,22,10,Bronze,3.0,182.375,1,1,0,11,13,0,0,4
51e341a6-161f-48b1-af0e-c565522284a8,Summit,33,9,24,23,Silver,1.0,328.179,4,2,0,13,15,1,0,4
a5a96a31-b10f-4789-917d-7a67cb7ab82e,Ascent,12,9,21,11,Silver,1.0,176.045,0,2,0,9,13,0,0,4
a661c4af-5929-4693-8cb9-6ffd589f3375,Abyss,15,7,15,10,Silver,1.0,216.0,4,4,1,13,7,1,0,4
5b08ab43-321b-4b66-9e29-a3859d909802,Lotus,10,6,19,7,Bronze,3.0,133.083,1,1,1,13,11,0,1,3
e6272bdd-b5b5-432e-bbb1-5224e8f95bfa,Abyss,6,7,18,5,Silver,1.0,138.579,0,1,0,6,13,1,1,3
91f1ae7d-fb7e-4912-9059-ec005d48853b,Abyss,19,13,24,15,Silver,1.0,239.077,1,1,1,14,12,0,0,4
b6fda58d-cb47-470c-acd7-d65962f2a978,Summit,22,16,17,10,Silver,1.0,308.65,0,0,1,13,7,1,0,4
cf53cd8c-5ba0-4b09-8864-aeb1643f77fd,Sunset,24,2,23,22,Silver,1.0,308.957,2,4,0,10,13,1,0,4
540a9f22-79a9-4c65-af96-de55a145c133,Split,21,5,20,12,Silver,1.0,252.583,1,5,0,11,13,1,0,4
fd171b44-5328-4184-9e4b-25ced7de27e4,Split,16,4,16,6,Silver,1.0,218.158,0,1,0,6,13,0,1,3
9dc72a36-71ec-4399-bb2d-320fa417daa9,Sunset,23,5,10,12,Silver,1.0,338.706,1,2,1,13,4,0,2,2
dcf3e279-547b-4407-b79e-23e63c54dcf8,Haven,21,5,11,13,Silver,1.0,293.105,1,0,2,13,6,1,2,2
fe2c72a4-e4f5-4d8d-90fc-a61b256ea9ed,Split,24,7,24,15,Silver,1.0,293.583,1,2,0,11,13,1,0,4
d159b750-05f3-4bdd-bbbd-bef190906255,Summit,20,6,23,14,Silver,1.0,296.714,2,2,0,8,13,1,0,4
a6eca2a7-062f-4bb0-8ef6-34029d196ed4,Abyss,17,3,16,5,Silver,1.0,206.043,3,3,1,13,10,0,0,4
2d9b3963-e395-4592-a930-f91834f72854,Split,23,4,11,11,Silver,1.0,357.125,1,3,1,13,3,1,1,3
1be50cfe-ae4e-45df-8fbb-92523e70d8b0,Summit,15,11,24,12,Silver,1.0,208.875,3,6,0,11,13,1,1,3
