id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
93bff5b8-27df-4c38-adca-e71ea85bee6a,Split,12,6,17,7,Silver,2.0,169.429,2,1,0,8,13,1,0,4
58bf90bc-a309-4f7a-9cfd-55ea6301f158,Haven,11,5,15,7,Silver,2.0,153.762,2,5,1,13,8,0,0,4
53e1ca4a-3207-47bb-8ffe-a9da693a16cf,Haven,24,7,11,18,Silver,2.0,346.278,3,0,3,13,5,0,0,4
fc1dc743-63b3-4b15-97ed-55f7d90e2b6f,Abyss,24,4,12,18,Silver,2.0,341.3,4,2,1,13,7,0,1,3
fa75fa47-c215-48b8-9fca-514805dfbc54,Sunset,23,2,17,16,Silver,2.0,271.167,4,1,0,11,13,1,1,3
776bd7de-fccb-43be-9319-c2844fca5cc2,Lotus,9,4,13,8,Silver,2.0,181.75,3,1,0,3,13,0,1,3
1f8d8abe-5a88-4bd9-9a78-f04751d9a948,Summit,28,3,12,10,Silver,2.0,302.125,3,0,1,13,11,1,1,3
1fea1bd6-9d0c-41bf-b41f-3ee44520b0de,Split,13,14,16,11,Silver,2.0,221.81,1,2,0,8,13,0,1,3
011b5667-31c1-41fd-a98d-89c7de6901c6,Lotus,16,3,14,9,Silver,2.0,204.5,4,3,1,13,9,0,1,3
f6be2ce4-b1a6-4798-a9db-cf94b800c8ee,Ascent,22,6,22,10,Silver,2.0,223.867,3,2,0,14,16,0,2,2
ed848a1b-0896-42db-b3d4-820cd3553a7c,Lotus,18,5,11,10,Silver,2.0,233.143,0,2,1,13,8,1,2,2
78c251f1-e01b-4722-9eb8-75e9e6f1c7b3,Abyss,13,2,15,10,Silver,2.0,191.526,1,1,0,6,13,0,2,2
45884205-cc7d-4f91-9a83-e2ca55d915c8,Summit,25,4,10,16,Silver,2.0,455.267,6,0,1,13,2,0,0,4
2fef8728-0038-4a12-b9f7-5c0252b02bb1,Abyss,12,8,19,14,Silver,3.0,189.048,1,2,0,8,13,0,1,3
772247c7-c5e3-4615-910a-2245168330fa,Sunset,19,3,15,13,Silver,2.0,238.591,3,1,1,13,9,1,1,3
ffdfec41-9d3b-4b40-9ee7-b196cbf66a1e,Haven,24,2,21,18,Silver,3.0,228.367,3,2,1,16,14,1,1,3
d45aae05-9f0c-42a0-8c7d-e9124f90773f,Abyss,15,7,19,11,Silver,3.0,253.737,2,1,0,6,13,0,2,2
584bc8d3-e21f-436c-836c-258da0d4f791,Ascent,24,5,19,17,Silver,3.0,243.154,1,2,1,14,12,1,1,3
b28857d9-90f1-4143-abbf-5f0581c39450,Ascent,8,6,17,4,Silver,3.0,140.778,1,2,0,5,13,0,1,3
d2391244-7322-40c5-b1a9-f966a493514b,Summit,10,3,16,10,Silver,3.0,126.217,0,1,0,10,13,0,1,3
5149d88c-9107-482c-9651-e9db377d1313,Haven,11,3,11,2,Silver,3.0,181.278,5,2,1,13,5,1,1,3
0c466356-b2eb-4493-99bb-9befd954715b,Sunset,12,4,11,6,Silver,3.0,170.105,2,2,2,13,6,0,1,3
c8273bea-ae67-4f76-bc19-b37398cfa798,Sunset,20,1,12,12,Gold,1.0,278.05,4,1,1,13,7,0,2,2
c0a1429e-f943-46b1-9d36-da8c5c89fc74,Lotus,25,5,17,19,Gold,1.0,294.615,5,3,0,12,14,0,2,2
882c4b8c-64c5-4604-87ca-0c49f7e3d22a,Summit,10,5,11,9,Gold,1.0,190.812,0,3,1,13,3,1,1,3
