id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
9ba336c9-28f5-42cd-bb9d-1bbe5aa3b36a,Split,24,0,19,19,Platinum,2.0,314.5,2,4,0,7,13,1,1,3
e9240ace-bd50-420f-bbd9-ef2b7e1d5965,Sunset,19,5,12,17,Platinum,2.0,306.421,3,4,1,13,6,0,2,2
081d1cdd-b9e9-44bc-8879-094066414138,Summit,26,3,14,20,Platinum,2.0,390.158,5,3,2,13,6,1,4,0
b2ee32c9-f418-4f9c-9235-c78d22c31106,Haven,38,6,20,32,Platinum,2.0,530.455,11,0,0,9,13,1,1,3
21ca370a-57f3-4ba9-8e06-4386ca224275,Split,18,3,15,20,Platinum,2.0,384.0,1,1,0,2,13,1,1,3
6ae5361b-392a-4572-9975-8d32c2214afb,Split,19,6,15,13,Platinum,2.0,297.667,2,1,1,13,5,0,1,3
0be7bc3c-9b7b-4621-b497-93e59ec00ce9,Summit,39,6,20,35,Platinum,2.0,443.654,4,0,2,14,12,0,1,3
5d2613e6-252f-43a2-a573-b81b30a1fa36,Lotus,24,2,19,23,Platinum,2.0,330.952,3,2,0,8,13,0,1,3
47083929-5ff4-4f97-9059-63152e92219f,Abyss,12,4,17,15,Unrated,,224.889,2,1,0,5,13,1,1,3
3bd50569-d897-4b85-9615-ebedd32ff38c,Ascent,28,12,25,25,Platinum,3.0,341.615,6,1,0,12,14,0,2,2
4810e3eb-30f4-4606-a112-0ab14c68cd9a,Sunset,32,8,13,31,Platinum,2.0,462.053,1,1,1,13,6,1,2,2
fe67a1eb-031a-4d3c-b199-bb343ac4ca61,Ascent,30,4,13,27,Platinum,3.0,410.81,5,3,1,13,8,0,2,2
4f3f6eaa-ff65-4af4-8280-6f4282605e0b,Haven,16,2,12,15,Platinum,3.0,265.412,6,1,2,13,4,0,2,2
17f3c165-3306-416f-a631-7554ef6f3b6b,Summit,33,3,17,29,Platinum,3.0,414.0,4,2,1,13,9,1,2,2
07d8b0db-1c0d-4d0a-ae66-110e20bcece1,Summit,22,2,13,20,Platinum,3.0,332.158,5,3,2,13,6,1,2,2
