id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
6887a0ef-25d5-4a5e-b98a-e1aa5be29e21,Lotus,18,2,21,13,Diamond,2.0,200.179,5,2,0,13,15,1,1,3
1916a9a6-66af-478a-b475-aa8423e1c990,Lotus,8,4,16,9,Diamond,2.0,119.091,0,2,1,13,9,0,0,4
c1801b72-8cc0-41ba-85cd-b7123360c634,Pearl,8,0,15,9,Diamond,2.0,122.833,1,4,0,5,13,1,0,4
cdd48ff4-86e7-4c9f-95b9-3cbda5511d04,Haven,16,6,11,12,Diamond,2.0,202.333,0,1,1,13,8,1,0,4
631f0c82-92d9-45c2-899d-54fd676d4182,Split,14,1,14,10,Diamond,2.0,198.9,1,1,0,7,13,1,0,4
ef7c7860-3447-4cec-89a7-36c92d7f9b04,Ascent,20,1,16,18,Diamond,2.0,227.217,3,1,0,10,13,0,0,4
56a89729-ac1e-434d-80c6-f4b71dcfda55,Breeze,15,3,15,12,Diamond,1.0,191.0,2,4,0,10,13,1,0,4
1fdcc818-dbec-426f-81ac-b34ad334cd13,Ascent,16,1,16,15,Diamond,1.0,139.929,3,3,1,15,13,0,0,4
7d2a26ec-e671-44e4-90bf-86d58f9fabe7,Haven,20,4,20,18,Diamond,1.0,213.036,2,2,0,14,14,1,0,4
a9551510-3e9e-4c00-ab12-d838cb027b1b,Breeze,25,1,16,22,Diamond,1.0,308.261,5,0,0,10,13,1,0,4
517e6589-765d-4bd4-8532-e2340e12c780,Ascent,9,5,14,9,Diamond,1.0,178.5,3,3,0,3,13,0,0,4
600a72a2-fa54-42ea-b6db-58be8c0e0588,Haven,16,2,17,8,Diamond,1.0,216.905,6,5,0,8,13,1,0,4
2062164e-77d8-4f4c-af12-f752fb7914d1,Pearl,17,2,12,9,Diamond,1.0,213.857,1,0,1,13,8,0,0,4
9c82fb1b-e4b0-4642-8123-e19419e0d3aa,Breeze,22,3,21,10,Diamond,1.0,207.893,5,1,0,13,15,1,0,4
b65235ef-062f-4c4a-902c-68186236f9da,Fracture,13,5,16,7,Diamond,1.0,197.571,5,4,1,13,8,1,0,4
44f3c001-5912-4acb-b001-edc54ebf0898,Haven,6,2,15,7,Diamond,1.0,109.529,1,1,0,4,13,0,0,4
a9494264-ba6c-4ac9-94cb-f59ce85ccf29,Ascent,12,2,13,11,Diamond,1.0,189.111,4,2,0,5,13,1,0,4
e3b83cc2-b1e7-4ce5-97ce-50c47b713177,Ascent,20,1,16,18,Unrated,,234.478,6,3,0,10,13,1,0,4
f04f6072-6bfe-47df-a880-2240204c6553,Breeze,14,6,17,10,Unrated,,175.826,1,5,0,10,13,1,0,4
11bf6ca3-94e9-46f1-8b9f-2aee61224b1d,Ascent,18,7,14,17,Unrated,,312.722,3,2,0,5,13,0,0,4
ce2edde9-a082-4dbb-8cf2-8f56c3c1080b,Sunset,5,1,7,3,Unrated,,59.75,0,2,0,7,13,1,1,3
84e60241-78ab-4126-82b0-221729666e14,Breeze,14,0,17,10,Gold,3.0,188.429,3,4,0,8,13,1,0,4
f244d63a-d9cb-40ca-8171-5591a8dc9164,Breeze,2,1,4,3,Gold,3.0,66.923,0,0,0,0,4,1,0,4
049148f4-32da-4a4f-b026-a47163bd6a66,Ascent,17,4,16,11,Gold,3.0,201.13,2,3,0,10,13,0,0,4
2a779a2f-7e3c-4e67-8f45-821ac5c1482c,Sunset,19,2,14,8,Gold,3.0,247.182,4,3,1,13,9,0,0,4
8bfd1abf-8cca-4df7-b148-a25c31161db1,Summit,18,4,12,17,Unrated,,219.375,3,0,0,11,13,0,0,4
19bec85d-151d-4d5c-85ae-f5fac8139247,Haven,24,1,6,15,Gold,3.0,379.812,3,0,1,13,3,1,0,4
13642d20-45b5-4b3d-ad99-1e5315c517c9,Summit,25,2,8,19,Gold,3.0,403.375,5,0,2,13,3,1,0,4
06b83d1e-6ab6-4c4f-a4cb-a87364420715,Ascent,23,3,18,16,Platinum,1.0,306.174,4,0,0,10,13,1,0,4
2b04f70c-5aa9-4b30-9f17-9bf3f53bac07,Summit,21,1,15,15,Gold,3.0,232.0,3,2,1,13,9,1,0,4
5d2b0ef0-259d-41c9-b4bd-b7a12a62a1e8,Ascent,13,0,10,8,Gold,3.0,168.3,1,0,2,13,7,1,0,4
ae9baeae-cb67-4c6c-b0e2-4a751e39daf3,Haven,32,3,21,19,Gold,3.0,310.286,6,0,0,13,15,0,0,4
6a1e3910-4b39-43d4-ab82-35551704bc5d,Sunset,14,0,17,10,Platinum,1.0,153.348,1,5,0,10,13,1,0,4
0127e55c-3a5b-4909-8828-68b2f475774d,Haven,18,4,17,13,Platinum,1.0,242.174,6,5,1,13,10,1,0,4
154ad802-d504-42e8-9e30-d7d5788b359a,Split,18,4,18,16,Platinum,1.0,233.087,4,1,1,13,10,1,0,4
73993277-8b63-4902-a0df-c87e2cd3655b,Sunset,0,0,2,0,Platinum,1.0,0.0,0,0,1,13,7,0,0,4
6aebe3b7-f08c-4445-92ec-99db40fed712,Ascent,7,3,13,7,Platinum,1.0,170.333,3,1,0,2,13,1,0,4
090e47f1-016e-47f2-9629-088eb0c1e05b,Summit,9,4,22,11,Platinum,1.0,139.826,0,1,0,10,13,1,0,4
a00c6fae-a9cc-41d1-9551-61d55f64e075,Haven,13,6,15,12,Platinum,1.0,217.5,2,1,0,7,13,0,0,4
65bd199c-42d3-47ad-9803-2959b6996a11,Haven,15,2,17,9,Platinum,1.0,196.0,3,4,1,13,10,0,0,4
d62622f5-325b-4ed3-b864-3bbe0e924cfc,Ascent,3,3,17,5,Platinum,1.0,76.588,1,5,0,4,13,1,0,4
0246096d-465a-4aab-be31-69ce87a88f17,Split,13,3,15,6,Platinum,1.0,279.875,2,2,0,3,13,1,0,4
7fb49085-20ed-40e7-82ee-f31a7e78db5f,Summit,13,4,18,10,Platinum,1.0,153.458,1,0,0,11,13,0,0,4
d6f99933-5b5d-4d24-a90c-1a1842a8f6da,Breeze,7,3,18,4,Platinum,1.0,110.571,2,3,0,8,13,0,0,4
ab7a3234-6cb2-44d5-af44-f1cc8ac26973,Haven,16,1,16,8,Platinum,1.0,194.75,3,1,1,13,11,1,0,4
eaeda1e0-5c94-418d-b9bb-cb441394bc5a,Summit,24,8,14,21,Platinum,1.0,252.192,4,1,1,14,12,1,0,4
b505d006-f877-4299-ad9d-dbf8382539ff,Sunset,20,3,18,16,Platinum,1.0,193.857,2,1,1,15,13,0,0,4
0348382d-55de-475d-93a3-880e854fdcd9,Sunset,9,0,14,6,Platinum,1.0,176.2,1,2,0,2,13,1,0,4
982a3b6e-ad5b-4273-ac2b-952355ea8e7c,Ascent,22,4,14,20,Platinum,1.0,282.864,5,2,1,13,9,0,0,4
3516195d-c92b-462a-95d5-aa16884747e9,Summit,16,3,13,16,Platinum,1.0,204.895,3,3,2,13,6,1,0,4
89e93875-72fd-4b2d-bd93-2e55a021fbd6,Ascent,14,0,12,9,Platinum,1.0,176.684,4,3,1,13,6,1,0,4
53685300-8e0d-4d92-a966-8e860b11a8e5,Breeze,11,3,18,6,Platinum,1.0,174.944,2,6,0,5,13,1,0,4
7f49a07f-1a54-4bc4-ab12-f23c96edf5a3,Haven,28,2,10,21,Platinum,1.0,385.263,6,1,1,13,6,1,0,4
d18e0ff2-8129-46dc-9ef1-b079813c6bec,Ascent,23,1,18,13,Platinum,1.0,265.75,5,3,0,11,13,1,0,4
7ef6fb81-211a-4ae9-a17c-3d4cd13e7c07,Lotus,23,1,16,13,Platinum,1.0,291.409,5,0,1,13,9,1,0,4
1b0ab1ba-58cb-4548-9bf0-40b16d3c954c,Sunset,14,7,18,15,Platinum,2.0,170.654,0,1,0,12,14,0,0,4
dd3d8456-d8f9-4864-ac58-d1747e66c613,Breeze,16,5,16,14,Platinum,2.0,190.435,1,1,0,10,13,0,0,4
99ccf77f-e76c-4586-95fd-7056fadfdcab,Summit,13,1,11,9,Platinum,2.0,210.875,1,5,1,13,3,1,0,4
75015c57-9380-41d2-b687-6474e58125ff,Split,23,2,5,13,Platinum,2.0,398.4,1,0,2,13,2,1,0,4
ec58cff3-4444-4b93-97ba-d679c79c6d08,Breeze,19,0,7,14,Platinum,1.0,282.6,3,0,3,13,2,1,0,4
c4d241dc-2333-4900-b65e-97f0818df0a7,Haven,18,0,14,12,Platinum,2.0,237.65,5,1,0,7,13,1,0,4
6697cf62-46da-4a82-931b-c3243319f08a,Summit,16,2,17,13,Platinum,2.0,230.591,3,2,0,9,13,0,0,4
a6bd3eea-1b71-40de-8232-4f803423c4b7,Haven,21,4,16,14,Platinum,2.0,254.522,4,2,0,10,13,1,0,4
e5360d72-2700-4128-901f-451a01fc9f52,Summit,27,3,16,27,Platinum,2.0,318.75,5,2,1,13,11,1,0,4
2a260222-d592-4256-97ab-b3f97c3ca46f,Split,13,4,16,9,Platinum,2.0,215.947,4,4,2,13,6,1,0,4
995b0422-9f9d-4fa7-988a-a69a2ec72a1e,Sunset,14,3,15,11,Platinum,2.0,195.7,2,4,0,7,13,0,0,4
51defbb6-efb8-40ec-b1d7-466eb1cc09c6,Haven,13,3,16,13,Platinum,2.0,197.7,4,2,0,7,13,1,0,4
a63ba656-65d1-4def-bcd8-ab1b9599b045,Lotus,17,3,18,8,Platinum,2.0,211.0,1,1,0,10,13,1,0,4
53f33d87-acbb-40f9-baa7-c5c270a67884,Sunset,14,5,15,16,Platinum,2.0,245.611,2,1,0,5,13,0,0,4
03ee7bef-2c2a-4dd9-b8be-3c4dcc9d18bd,Breeze,11,2,15,4,Platinum,2.0,167.6,1,3,0,7,13,1,0,4
6febf397-fddb-4b09-abaa-db05e0a49d26,Haven,11,2,17,12,Platinum,2.0,143.042,3,3,1,13,11,1,0,4
cf750ada-e32e-4f8c-bfb2-999327880705,Lotus,25,1,16,19,Platinum,2.0,285.522,5,2,2,13,10,0,0,4
6d0b2cc1-355a-4c5d-b10a-ba48eb4ad34c,Sunset,16,5,16,9,Platinum,2.0,214.375,2,1,1,13,11,1,0,4
c802235d-838e-424a-b9c5-57337171d25f,Ascent,16,5,16,13,Unrated,,207.783,0,3,2,13,10,1,0,4
8c863803-9f79-42cd-a9da-3352dcf98539,Summit,24,5,23,25,Platinum,2.0,262.036,2,3,0,13,15,1,0,4
4fb0ae5e-b7c1-44a5-867a-b6f457d432f2,Lotus,17,10,17,16,Platinum,2.0,187.125,1,3,1,13,11,0,0,4
27526765-a258-4aad-9039-b29aa3b87beb,Split,14,0,15,11,Platinum,2.0,271.0,2,3,0,3,13,1,0,4
5a67995d-9828-4fa5-916e-92b553000a09,Abyss,7,4,13,8,Platinum,2.0,114.222,1,2,1,13,5,0,0,4
2f50caa0-d230-465d-b126-fe7a47cb395f,Ascent,15,1,16,11,Platinum,2.0,197.048,3,4,0,8,13,1,0,4
49f4214f-6920-49cf-9406-c4a435b1552d,Abyss,12,1,14,8,Platinum,2.0,213.167,2,1,0,5,13,1,0,4
418de98c-9f43-4faa-a577-7440aded7bd2,Haven,16,2,8,5,Platinum,2.0,255.118,1,6,1,13,4,1,0,4
9ff37712-35f4-43f0-b41b-cb8fdd3af2a2,Lotus,19,5,8,16,Platinum,2.0,276.389,2,0,1,13,5,0,0,4
1cbeef23-7d33-489b-85be-0dabca514624,Lotus,16,4,19,13,Platinum,2.0,192.833,3,5,0,11,13,1,2,2
57f0c8b7-8f96-4066-b3b7-a37900b9fd9a,Abyss,0,0,2,0,Platinum,2.0,0.0,0,0,0,7,13,1,0,4
eddeda0a-6f74-4d98-a928-88ff18eb2996,Summit,15,3,14,15,Platinum,2.0,194.0,2,0,0,10,13,1,0,4
189d9f3a-67c2-49d8-b7f1-2e433e8bd85d,Ascent,21,2,19,18,Platinum,2.0,258.208,4,7,0,11,13,0,0,4
c0b381b4-365b-49de-a12c-2a753b38f8ba,Summit,18,2,15,16,Platinum,2.0,226.81,2,0,1,13,8,1,0,4
f553d53b-42b5-4140-b0d1-0197adc455a0,Lotus,28,7,14,22,Platinum,2.0,356.348,2,3,1,13,10,1,0,4
040a43d3-30a3-4f99-9020-0753c0b858c5,Haven,26,4,19,19,Platinum,2.0,275.615,2,2,0,12,14,1,0,4
edcdc953-ba6b-4993-b6b9-30785cc3a99a,Haven,13,5,17,12,Platinum,2.0,186.682,2,5,0,9,13,1,0,4
37ece3de-4be6-4ecd-8e33-24cf08e4249c,Summit,12,6,14,10,Platinum,2.0,157.455,2,1,1,13,9,1,0,4
45efb1e5-d3af-4184-a802-f784efc6880e,Abyss,19,5,14,16,Platinum,2.0,237.286,0,2,1,13,8,0,0,4
b305dcad-ccaa-4b92-8dde-4283269ea965,Lotus,9,2,15,9,Platinum,2.0,151.167,3,5,0,5,13,1,0,4
bcb878e7-eb7d-470e-b906-135bf91992ea,Abyss,12,2,13,10,Platinum,2.0,193.941,1,4,0,4,13,1,0,4
