id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
c838f9a6-e7e6-4615-8130-ca992a63e465,Ascent,19,4,12,11,Ascendant,2.0,240.571,2,2,1,13,8,0,1,3
af3e73cf-fd7f-4c1f-a175-f21da1e0e66c,Breeze,20,2,13,10,Ascendant,2.0,274.421,3,1,2,13,6,1,2,2
73c3d1f4-6278-40ae-be47-acbbdebec122,Haven,20,2,8,10,Ascendant,2.0,308.176,3,1,3,13,4,1,1,3
960c5673-a61f-4071-a32c-7ee61a63a429,Lotus,16,5,7,16,Ascendant,2.0,266.294,3,1,4,13,4,0,1,3
7b3c4fed-a3f3-4baa-9167-479e1f0f0ed1,Pearl,19,6,20,7,Ascendant,2.0,219.7,4,6,5,16,14,1,0,4
37dfd5ef-db86-448d-89d9-6fd22e1853f1,Haven,20,1,17,11,Ascendant,3.0,247.409,3,1,0,9,13,1,0,4
0298f99d-7405-4421-845c-54aa1baa1b51,Pearl,19,3,15,11,Ascendant,3.0,237.714,2,2,1,13,8,1,0,4
39db9025-2ae4-4045-b98e-6892a2df85f7,Haven,5,3,15,3,Unrated,,138.467,1,4,0,2,13,1,1,3
29f61e0c-d0c3-45c1-880a-7a2de2739cec,Lotus,16,13,12,15,Unrated,,222.762,1,1,1,13,8,0,1,3
b8badccb-a39b-40d1-be55-b7384004a207,Breeze,13,4,16,10,Unrated,,155.826,2,3,0,10,13,0,0,4
dfdb38f0-916d-4cd5-a1a8-7118586b9663,Summit,16,5,16,14,Unrated,,201.792,4,3,0,11,13,1,0,4
c5fbeff0-08f4-4b81-9ea3-2e26c26e70e6,Ascent,17,2,18,12,Unrated,,202.417,4,1,1,13,11,0,0,4
07e7ff53-59e5-4ddc-9d29-f099e4bddd13,Ascent,17,3,18,11,Unrated,,226.087,4,3,0,10,13,1,0,4
