id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
3bf15283-042a-4c49-88ad-8647c87d76f2,Abyss,14,9,17,11,Bronze,2.0,212.952,1,2,1,13,8,1,0,4
62e24b19-3cd9-466a-9d7a-af6d03a0fe21,Summit,16,4,15,12,Bronze,2.0,207.905,1,1,0,8,13,1,0,4
25f06e32-4312-44f0-a026-c932de7f86f8,Summit,18,6,11,12,Bronze,2.0,268.211,2,3,1,13,6,1,0,4
211ab8c0-6fa3-4818-9d07-9237712d072a,Ascent,17,4,11,11,Bronze,2.0,207.053,1,2,2,13,6,1,0,4
fde311d0-8360-4ba5-a30c-7bf192b1ca75,Lotus,35,15,24,25,Bronze,3.0,273.235,2,0,1,18,16,0,0,4
11051287-fbdd-4590-88ab-cdad43a22589,Haven,5,4,15,5,Bronze,3.0,113.333,1,3,0,5,13,0,0,4
5039904d-3e93-4bb3-97b8-de36a14f70c2,Lotus,18,4,15,17,Bronze,3.0,249.524,3,0,2,13,8,0,0,4
8ca93cde-0c2e-4700-9350-343cb8582947,Ascent,12,12,25,10,Bronze,3.0,167.923,3,4,0,12,14,0,0,4
9b439bce-cf07-4ea6-babd-dbce0a89129e,Haven,19,3,18,15,Bronze,3.0,260.286,1,3,0,8,13,1,0,4
932f54e5-598f-4c2d-83bc-8dc021483c5c,Lotus,25,12,17,9,Bronze,3.0,317.208,4,2,1,13,11,0,0,4
dbb03068-a79d-43a9-bbae-8c9cf0d4d7b3,Haven,12,4,18,12,Bronze,3.0,211.947,1,2,0,6,13,0,0,4
afd76c0f-a365-437d-9e8e-37d7fc36f9af,Lotus,8,6,14,8,Bronze,3.0,208.214,3,1,0,1,13,1,0,4
f629332b-c75c-4909-976a-8982f75a6dfb,Sunset,19,4,16,14,Bronze,3.0,235.13,4,3,1,13,10,1,0,4
d0488991-d17f-4d47-bf6c-36af48a0e1be,Haven,10,8,13,15,Bronze,3.0,181.889,5,1,1,13,5,1,0,4
15d887d0-f21b-4770-897b-8a5132e8c070,Haven,4,2,6,3,Bronze,3.0,58.682,2,1,0,9,13,1,0,4
d3237be7-9188-42fa-963f-7cb89cb554ba,Lotus,14,4,8,10,Bronze,3.0,231.625,2,2,1,11,3,1,0,4
cf669da9-791a-4ec1-811c-3824de940a1f,Sunset,6,2,16,3,Bronze,3.0,110.375,1,4,0,3,13,0,0,4
43f36525-a68e-4e54-b41a-566331532184,Lotus,18,12,20,17,Bronze,3.0,218.429,5,4,0,13,15,1,0,4
4ab4562d-73dc-4cb0-a053-ec338c46ab4a,Abyss,23,9,16,21,Bronze,3.0,351.333,7,2,1,13,8,1,0,4
0a024533-2fb7-47e7-829b-39795e83dda2,Summit,16,11,17,8,Bronze,3.0,247.429,5,6,0,8,13,0,0,4
5e498ab8-6e07-40e3-b57d-607f5aedc039,Haven,21,8,15,15,Bronze,3.0,276.364,2,0,1,13,9,1,0,4
