id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
3abc8299-0fd2-4480-b9aa-4a5c2492b6f6,Fracture,16,3,13,10,Platinum,3.0,193.591,3,4,1,13,9,1,3,1
eb701524-28f9-42f6-afb7-31513486d5a8,Pearl,21,7,19,19,Platinum,3.0,256.542,4,2,0,11,13,0,3,1
82ab8458-b655-4d15-afbc-079826936df0,Haven,12,1,20,8,Platinum,3.0,165.864,4,2,0,9,13,1,3,1
5d98db81-fd46-4b99-b758-879d33c737ef,Lotus,23,2,17,13,Platinum,3.0,232.885,2,1,1,14,12,0,1,3
32be6ea9-89ea-406e-9d4c-df8230795197,Split,21,4,18,14,Diamond,1.0,212.964,2,1,1,15,13,0,1,3
26f95c48-8d7b-49b1-871a-babab7a184f9,Breeze,14,4,13,11,Diamond,1.0,252.438,1,2,0,3,13,0,1,3
0cdd600f-a5ed-471d-a074-add31096aae4,Pearl,14,3,17,11,Diamond,1.0,199.2,3,4,0,7,13,1,2,2
c6bed165-9c7c-4f01-84c9-3324f3ed194f,Haven,12,5,17,8,Platinum,3.0,166.348,4,3,1,13,10,0,1,3
1435bad2-97eb-44ce-9bc5-3b2f2cbe59d3,Fracture,22,3,16,15,Platinum,3.0,251.667,2,1,2,13,11,0,1,3
5c6725e4-284d-499e-a8fa-894752df79db,Ascent,14,4,17,13,Diamond,1.0,204.143,0,5,0,8,13,1,1,3
aa4e77b4-a2e0-4012-8293-235ab2afde1a,Haven,13,1,14,7,Diamond,1.0,204.353,2,1,0,4,13,1,3,1
b764cb0e-adbe-4120-8156-d7cdd60c805b,Ascent,19,2,19,15,Diamond,1.0,236.667,5,2,0,11,13,1,3,1
9e6f098c-f961-4511-8514-2bb456f4ea3f,Fracture,19,4,17,10,Platinum,3.0,230.0,4,1,1,13,11,1,1,3
dab3781d-f5f7-4c99-972b-d33206836d0b,Lotus,22,1,13,13,Platinum,3.0,227.0,4,3,1,14,12,1,2,2
c4a717dc-7e73-4e10-89b9-0111b993ae7d,Split,22,6,9,16,Platinum,3.0,359.471,5,1,2,13,4,0,2,2
ac299c52-cf19-4467-a4d5-a713d048c4ff,Split,16,0,16,10,Platinum,3.0,205.524,3,5,0,8,13,1,1,3
652eabf9-1096-4ac1-9654-c2ccb5db6ea4,Breeze,21,5,20,19,Diamond,1.0,246.042,4,2,0,11,13,0,2,2
