id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
ab8fb01d-d149-400e-bcb7-b2e25c8ee7fd,Ascent,13,2,15,6,Diamond,3.0,186.55,1,0,0,7,13,1,2,2
8a08045c-41d4-4e1a-aebc-059bd791cb45,Ascent,15,2,14,9,Diamond,3.0,186.273,1,1,1,13,9,1,0,4
3839b5be-7d37-45e5-aecb-36864c969d47,Haven,20,4,15,13,Diamond,3.0,264.857,3,0,2,13,8,0,0,4
f53ab275-f2c5-44c1-b886-bc5ba13ea350,Lotus,14,9,20,6,Diamond,3.0,174.846,4,2,0,12,14,0,0,4
23631cb0-fd7b-4887-809e-d4bd4163f7a6,Breeze,22,2,17,13,Diamond,3.0,262.435,3,2,1,13,10,0,0,4
5596dd4a-2027-4957-9a4b-29fe63efa003,Split,22,3,17,19,Diamond,3.0,301.045,4,1,0,9,13,0,1,3
a154bdd2-0eb0-4b8d-b1da-982487e0c795,Pearl,6,4,11,2,Diamond,3.0,132.429,0,2,0,1,11,1,1,3
c99b6c99-02fd-4cb1-8fd5-67dad6689622,Breeze,14,7,19,8,Diamond,3.0,168.5,2,3,1,13,11,1,1,3
4708da8b-9816-446a-a17e-741405878925,Pearl,20,6,14,13,Diamond,3.0,255.381,0,1,2,13,8,1,0,4
c7bf25c1-707a-403b-b51b-13aabbf6fb15,Split,19,2,16,11,Diamond,3.0,215.261,3,2,0,10,13,0,1,3
ee859ba0-218e-419c-9cc1-95fef497c89c,Fracture,15,3,15,9,Diamond,3.0,198.75,1,3,1,13,7,0,0,4
e4012e8b-12e5-4f22-aa1e-82d14d59f6d0,Fracture,10,1,14,6,Diamond,3.0,184.875,0,2,0,3,13,1,1,3
5563f4ff-38a3-4f23-afba-e324c1e026b5,Lotus,15,8,15,10,Diamond,3.0,278.882,1,4,1,13,4,0,1,3
82d2fff6-9fb0-4d45-91c1-80bd0129eb72,Breeze,17,1,13,8,Diamond,3.0,259.824,1,1,2,13,4,0,1,3
fdc6113c-f3c4-4ecf-8784-9d0fbadbd77c,Haven,19,1,13,15,Diamond,3.0,229.87,4,2,1,13,10,1,1,3
