id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
14c86f8b-104b-47db-a0f3-b9aeb94c4046,Lotus,28,3,16,23,Diamond,3.0,436.105,5,1,0,6,13,1,0,4
0b679714-f365-411f-839d-8677171dad80,Split,33,4,15,26,Unrated,,478.526,9,2,1,13,6,0,0,4
bc8a3435-b3cd-4ca5-a3d0-a80351039196,Split,21,2,20,18,Diamond,3.0,241.875,5,4,0,11,13,0,0,4
b1aed06f-c175-4faf-b63f-0096a9564209,Summit,25,4,17,22,Diamond,2.0,288.5,2,1,0,9,13,0,0,4
b8a9ec3e-f9e1-4415-a7c5-0a25fc297cd1,Lotus,18,5,18,12,Diamond,2.0,228.217,2,4,1,13,10,1,0,4
6d2b51b0-6425-479e-a9b3-37bf5ba29e11,Summit,20,3,11,10,Diamond,2.0,318.294,5,3,1,13,4,1,1,3
71780e53-7810-461c-b528-fb54dbff0649,Sunset,15,1,17,14,Diamond,2.0,247.0,4,1,0,6,13,0,1,3
7842f222-3ece-4347-9e9d-db2c740e1bff,Ascent,15,0,14,11,Diamond,2.0,336.929,2,1,0,1,13,0,0,4
420d2d01-8afd-4d53-80c1-9b858c645bb3,Split,24,2,17,13,Diamond,2.0,314.318,4,6,0,9,13,1,0,4
5c2c6ac6-6b85-40c8-bf35-8d802ca925bd,Abyss,15,2,19,9,Diamond,2.0,201.182,3,5,0,9,13,1,1,3
09ec631e-e0bb-4469-8e34-d422a58719a0,Lotus,15,2,6,10,Diamond,2.0,284.0,3,1,1,9,2,1,0,4
18bf7cfd-9efc-4fe0-99c9-4f810e1760ef,Sunset,26,2,17,21,Diamond,2.0,284.462,3,8,1,14,12,0,1,3
d954c0ef-8da1-493a-9b70-82de4804e02e,Abyss,16,3,18,13,Diamond,2.0,239.263,5,5,0,6,13,0,1,3
b91258b7-7a0e-44bb-8626-25d2638fe7c8,Haven,26,10,25,24,Diamond,2.0,294.5,5,5,0,14,14,1,1,3
5b5535fe-4f9d-44e2-a42f-07bd44680ae4,Sunset,33,7,21,25,Diamond,2.0,374.731,6,2,1,14,12,1,1,3
184e04e0-11d4-49a5-94d9-b2c754d72752,Haven,30,4,19,22,Diamond,2.0,368.083,8,5,0,11,13,1,1,3
943504f5-4889-4a3b-adb9-4108bc62b61c,Split,18,8,15,9,Diamond,2.0,237.545,3,4,1,13,9,1,1,3
974c40d3-d9ad-4631-ad71-4f5bd4ee5d0e,Summit,21,6,25,15,Diamond,2.0,209.571,2,4,0,13,15,1,0,4
c68dd53b-0214-4318-86f6-6ae8c7a10b83,Lotus,31,9,13,16,Diamond,2.0,436.35,6,3,1,13,7,1,0,4
675833a3-ecb0-4860-b489-5d8bdfc215fc,Split,8,1,14,8,Diamond,2.0,151.062,1,6,0,3,13,1,0,4
