id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
f7476e2f-42fc-48ee-9297-f7a8864ecb6d,Split,14,5,11,5,Immortal,1.0,228.706,2,2,1,13,4,0,0,4
a527f184-bd32-4b7c-9e28-3e895dce7cc5,Abyss,10,5,13,9,Immortal,1.0,120.13,0,2,0,10,13,0,0,4
f9b668f1-1fc4-4330-9eb1-31c9333b8b48,Ascent,15,5,17,12,Immortal,1.0,179.208,2,3,0,11,13,1,0,4
9ded85f5-e0f1-4e18-92fd-4a179ba58a69,Ascent,12,9,15,10,Immortal,1.0,200.95,1,1,0,7,13,1,0,4
800408f8-f92a-45c0-ba06-cee81a14437a,Split,14,6,9,13,Immortal,1.0,225.941,2,1,1,13,4,0,0,4
1f27fdfc-d3c8-4d87-89cd-1267dfdaa43e,Ascent,30,5,22,17,Immortal,1.0,294.964,6,1,0,13,15,0,0,4
9fd5920e-e108-462c-97bb-64bcb9f12429,Lotus,18,2,16,14,Immortal,1.0,216.087,2,1,0,10,13,0,0,4
164964c4-9d4e-4cf2-9a05-5ee5e16630f1,Lotus,13,12,18,9,Immortal,1.0,134.346,2,1,1,14,12,0,0,4
7c4b8a2d-cc25-40ed-8500-c04d9fe859ba,Sunset,17,7,7,12,Immortal,1.0,264.765,1,0,1,13,4,1,0,4
394bccb6-f199-4c73-9d93-e9933c6cfd07,Abyss,21,8,16,18,Immortal,1.0,277.524,1,0,0,8,13,0,0,4
ac58b0bd-b5ec-4957-9c35-14121b5b6634,Ascent,14,13,8,11,Immortal,1.0,266.118,0,0,1,13,4,1,0,4
