id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
07a0abb0-ec09-4e5a-b4de-ce90cfd1c831,Pearl,16,3,23,15,Ascendant,3.0,193.5,1,3,0,12,14,0,3,1
a9c41f68-4797-4881-bb92-07b6d8db2208,Split,23,8,22,22,Ascendant,3.0,282.75,1,0,1,13,11,0,1,3
eae23fc0-2bc1-413d-91b3-cf25091c1070,Breeze,12,6,19,9,Ascendant,3.0,168.05,1,2,2,13,7,0,0,4
2967fc06-c019-4252-9fad-9b6c7b2bd1ae,Fracture,6,3,17,5,Ascendant,3.0,92.2,0,5,3,13,7,0,0,4
0ae5ca3c-2e92-4ca1-931b-c21c5a21034b,Split,8,5,16,7,Ascendant,3.0,122.167,0,1,0,5,13,0,1,3
064900ae-674a-46e0-b59b-757ecdad6a38,Lotus,15,6,17,13,Ascendant,3.0,215.7,4,3,0,7,13,1,1,3
4558edee-9bcf-4b2b-aa35-752f382216bd,Split,11,8,18,8,Ascendant,3.0,200.471,1,1,0,4,13,0,1,3
81ebb9b9-0ad4-46e6-a67d-17367df26210,Breeze,9,4,14,7,Ascendant,3.0,143.8,1,2,1,13,7,1,1,3
1c2d896d-d8f3-42a5-8967-6a5b7e18bd49,Haven,13,5,9,10,Ascendant,2.0,233.533,1,1,1,13,2,1,1,3
bbd1adc2-4755-430d-a2c7-f6ecf1b0ee08,Fracture,23,4,19,12,Ascendant,2.0,261.208,1,2,0,11,13,1,1,3
bee478f8-bb65-4743-b308-5f4bcc698c51,Ascent,9,7,13,9,Ascendant,2.0,184.529,5,4,1,13,4,1,1,3
2193e418-1d11-420e-9dea-fdbf1d4c8792,Split,12,11,19,9,Ascendant,2.0,179.905,2,0,0,8,13,0,1,3
c215b618-20de-4a89-8c1a-6b4dd31b5d3b,Lotus,19,7,24,15,Ascendant,2.0,190.321,1,5,0,14,14,0,1,3
