id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
89a58367-8960-44b7-ac41-b86f8ce19851,Haven,10,8,18,3,Bronze,1.0,129.25,1,3,1,13,11,1,0,4
592a1f23-faa1-4ec8-a9db-ea124a81ebab,Sunset,11,9,15,2,Bronze,1.0,152.143,0,3,2,13,8,1,0,4
8d61fd7f-5e3c-43e9-a635-8211e10d3571,Ascent,9,6,18,2,Bronze,1.0,147.0,1,0,0,9,13,0,1,3
ff28e4aa-e2b7-4b32-9aba-afe036136000,Summit,10,2,11,4,Bronze,1.0,191.067,0,2,0,2,13,0,1,3
9b427ca9-13f2-4759-897e-eeb4bd0d12ac,Abyss,14,4,16,8,Bronze,1.0,239.688,4,2,0,3,13,0,1,3
db8f5c37-88d9-4f13-9dd3-d0e2fcfb979f,Ascent,10,5,15,4,Bronze,1.0,232.0,2,1,0,2,13,1,1,3
8deede23-c656-48ff-8f2c-cec36cf3b39a,Abyss,16,9,21,7,Bronze,1.0,191.875,1,0,0,11,13,0,1,3
d14fecf2-fdc1-44c3-9c97-4235ef28ef54,Sunset,14,10,23,4,Bronze,1.0,163.25,2,4,0,14,14,1,2,2
868d535d-cbaf-4864-ba5b-96498b0f5cea,Summit,18,6,12,5,Iron,3.0,213.905,0,1,1,13,8,0,2,2
967df9e8-1be6-48c4-81d5-776c3694ae2a,Split,15,7,22,6,Iron,3.0,165.0,3,3,2,15,13,1,2,2
b927359b-93d3-440d-996f-149186a7e20d,Lotus,2,4,18,1,Bronze,1.0,50.667,0,2,0,5,13,1,2,2
b6d73cdd-f4dd-46e9-a75b-8211a83431bb,Sunset,10,2,16,3,Bronze,1.0,158.632,4,2,1,13,6,0,2,2
46520c49-b8ca-4220-8fe9-938be24ad5e8,Lotus,11,9,14,6,Bronze,1.0,156.273,1,1,1,13,9,0,2,2
890930e3-b5b0-463f-af65-0d42c12a44df,Haven,12,10,14,6,Bronze,1.0,189.778,1,2,2,13,5,1,2,2
2a9c7bcc-93a3-4e18-8e47-fe9f8c0e3ccb,Haven,5,7,16,3,Bronze,1.0,126.167,1,2,0,5,13,0,2,2
d855e991-4faa-4280-bdcb-1b94bc8e7965,Summit,13,4,8,4,Bronze,1.0,172.3,1,0,1,13,7,1,2,2
d609046e-e76a-425b-a30d-7d5405ba67fe,Lotus,9,2,15,5,Bronze,1.0,110.429,0,2,0,8,13,1,2,2
d44e0438-1f89-4bb1-a25e-239fc0f26dd5,Haven,7,11,16,2,Bronze,2.0,122.524,0,2,1,13,8,1,2,2
1a7ab463-b630-4d74-83ca-ef174cb29cb4,Haven,7,5,14,1,Bronze,1.0,94.826,1,1,2,13,10,0,2,2
8f865342-fc19-45e9-9767-1378c342ceaf,Sunset,9,13,21,6,Bronze,1.0,116.429,0,4,3,15,13,0,2,2
2733eb71-e447-4beb-b7dc-1969a9229d72,Split,9,4,17,3,Bronze,1.0,137.95,0,4,4,13,7,1,2,2
bbad47e5-2943-468a-88a2-1d6c4c589f96,Abyss,5,10,14,3,Bronze,1.0,102.25,0,1,5,13,7,0,2,2
9ab2cd24-b6c5-41d0-8d67-fa3ddb44e818,Lotus,6,5,12,0,Bronze,2.0,89.4,0,1,1,13,7,1,2,2
87fc9feb-84bf-4fd7-9084-f12d9f81cfe3,Lotus,12,6,20,4,Bronze,2.0,158.917,1,3,2,13,11,0,2,2
8068b562-de0e-4acd-bb1a-8e84111e14dd,Sunset,6,6,8,2,Bronze,2.0,85.0,0,1,1,13,4,0,2,2
8ac459fc-be12-4e21-9093-a346f82324ad,Lotus,9,3,20,4,Bronze,2.0,102.542,0,0,0,11,13,0,2,2
8b76db7a-54cc-45bb-8d44-b6ad7bad70b6,Ascent,9,1,13,3,Bronze,2.0,109.625,0,1,0,11,13,0,2,2
