id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
f9071454-6f4d-4ef6-8b12-9b26419c8ead,Lotus,20,11,13,10,Unrated,,296.3,4,1,1,13,7,1,0,4
b23f4c57-4a02-4e4b-9fb6-abb66f466fb4,Lotus,15,6,18,4,Iron,3.0,187.75,2,5,0,11,13,0,0,4
e2816210-a373-4fe9-9ed9-c9030c0f3457,Ascent,26,7,16,20,Iron,3.0,439.412,6,0,1,13,4,0,0,4
b356d51a-95f2-4aa3-909a-67300052dfc0,Abyss,6,6,15,3,Iron,3.0,142.133,0,2,0,2,13,1,0,4
740ea85e-8220-44a4-af0b-02220d07f35f,Sunset,26,7,15,11,Iron,3.0,330.652,6,4,1,13,10,0,0,4
5b60b714-e81e-41bf-870e-1b22ea3fdd15,Sunset,14,2,11,5,Iron,3.0,225.294,2,0,2,13,4,1,0,4
15a98542-c6cc-4051-a2ed-e1947e0a5f08,Abyss,8,5,10,2,Iron,3.0,183.0,2,0,3,13,1,0,0,4
0b02885f-f361-4670-b7c9-f8261a26a5b5,Summit,9,11,18,6,Bronze,1.0,138.0,1,2,0,9,13,0,0,4
b967ac3b-0faa-4493-a649-15fbf15481d2,Split,17,7,15,8,Bronze,1.0,259.474,2,1,1,13,6,0,0,4
e9f54f78-4e3c-479f-88c8-d5d2e62b5185,Summit,18,13,20,9,Bronze,1.0,229.875,3,4,1,13,11,1,0,4
97a3bdd1-f9fc-4bb2-a040-558ba908a416,Ascent,19,10,20,7,Bronze,1.0,213.13,2,1,1,13,10,1,0,4
5198828b-2642-4062-96b6-5bbc5be49159,Split,27,11,16,16,Bronze,1.0,351.174,5,3,2,13,10,0,0,4
f9644f33-e7d0-47ac-9698-ca5c79d1a7a1,Lotus,16,13,19,15,Bronze,1.0,243.143,2,8,1,13,8,1,0,4
f6e556e1-292b-45f3-87fb-a012406ea906,Abyss,12,7,14,2,Bronze,2.0,146.609,1,1,1,13,10,0,0,4
a11c1f8a-a994-4987-ad5e-024ccd542f61,Haven,13,9,20,4,Bronze,2.0,195.0,4,4,0,7,13,1,0,4
e5623f51-046e-4ccc-ac0c-4b5b15a92450,Ascent,5,2,7,5,Bronze,1.0,92.429,2,3,1,8,1,0,0,4
