id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
ab8fb01d-d149-400e-bcb7-b2e25c8ee7fd,Ascent,16,8,13,8,Diamond,3.0,253.95,2,0,1,13,7,0,0,4
3ece756e-0406-4a6d-bc00-33c3e1289224,Ascent,18,19,25,12,Diamond,3.0,203.767,2,2,1,15,15,1,2,2
9b9dbede-46d2-42ae-8067-0db1eeb719b6,Breeze,16,8,18,13,Diamond,3.0,184.308,2,1,0,12,14,1,0,4
ac04103b-cf07-4d83-93f7-e0bae38e60d6,Pearl,13,5,18,5,Diamond,3.0,172.409,2,0,0,9,13,0,1,3
90203048-f38a-400f-807d-cd01d67ce38b,Haven,10,2,14,5,Diamond,3.0,201.533,2,0,0,2,13,1,1,3
aa6b32a2-d34f-4db2-bf81-e8b52d790155,Breeze,9,6,11,5,Diamond,3.0,133.211,0,0,1,13,6,1,0,4
4db2fb03-0734-457d-8952-70cbc6bb3628,Haven,14,4,14,8,Diamond,3.0,227.667,1,2,0,5,13,0,0,4
efe5d470-c22f-4961-86d5-8cca570c47d1,Split,16,7,18,10,Diamond,3.0,193.417,4,2,0,11,13,0,0,4
a1e5c228-1d29-4d9f-9315-6d67230da22c,Fracture,18,5,15,11,Diamond,3.0,247.727,2,0,0,9,13,0,0,4
a32b83a1-3c8a-43a0-a8e3-88f88cf660a6,Breeze,22,7,18,19,Diamond,3.0,313.391,3,0,1,13,10,0,3,1
135ea325-f88e-44a2-bfd5-52d90cff3dac,Haven,21,10,17,14,Diamond,3.0,297.739,2,5,2,13,10,1,3,1
853d1892-e78a-45ff-809a-f7c2a5073bcc,Lotus,17,8,20,13,Diamond,3.0,224.792,6,5,0,11,13,0,2,2
e1c8d1ea-9056-4f37-8642-c48005f89d6a,Haven,18,2,18,17,Diamond,3.0,258.65,3,1,0,7,13,0,2,2
6daec91e-e4b1-488c-b15b-ec542f274dc4,Fracture,21,7,17,15,Diamond,3.0,273.417,3,2,1,13,11,0,0,4
a43296e5-dc21-4dcf-b9dd-a887326b81dd,Fracture,17,3,15,12,Diamond,3.0,230.15,4,1,1,13,7,0,0,4
c629ac51-7a73-4d8f-a5b5-373b41cfa7f8,Split,19,4,15,9,Diamond,3.0,334.611,1,1,0,5,13,0,0,4
c2b4f463-6470-496d-afaf-e250e344fbde,Fracture,7,4,7,4,Diamond,3.0,135.714,1,1,1,13,1,0,0,4
da99c5ce-7030-40e6-b1ec-967b4198f850,Breeze,19,8,14,13,Unrated,,244.87,1,1,1,13,10,1,0,4
6d30b567-4e68-4ccd-b593-7631a5fc1a90,Haven,7,3,14,10,Unrated,,189.333,1,2,0,2,13,1,0,4
346c4b5d-327d-405d-bcf2-eef6a8e5424b,Ascent,22,7,12,11,Unrated,,297.368,1,0,1,13,6,1,0,4
0c6d4e8b-ef42-480f-bfca-634b2cfb3c64,Breeze,11,1,13,9,Unrated,,150.7,1,2,0,7,13,1,0,4
0e4c08ab-4ce1-4cda-a5e8-6ac1527d10ed,Split,16,9,18,16,Diamond,3.0,201.042,5,3,0,11,13,0,0,4
6a6e62d0-1be5-4b3e-8665-b06886db8e67,Breeze,21,4,14,12,Diamond,1.0,316.4,4,2,0,7,13,1,1,3
4df34ce6-3fd5-476f-83a3-6a0c5761d246,Sunset,13,6,12,4,Platinum,3.0,193.737,2,1,1,13,6,0,2,2
c64e57e8-94c1-48c0-a184-1f4643267659,Summit,14,4,14,8,Platinum,3.0,178.286,1,2,2,13,8,1,2,2
6524a3f0-781f-4b0a-aae6-461bedfb22b1,Haven,12,3,21,12,Platinum,3.0,183.5,1,3,0,9,13,0,2,2
2daf3fe2-ce8f-4743-9655-d8286d37a181,Lotus,9,4,17,9,Platinum,3.0,163.056,2,4,0,5,13,0,2,2
22467654-460a-4127-a529-d065c9a04386,Summit,19,12,16,17,Diamond,1.0,263.818,2,0,0,9,13,0,0,4
2bf91a0f-0eba-413f-a01c-2639b77e9126,Breeze,10,6,20,9,Diamond,1.0,153.909,0,0,0,9,13,0,0,4
4f597f34-3870-46b5-a741-e7af786db637,Haven,18,5,17,9,Diamond,1.0,215.792,0,1,0,11,13,0,0,4
a7868810-bbb2-4a66-98ab-7927278ef60e,Haven,15,14,13,6,Platinum,3.0,248.4,2,1,1,13,7,0,0,4
437617f5-dfe3-49cf-b8bc-5699ee3dc026,Split,13,6,18,10,Diamond,1.0,217.368,1,0,0,6,13,0,1,3
27791d27-b922-443b-a876-dae8b767a3bd,Ascent,18,2,8,11,Diamond,1.0,278.412,6,0,1,13,4,1,1,3
5d8de604-f710-42a2-ace5-6fe32f492eea,Split,10,9,18,7,Diamond,1.0,164.087,1,3,0,10,13,0,1,3
69554ecd-7f48-4bf0-8c05-4988b8c55a7a,Lotus,23,6,17,16,Diamond,1.0,292.174,2,2,0,10,13,0,1,3
3340d38b-510f-4edc-aaab-ddadf4f91e7d,Sunset,15,5,11,6,Diamond,1.0,205.053,1,2,1,13,6,1,1,3
621407dc-50d0-4809-a00c-4a3ebb77d455,Haven,14,5,15,12,Diamond,1.0,164.654,1,0,1,14,12,0,0,4
59350fab-0109-4dce-b383-256671b010cd,Summit,8,8,13,2,Diamond,1.0,119.05,1,3,0,7,13,0,0,4
bc1a7e29-1482-4110-a849-50a7f85f2924,Ascent,20,9,15,17,Diamond,1.0,275.286,0,1,0,8,13,0,0,4
8affd09f-4e88-40aa-8cf5-4e2d8d0687d9,Breeze,20,5,12,12,Diamond,1.0,282.952,1,1,1,13,8,1,0,4
fbc3e33e-bb1c-47e1-b86c-f1667aa0355f,Haven,12,10,15,11,Diamond,1.0,192.273,0,0,0,9,13,0,0,4
a96dd442-4e82-46e5-89e4-0bcbe0f50684,Lotus,18,8,10,12,Diamond,1.0,267.25,1,2,1,13,7,1,0,4
c2ba4fba-09b4-40b3-afab-97e92c377f4b,Lotus,11,4,10,3,Diamond,1.0,147.7,2,1,1,13,7,0,2,2
2b0b910f-91a6-4c1f-aaae-bf261cd06502,Sunset,17,2,18,12,Diamond,1.0,238.909,5,1,0,9,13,0,2,2
1f85d6e4-8bc4-49be-910b-afb5460eb0e3,Ascent,17,6,15,12,Diamond,1.0,210.208,1,3,0,11,13,1,2,2
934c78a5-d507-44a6-b7a6-7ecbbabc4abd,Breeze,19,24,25,11,Diamond,1.0,183.471,1,3,0,16,18,0,2,2
3233ed00-41dd-42dd-90db-2a76d5e21931,Split,18,2,14,16,Diamond,1.0,246.789,0,1,0,6,13,0,0,4
dc1a0632-47bc-47d4-b1b5-2c14140de1b6,Split,11,4,9,6,Diamond,1.0,198.75,1,0,1,13,3,0,0,4
6277dbeb-31a5-42bf-ba93-2d77c098d628,Breeze,11,5,19,6,Diamond,1.0,177.429,3,3,0,8,13,1,1,3
c284299a-96a4-4765-8fc6-b5af4f22a06f,Ascent,12,15,19,7,Diamond,1.0,168.833,0,1,0,11,13,0,0,4
ce3407cf-489e-4bfd-8945-832be723b372,Sunset,16,5,17,12,Diamond,1.0,207.0,3,0,1,13,10,1,0,4
41415e49-8679-4956-98ef-fd3ce2bdfd65,Split,20,7,12,17,Diamond,1.0,280.737,2,2,1,13,6,0,0,4
877375f1-2d74-4c82-a908-e8ef21d28990,Haven,14,2,17,3,Diamond,1.0,162.522,0,3,0,10,13,0,0,4
47aa21a9-1022-477c-b28c-903abdee39e1,Ascent,12,11,14,9,Diamond,1.0,199.7,0,0,0,7,13,0,0,4
16d790f3-635a-4815-b8ce-3f5d8110ff01,Sunset,22,10,17,16,Diamond,1.0,256.538,2,2,1,14,12,0,0,4
