id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
5cffd4e0-098c-4a9d-826d-346791abdf9a,Breeze,19,0,7,15,Ascendant,3.0,275.824,0,1,1,13,4,1,1,3
07a0abb0-ec09-4e5a-b4de-ce90cfd1c831,Pearl,13,6,18,12,Ascendant,3.0,162.038,0,0,0,12,14,0,2,2
70279999-6745-4eaf-8a8a-d070e8dcf49c,Breeze,10,4,10,8,Ascendant,3.0,170.588,1,0,1,13,4,0,0,4
0cc82d00-b76f-4c19-8e18-ca73ce24582f,Ascent,15,8,15,13,Ascendant,3.0,225.286,1,1,0,8,13,0,0,4
4ccb2729-1c3c-4366-beb5-857623bdd9bb,Lotus,22,17,12,22,Ascendant,3.0,298.286,1,0,1,13,8,0,0,4
5d4e4188-b610-4d2e-8700-dcb301447714,Lotus,9,9,13,6,Ascendant,3.0,143.667,0,2,0,5,13,0,0,4
63569cff-4c4e-4b1b-a64a-bfc9478c395a,Haven,16,1,15,11,Ascendant,3.0,187.348,1,3,1,13,10,1,0,4
bc891482-1682-4659-a686-fda2a77121e0,Haven,18,1,17,14,Ascendant,3.0,265.15,2,2,0,7,13,1,0,4
f98b441c-0a8b-4b14-80df-6d5b92626e9a,Breeze,25,9,16,19,Ascendant,3.0,288.708,1,1,0,11,13,0,0,4
08f5f5dd-bb3f-4dbe-8d3d-977ba0adff3a,Lotus,16,3,13,14,Ascendant,3.0,246.389,6,1,1,13,5,1,0,4
2a748ea6-3d90-48d3-ae78-d00389b9538e,Split,13,11,13,7,Ascendant,3.0,140.375,1,1,2,13,11,0,0,4
8f1b5e0d-d47b-49f7-90f2-338c09af265b,Fracture,20,4,18,17,Ascendant,3.0,227.75,1,0,0,11,13,1,1,3
e4f23d53-2376-416d-bf7c-8ce488908b9a,Ascent,15,6,14,8,Ascendant,3.0,175.261,1,1,0,10,13,0,1,3
e7d9fbdd-e1dd-430a-8d82-628c2ab93805,Split,11,7,12,7,Ascendant,3.0,144.556,2,0,1,13,5,0,1,3
95c87d1a-9f2d-4046-af10-e4ee5ec62910,Fracture,12,2,17,9,Ascendant,3.0,145.826,3,4,2,13,10,1,1,3
f260cea6-bc76-4283-96d3-48ee259a6f0c,Haven,12,1,8,6,Ascendant,3.0,199.938,2,0,3,13,3,1,1,3
a1743e10-e583-43ed-9313-2b227208bd0e,Ascent,17,3,15,17,Ascendant,2.0,211.136,3,4,1,13,9,1,1,3
01f5f6c2-be68-4d7a-8a8d-809c7c3a8cd7,Fracture,22,7,15,16,Ascendant,2.0,296.364,3,1,0,9,13,0,0,4
d401c79b-ce10-4546-bfdc-f2328069d39a,Split,12,5,18,7,Ascendant,2.0,194.3,3,2,0,7,13,1,0,4
f6c77222-3a97-4d18-a4de-2b8e65bc8233,Split,23,2,19,20,Ascendant,3.0,287.304,6,1,0,10,13,1,1,3
6617961c-69b6-473f-8478-025bc4535245,Fracture,18,7,19,15,Ascendant,2.0,205.391,1,1,0,10,13,1,0,4
2d0a42c5-aeeb-4105-bdda-9bd8e862f722,Breeze,14,6,17,13,Ascendant,2.0,162.591,0,3,0,9,13,1,0,4
a7f8cd2d-60a3-4157-8bf4-cf8f444c5dfb,Ascent,15,3,14,9,Ascendant,2.0,243.444,1,1,0,5,13,0,1,3
f1b2cbdd-f68c-49d7-b5ef-75daefbf0612,Breeze,13,0,17,10,Ascendant,2.0,164.35,3,2,0,7,13,0,1,3
