id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
01475b1b-00ba-426b-921d-99b46dbccf03,Haven,14,5,10,13,Gold,2.0,258.25,3,1,1,13,3,1,0,4
7df844b2-bdc5-4416-8ecb-5b9732541839,Ascent,21,5,20,13,Gold,2.0,202.214,5,3,2,15,13,1,0,4
60b1269c-5b83-47ac-b97c-fb8066aa3c89,Lotus,11,1,12,7,Unrated,,153.381,0,1,3,13,8,1,0,4
35a91eba-7a8d-45e5-843c-8c253321ab1e,Breeze,5,0,14,4,Gold,2.0,96.857,0,3,0,1,13,0,2,2
15092b33-aaca-4da0-8ca0-e2ebd09a71c1,Split,10,0,17,5,Gold,2.0,183.706,1,2,0,4,13,1,2,2
8bbb78cd-dc1f-4cdb-a290-b65f714a7539,Ascent,22,1,17,15,Gold,2.0,250.042,0,2,0,11,13,1,3,1
2f1da025-bd7c-4bb6-a6d8-44f9567614ab,Summit,13,4,12,7,Gold,2.0,171.158,1,2,1,13,6,1,3,1
5584b1c6-2af0-4291-8f13-cfc8ecbc246a,Haven,25,1,13,9,Gold,2.0,313.409,1,2,1,13,9,1,1,3
39c41c7f-24f9-4db9-8cfc-0a994c762b3c,Summit,15,5,20,10,Gold,2.0,150.567,1,7,2,16,14,1,1,3
888661ad-bf49-4376-8e4b-0ac37015970f,Sunset,21,9,17,12,Gold,2.0,259.696,4,3,1,13,10,1,1,3
aa28e1b0-bdd7-4500-9a40-bdfdc6621c4a,Ascent,13,1,14,3,Gold,2.0,236.667,0,2,0,2,13,1,1,3
