id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
1bbe367b-aeb2-4f1d-9160-84163fc7e83d,Haven,8,5,19,4,Silver,2.0,130.381,1,1,0,8,13,0,1,3
32fd6f23-6d77-45c6-8ef0-7037a0de5cc0,Haven,11,16,22,4,Silver,2.0,141.357,1,3,1,15,13,0,1,3
95799edf-4ec3-4865-bd79-d759ad23bb01,Lotus,21,14,21,5,Silver,2.0,207.3,0,3,0,14,16,1,1,3
a0be3300-259f-404b-ba43-425bb316260c,Pearl,18,3,19,8,Silver,2.0,227.542,5,2,0,11,13,0,3,1
00fa081a-0796-466b-a9f8-0fb5bc983aee,Lotus,26,4,16,20,Silver,2.0,316.391,2,3,1,13,10,0,3,1
fbbff0ae-0b9c-4e7b-901f-a71055f49015,Breeze,20,7,20,16,Silver,2.0,213.357,3,4,1,14,14,1,0,4
1df91289-61fd-4f9f-8937-92216e075af2,Fracture,21,8,16,12,Silver,2.0,278.143,5,1,0,8,13,1,1,3
66c8a419-a503-41ff-9422-4431ced30f11,Breeze,19,3,14,10,Silver,2.0,245.45,0,3,0,7,13,0,1,3
795d1ccf-b3b5-4691-acaa-c4c3b92e12d8,Breeze,12,1,7,7,Silver,2.0,214.0,0,1,1,13,1,0,1,3
d606ec31-6800-4467-bde2-712fac77422e,Fracture,20,2,10,4,Silver,2.0,295.412,3,0,1,13,4,0,0,4
87ff8761-874b-447e-acfb-0b62095d8658,Ascent,22,7,19,6,Silver,2.0,279.87,4,3,1,13,10,0,1,3
f3e326aa-844d-4d48-89f3-1412a8d229db,Lotus,19,4,16,6,Silver,2.0,250.727,2,3,0,9,13,1,2,2
503a70f6-527c-4c01-bc90-2ef3b7f39931,Pearl,10,0,13,5,Silver,2.0,205.812,1,2,0,3,13,0,4,0
c1972303-3dc7-46a2-a26d-39d449eb5900,Haven,15,5,17,8,Silver,1.0,216.913,4,3,1,13,10,1,3,1
59547ca8-d1ac-4d2b-9125-e407fade610c,Haven,15,4,17,16,Silver,2.0,190.143,3,1,0,8,13,0,1,3
690ea1d2-e4ec-4433-ba26-3a1361d10f5c,Fracture,29,0,12,12,Silver,1.0,363.857,7,2,1,13,8,1,1,3
83ce32e7-01fa-4689-8232-4dccf35e8c3a,Breeze,16,1,16,7,Silver,2.0,237.333,3,2,0,5,13,1,1,3
029af2c3-6446-413d-a35e-11bcaa0f4d88,Pearl,18,5,20,7,Silver,2.0,244.087,2,3,0,10,13,1,4,0
aaf05d09-954e-4d38-bf46-7d92a6151fff,Fracture,16,8,14,10,Silver,2.0,231.6,0,0,1,13,7,0,4,0
801a19ab-0f6a-4988-a9ca-8520b177c090,Haven,19,2,16,8,Silver,2.0,211.217,3,3,1,13,10,1,1,3
0eb1dad8-b5d1-4792-bbf9-d4350e4f1287,Split,18,8,10,7,Silver,2.0,281.588,3,0,2,13,4,0,1,3
1a004b85-14aa-406d-9b4e-b00387991d46,Lotus,15,7,17,7,Silver,2.0,201.227,3,0,0,9,13,1,2,2
b2f4de61-548f-412f-8c82-1f3fa806b719,Split,18,6,9,8,Silver,2.0,291.556,2,1,1,13,5,0,2,2
31d4fac1-6e3c-4571-80e9-bf1522a9964c,Ascent,16,8,16,6,Unrated,,227.571,4,0,0,8,13,0,1,3
6bb9cee1-3352-4be0-87c9-efc1026318cf,Summit,10,9,18,4,Unrated,,144.391,0,4,0,10,13,0,1,3
dcbdb706-7fdd-448b-97f9-e3e142015913,Lotus,11,3,14,8,Unrated,,164.571,1,3,0,8,13,0,1,3
68798acb-c3b8-4575-be02-b8c3e7870555,Haven,17,6,17,9,Unrated,,220.435,4,3,1,13,10,0,0,4
c63ae207-775e-44ad-bc1b-d731f04dc1b4,Ascent,27,9,15,9,Unrated,,339.818,3,2,2,13,9,1,0,4
1cdcc5ed-b9c9-475a-9001-48f9662b6679,Split,14,13,13,9,Bronze,2.0,224.0,3,2,1,13,6,0,4,0
e439c5d2-bcaa-47c9-b58c-5ff48348d315,Haven,9,13,17,4,Bronze,2.0,147.667,3,5,2,13,8,1,1,3
c4b925aa-fb58-4d08-b79a-141e7b13be27,Lotus,14,12,19,9,Bronze,2.0,186.25,1,4,0,11,13,1,0,4
1fc69cd6-eb93-4a59-a93b-925cd978631b,Ascent,14,9,18,10,Bronze,2.0,211.318,3,1,0,9,13,0,0,4
c06f855e-a35a-426d-9cd5-882222c517bd,Summit,20,4,15,1,Bronze,2.0,222.125,1,0,1,13,11,0,1,3
13914a77-2fec-4ad8-b705-2db84ce3dc0a,Breeze,24,2,17,10,Bronze,2.0,298.304,2,1,0,10,13,0,1,3
c4e0e852-896f-41c9-bafd-71db7c0ee67e,Lotus,23,6,16,11,Bronze,2.0,294.455,6,0,2,13,9,0,4,0
96c3d835-41b6-42a9-a300-d529425b09cd,Ascent,7,2,18,2,Bronze,2.0,120.211,3,2,0,6,13,0,4,0
2abfe2f9-87a1-492d-a6bc-b2da7101f829,Breeze,10,9,16,11,Bronze,2.0,188.95,1,3,0,7,13,0,4,0
ced664a5-45c2-4c3f-bcdc-3cb3961d8e27,Sunset,2,0,5,2,Bronze,2.0,44.231,1,1,0,0,5,1,4,0
c360fb51-e2d7-4a8c-b012-bf2df25f582a,Haven,10,2,17,7,Bronze,2.0,133.19,1,4,0,8,13,0,4,0
a5387727-cc79-4430-a359-77be3eb81c40,Ascent,20,5,14,10,Bronze,2.0,263.429,4,1,0,8,13,0,1,3
508494e1-4270-4af3-807e-d14476e99a77,Summit,15,5,18,9,Bronze,2.0,199.364,3,3,1,13,9,1,1,3
a7d04c61-3484-4b3c-bca7-15ad626c36e8,Sunset,14,3,12,5,Bronze,2.0,168.45,1,1,2,13,7,0,1,3
d1fe314d-24bd-4650-8f9a-bd5a4d3916a8,Split,13,10,19,3,Bronze,2.0,170.792,0,3,1,13,11,0,0,4
f271f227-e105-4c8f-9d03-f92e364bb723,Sunset,16,12,15,6,Bronze,2.0,206.174,1,2,0,10,13,0,1,3
b1e3d209-6f53-474d-b4f9-2e604eefb53a,Summit,17,5,8,9,Bronze,2.0,354.333,3,1,1,11,2,1,1,3
3987088d-cc34-441a-b06d-b669efaec249,Split,20,6,18,12,Bronze,2.0,239.391,6,2,0,10,13,0,1,3
b77b05a4-41e3-4b53-afd3-b30bc92e62c4,Ascent,10,4,13,4,Bronze,3.0,164.111,2,2,1,13,5,1,0,4
df8d7032-e1e9-4f75-8d21-1834f0660f1d,Breeze,21,7,16,7,Bronze,2.0,289.708,3,1,2,13,11,0,0,4
f93e046d-614f-445f-a2ba-373a4d310515,Ascent,22,1,11,3,Bronze,3.0,245.273,4,0,1,13,9,0,4,0
9db2d4ee-52c1-4dc1-8a44-4b6b4d928869,Split,20,6,19,6,Bronze,3.0,225.192,3,3,2,14,12,0,4,0
2c13e39c-d85e-4229-a2fc-30c5f46850e6,Summit,19,3,19,11,Bronze,3.0,231.125,3,2,0,11,13,1,2,2
041c8e79-a04c-431d-a4a2-015664764b61,Sunset,10,2,13,6,Bronze,3.0,192.6,1,3,0,2,13,0,1,3
49bf6e22-525d-4241-b8a0-f1d4377cf84f,Haven,16,3,18,2,Bronze,3.0,192.409,5,2,1,13,9,0,4,0
3695a531-73e5-4d0c-bde9-b68565b1639a,Sunset,20,2,18,4,Bronze,3.0,251.364,5,2,0,9,13,1,2,2
4178ad44-3201-4a47-952b-308984411bf2,Summit,14,5,15,7,Bronze,3.0,238.474,2,0,0,6,13,0,2,2
9bcb49fe-2b00-4fd1-8398-83633be46e83,Haven,11,3,17,9,Bronze,3.0,181.944,3,1,0,5,13,0,1,3
2415484c-2c8c-4cd5-b233-3b04114ddb89,Breeze,7,1,9,2,Bronze,3.0,130.071,1,2,1,11,1,0,1,3
1812eaff-5612-4cab-989f-8244965d6721,Split,17,20,18,11,Bronze,3.0,260.391,3,2,0,10,13,0,1,3
aeb153ca-e4bf-40fc-a452-d0b28b2a0a5b,Ascent,24,4,16,10,Bronze,3.0,300.167,6,3,1,13,11,1,1,3
95b07954-9a33-4232-85b0-b734c9c653df,Haven,21,8,20,5,Bronze,3.0,240.731,2,4,0,12,14,0,1,3
1fc00f17-036e-47b1-839b-68bca664c5b9,Summit,13,10,14,7,Bronze,3.0,238.211,5,1,1,13,6,1,1,3
0fb0449a-f0d2-4ac0-abac-e93405601e2f,Breeze,14,0,11,6,Bronze,3.0,167.444,1,0,1,13,5,1,1,3
9ab32c89-710a-4ceb-a4ae-2c1de86e8205,Summit,25,1,10,6,Bronze,3.0,355.632,5,0,2,13,6,1,1,3
14ecc691-5b6f-4159-8d8a-77da633b0501,Ascent,10,11,16,6,Bronze,3.0,169.15,2,2,0,7,13,0,1,3
66e23967-50d7-42cd-a471-6dca69341d78,Haven,14,8,17,9,Bronze,3.0,205.81,1,0,0,8,13,0,1,3
8110fd15-73c4-48dc-8b13-9b6c13fc68ec,Ascent,24,1,17,13,Bronze,3.0,261.25,5,4,1,13,11,1,1,3
e9b73e5e-139a-4eb1-940a-31abea4fb84e,Breeze,20,6,20,17,Silver,1.0,220.786,2,0,0,13,15,1,1,3
cc934f61-31fa-4221-bcb5-4bdb279531a4,Summit,17,2,9,7,Bronze,3.0,284.438,3,1,1,13,3,0,1,3
a49fd1e9-e17e-485d-9bed-b0310493f993,Lotus,28,9,15,14,Silver,1.0,352.043,2,4,1,13,10,0,1,3
c6d6ab43-30ec-467f-a2e0-0451efe00b88,Summit,16,5,17,5,Silver,1.0,208.818,4,0,0,9,13,0,1,3
ac478f50-e8f6-42dc-b246-09e79b9612ef,Ascent,6,7,14,4,Silver,1.0,95.526,1,1,0,6,13,1,1,3
83c40d40-76a3-4b71-877e-9aeb04e2e386,Haven,15,7,14,7,Silver,1.0,226.316,3,2,0,6,13,0,4,0
9672a4d3-91a7-4ebb-b2d4-541a16f74ac9,Ascent,11,3,12,6,Silver,1.0,183.944,2,1,0,5,10,0,4,0
106486af-4ee3-4636-8b51-0261d81bf11a,Breeze,28,3,19,17,Silver,1.0,284.357,6,5,2,14,14,0,0,4
