id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
6709f79d-1a0b-442a-92bd-586e7fd67a7e,Sunset,10,4,13,7,Gold,3.0,160.333,1,3,1,13,5,1,0,4
ed1ff030-0698-49e9-8ec3-10cf3ab1231c,Haven,20,4,9,6,Gold,3.0,363.25,5,1,2,10,3,1,0,4
abeec12b-0895-4694-9e49-7c52cc8573fd,Summit,12,6,16,10,Gold,3.0,221.176,3,1,0,4,13,1,1,3
9f56eb00-b404-4c5e-aded-cd59408d7975,Lotus,28,3,17,15,Gold,3.0,340.565,5,5,0,10,13,1,1,3
2599938e-a654-43d0-94f1-ce0b0ff25f9b,Lotus,28,3,21,20,Gold,3.0,398.667,10,3,1,13,8,0,0,4
c1bdd189-7fff-4077-aa84-7c20d139923b,Haven,14,0,14,10,Unrated,,246.125,5,0,0,3,13,1,0,4
b479772b-8e00-406a-bd76-dfa87eb1c190,Lotus,14,4,16,9,Platinum,1.0,217.211,2,1,0,6,13,0,0,4
8c569995-9106-415d-8f7f-a79be3235989,Split,15,11,8,9,Platinum,1.0,314.786,3,0,1,13,1,0,0,4
881d0bb5-c152-4e9d-8017-2a04bca8e8f2,Ascent,7,2,20,7,Platinum,1.0,109.762,2,3,0,8,13,0,0,4
ec03e221-b76c-4c63-9977-816a1ccc16eb,Sunset,16,3,15,8,Platinum,1.0,191.955,3,3,1,13,9,0,0,4
c8323b2d-01ca-454e-bf46-7f25710933f5,Sunset,13,2,6,8,Platinum,1.0,246.214,3,0,2,13,1,1,0,4
