id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
5cffd4e0-098c-4a9d-826d-346791abdf9a,Breeze,18,9,10,13,Immortal,1.0,278.647,2,0,1,13,4,0,1,3
93cd641a-6c78-4fce-8a94-9736f598c85e,Lotus,25,3,13,14,Immortal,1.0,298.167,5,2,2,13,11,0,1,3
3e0feb6c-3c1b-4492-816e-6ee257b9b857,Pearl,23,7,16,18,Immortal,1.0,288.545,2,2,0,9,13,1,1,3
1cb4e0e0-cbb9-4e01-8533-a6672d0ef868,Fracture,20,5,18,16,Immortal,1.0,267.696,3,4,0,10,13,1,1,3
d5e530bc-afa0-49b7-9a32-a4040488ed41,Pearl,9,9,15,10,Immortal,1.0,149.45,1,1,1,13,7,0,0,4
34a94e8b-d361-47c7-af9f-d26cae9d3550,Haven,9,4,17,10,Immortal,1.0,136.571,2,1,0,8,13,0,0,4
906cdfe8-b5ce-4092-98b4-8f9a945e9b18,Split,10,3,18,8,Immortal,1.0,131.957,1,3,0,10,13,0,0,4
372dc51c-2f94-4010-8d36-61dc3d0d2eba,Ascent,17,5,16,11,Immortal,1.0,202.958,1,1,1,13,11,0,0,4
f56f8f9d-9064-4e23-a574-246d0871494b,Ascent,24,1,16,9,Immortal,1.0,255.375,7,2,0,11,13,0,0,4
afa61154-aab1-4c5a-8d0e-21533aaf3bcd,Fracture,20,6,12,15,Immortal,1.0,268.238,2,0,1,13,8,0,0,4
8ccb7f8b-0b82-46c2-aed1-0b432331d9ad,Fracture,8,3,16,5,Immortal,1.0,162.25,3,5,0,3,13,1,1,3
7c930962-e1b7-419a-b562-24c08052944d,Lotus,14,4,20,13,Immortal,1.0,161.393,1,3,1,15,13,0,1,3
512269e1-ce81-40b7-89f7-14c884983978,Ascent,14,5,18,7,Immortal,1.0,165.261,3,3,2,13,10,0,1,3
177c2f63-3ec1-4bd1-b7b4-b63f8ad720ed,Haven,28,12,19,24,Immortal,1.0,317.538,5,2,3,14,12,0,1,3
21c5ad03-a450-4781-8d60-577708c1da35,Breeze,16,4,17,13,Immortal,1.0,205.167,3,3,4,13,11,0,0,4
988aed90-311e-44f1-adbd-637cd7cefdec,Pearl,25,6,16,19,Immortal,1.0,327.591,6,3,0,9,13,0,1,3
775b827e-66a9-4140-8a0a-1fb74951adbb,Fracture,21,12,9,8,Immortal,1.0,342.176,0,2,1,13,4,1,1,3
