id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
f9907ded-aa9c-4e62-822d-1ac701a5d4f7,Split,27,3,15,18,Platinum,1.0,288.958,3,1,0,11,13,0,0,4
0c6e5b73-61ae-4ae1-b1d9-82935ef55eaa,Fracture,14,9,12,10,Platinum,1.0,224.882,2,2,1,13,4,1,0,4
d0fa2f08-5889-4e03-90d0-558c96b6a33c,Ascent,10,17,19,5,Platinum,1.0,143.565,3,0,2,13,10,0,0,4
e1834417-692b-4e00-aa20-847d66972f30,Split,16,5,16,16,Platinum,1.0,235.3,1,0,0,7,13,0,0,4
0316ff1a-08cf-4359-9643-039fb8060b22,Haven,18,3,10,14,Platinum,1.0,236.579,5,4,1,13,6,0,0,4
82c1bcfa-734f-45a5-b2d2-a0992c9ea9db,Pearl,17,10,20,13,Platinum,1.0,191.0,2,5,0,12,14,1,0,4
96eb73b1-c508-46c4-b716-ec7bd5e1c381,Breeze,11,7,16,10,Platinum,1.0,138.261,0,2,1,13,10,0,0,4
6e4dc400-eaca-4f0b-a87d-113721f38f7f,Ascent,29,3,19,24,Platinum,1.0,276.286,3,2,2,15,13,0,0,4
8f3600f0-6804-4d62-934d-b79367054f65,Fracture,18,3,14,20,Platinum,1.0,276.684,0,1,0,6,13,0,0,4
86c1018d-430e-46ae-864d-5c53a5f927b8,Haven,20,8,15,23,Platinum,2.0,255.952,2,1,0,8,13,0,0,4
289c731a-bf25-466b-8fb1-85a455782d27,Haven,16,4,14,12,Platinum,2.0,254.611,1,0,0,5,13,0,0,4
90d208b1-a4f6-47d4-926a-f2f8b02a243d,Pearl,11,5,10,11,Platinum,1.0,151.55,1,1,1,13,7,0,0,4
4a318fc6-c615-4b41-ba66-fa956759338f,Lotus,16,5,17,13,Platinum,1.0,192.875,1,2,2,13,11,1,0,4
b2e2bbd2-dd6e-4c45-af17-13fdac37a244,Lotus,9,10,16,8,Platinum,1.0,134.429,1,0,0,8,13,0,0,4
a06a6562-0cf6-4871-86f5-2657afb28117,Fracture,10,6,15,7,Platinum,1.0,132.87,2,4,1,13,10,1,0,4
3b90e8fc-56e2-435e-a6a2-242e2f2aa9e7,Split,15,4,16,13,Platinum,1.0,221.421,3,0,0,6,13,0,0,4
151d283d-b3b3-4284-bd02-1a988887506c,Fracture,17,1,21,13,Platinum,1.0,166.25,2,5,1,15,13,0,0,4
1c5e83a5-6eb5-4081-9da5-9937a97f6622,Split,12,11,11,11,Platinum,1.0,187.947,2,1,2,13,6,0,0,4
52b91278-1416-4599-8844-3c9859bf8974,Split,25,2,17,22,Platinum,1.0,252.923,4,4,1,14,12,0,0,4
2eabf4d9-467a-4895-9fe3-9cec733a006c,Pearl,12,7,23,11,Platinum,2.0,132.731,0,2,1,14,12,0,0,4
c0802cd0-06b3-4c16-a4cf-40f019b37476,Breeze,17,5,15,16,Platinum,2.0,228.667,3,3,2,13,8,0,0,4
e770bdc5-86f8-47d6-922a-6f7047f60127,Fracture,12,10,18,14,Platinum,2.0,192.0,1,2,0,8,13,1,0,4
b03a1445-bba3-45af-9edb-c6f490485b9e,Lotus,14,6,16,11,Platinum,2.0,187.091,2,0,0,9,13,0,0,4
df044a50-dab6-4eea-8dc4-dba793b221ef,Fracture,22,7,25,17,Platinum,2.0,215.406,1,6,0,16,16,0,0,4
ae39344d-7a7f-4a8a-98b7-2b9e39bb9726,Lotus,11,2,12,11,Platinum,2.0,178.941,1,4,1,13,4,0,0,4
59296980-7878-49d4-b0d6-933be288694a,Split,12,5,10,9,Platinum,3.0,184.895,1,0,1,13,6,1,0,4
364bd640-fb09-476f-8f7a-76cac04e1fcd,Fracture,17,11,16,12,Platinum,2.0,213.87,0,0,3,13,10,0,0,4
255ca825-2a04-4687-87a5-36277e84f412,Ascent,21,4,14,16,Platinum,2.0,221.667,2,1,4,13,11,1,0,4
0a40ae6f-3d50-4811-8b42-21ffcef4ff90,Lotus,5,8,3,6,Platinum,2.0,102.071,1,0,5,7,1,0,0,4
3bad4c53-729f-4c5d-8756-c8cdb4fae9c6,Breeze,22,3,13,14,Platinum,3.0,280.952,2,3,1,13,8,0,0,4
0c2f5335-4e78-4b7c-bba7-91b14309b398,Fracture,17,3,14,15,Platinum,3.0,233.95,3,4,3,13,7,0,0,4
8277ed7a-6f35-439b-81dd-804bbca962bc,Lotus,24,8,14,14,Platinum,3.0,245.333,0,2,1,13,11,0,0,4
adbce4c3-5605-43c0-be3f-28b8e13d8c1c,Pearl,7,5,14,4,Platinum,3.0,111.0,0,4,2,13,5,1,0,4
8576e5d6-d9e5-4ea4-b2c2-29fad3e51337,Split,10,9,17,10,Unrated,,108.391,0,2,0,10,13,0,0,4
cd1e4b08-d110-48b6-80c8-39c7cb246fcb,Split,6,4,17,5,Unrated,,131.167,1,1,0,5,13,0,0,4
2de3be61-af1a-4806-9c23-72877fcf1445,Sunset,16,17,17,17,Unrated,,222.739,3,1,0,10,13,1,0,4
26e936bb-65cf-4f80-bf77-2a1f219c6213,Summit,20,1,15,19,Unrated,,244.304,2,1,0,10,13,0,0,4
ebebc03c-de7b-4d69-a296-3912e619f46f,Haven,17,11,18,14,Gold,2.0,194.667,0,1,1,13,11,1,0,4
b5b532e9-8f20-46dc-a578-03a0109c4cec,Summit,16,12,17,12,Gold,2.0,190.542,1,0,0,11,13,1,0,4
29af54a5-3000-4556-a1da-e7ca1bb4afba,Breeze,13,4,18,13,Gold,2.0,178.348,0,1,0,10,13,0,0,4
4b35a601-665f-47a3-bee9-7a1e550f65b0,Breeze,20,2,13,19,Gold,2.0,279.619,2,0,1,13,8,1,0,4
d4c7dfb3-478e-4249-972c-ec67787cf435,Ascent,16,4,16,10,Unrated,,190.522,0,2,0,10,13,0,0,4
063c2fbf-473e-461b-a598-ac3b42ff5ee2,Split,10,5,14,5,Gold,3.0,151.3,0,4,0,7,13,0,0,4
f8aa4542-2762-431a-8f12-6bdf5fd7e0a5,Sunset,15,4,15,15,Gold,2.0,236.526,4,1,1,13,6,1,0,4
1cb993e4-3e65-475c-afb6-9da4d8ebc6bb,Breeze,19,4,19,13,Gold,3.0,230.957,5,1,1,13,10,0,0,4
0c037a5d-77ed-477d-ae3c-c9233d29f231,Split,14,4,19,11,Gold,3.0,166.208,0,0,0,11,13,0,0,4
3f206b2a-2de9-404d-94a9-8cfc9c5a70f6,Breeze,12,5,11,9,Gold,3.0,216.118,0,0,1,13,4,0,0,4
e503fbdd-dad3-45e4-b2e8-2e416105184c,Haven,21,2,18,20,Gold,3.0,278.174,3,1,0,10,13,1,0,4
04b6116c-873d-4f70-a7e4-ffcf412685fd,Breeze,7,2,14,8,Gold,3.0,140.8,2,0,0,2,13,1,1,3
f7666b6e-c4fa-47d7-9167-a547c55cd225,Sunset,32,4,13,24,Gold,3.0,367.0,3,0,1,13,11,0,1,3
6b35a9e6-aacf-4f03-b347-5eab66509a81,Summit,20,6,19,19,Gold,3.0,258.609,2,1,0,10,13,1,1,3
fce57425-b167-48b0-9f52-924e6bdbeaab,Lotus,14,8,16,12,Gold,2.0,247.211,3,3,0,6,13,1,1,3
126794fd-2909-4487-b7f5-0f5a3e777736,Ascent,16,5,18,12,Gold,3.0,211.095,3,2,0,8,13,1,1,3
53bf4374-a65d-43e0-a88b-fb63677d64aa,Ascent,14,8,15,15,Gold,2.0,236.75,2,2,0,7,13,0,1,3
588d7620-b8b4-4072-a901-66e4cabd3cfe,Split,16,2,16,9,Gold,2.0,200.727,0,1,0,9,13,1,1,3
c292b8cc-a01b-4711-a3b3-a383366baf51,Sunset,30,6,14,18,Gold,2.0,366.826,8,3,0,10,13,1,1,3
6890cb1a-0124-4143-a651-d6782316e54f,Breeze,23,3,16,17,Gold,2.0,268.583,3,2,0,11,13,1,0,4
429a7549-7c05-429a-8d59-29f49c70757d,Sunset,25,3,13,20,Gold,2.0,288.583,0,2,1,13,11,1,1,3
cf7d80af-5a2e-4351-ba24-2883dcdd1dbd,Ascent,30,5,12,22,Gold,2.0,401.667,5,2,2,13,8,1,1,3
ca94e933-c419-4f19-abb0-7a3b07f0fe98,Lotus,18,9,19,17,Gold,2.0,220.625,2,2,3,13,11,0,1,3
cababa25-04fd-4da2-a453-8b132771c3c6,Lotus,22,2,23,14,Gold,2.0,189.562,3,3,0,15,17,1,1,3
22868a0c-0d3e-4062-b177-bd76447146af,Ascent,25,2,11,20,Gold,2.0,359.895,3,1,1,13,6,0,1,3
5f0b8634-b070-4506-8b3f-6dd8d37bef87,Summit,17,4,10,13,Gold,2.0,273.647,2,0,1,13,4,0,0,4
ad08032f-8590-4fdc-a88c-ad5f791ac515,Haven,17,2,17,14,Gold,2.0,208.652,1,1,2,13,10,1,0,4
295df1c7-dcf8-4ea7-8009-7a26a65670af,Haven,21,4,16,20,Gold,2.0,320.6,6,3,0,7,13,1,3,1
4f049961-b6f9-4b22-bc28-a6cce58e9412,Split,14,21,18,13,Gold,2.0,231.955,1,1,0,9,13,0,3,1
967c3162-7082-4253-818d-a13ef9eb1f33,Lotus,6,2,18,6,Gold,2.0,94.3,0,1,0,7,13,0,0,4
065e80e8-ffc2-4ec4-8497-2a9abe9b7c6f,Sunset,10,4,16,8,Gold,2.0,130.81,1,2,0,8,13,0,3,1
10e53c5d-e0f0-4c35-a23a-6e2c2e50de4e,Summit,26,6,13,18,Gold,2.0,378.35,7,1,1,13,7,1,4,0
b421afa5-aa53-4215-be51-c4edfbc59816,Lotus,20,10,11,16,Gold,2.0,264.9,3,1,2,13,7,0,4,0
b71b4325-5036-441d-80ff-7141708a23f1,Split,15,10,16,14,Gold,2.0,216.818,3,1,0,9,13,1,4,0
cd0bb6c5-a2bf-4e99-92c9-704d20efc2c8,Haven,22,3,13,12,Gold,2.0,309.238,2,1,1,13,8,1,1,3
d57ac62f-63fa-41a1-b993-a19d1ce6d3a7,Breeze,13,0,14,12,Gold,2.0,252.938,3,3,0,3,13,1,1,3
3750100d-779e-426e-b467-052da5793982,Split,20,4,17,16,Gold,2.0,291.8,4,2,0,7,13,0,1,3
ba2738d3-170c-4d7c-b667-1b0868db6d5d,Ascent,19,3,25,10,Gold,2.0,201.071,2,6,0,13,15,1,4,0
2377a073-3677-4a28-9085-dc0bab48b924,Lotus,21,6,11,11,Gold,2.0,296.889,0,2,1,13,5,0,4,0
70390058-f9b0-4f66-84a0-1ff46602b644,Breeze,15,1,21,14,Gold,2.0,188.167,6,2,1,13,11,1,2,2
d6a9bafd-c07d-4c09-bb13-3231a5a9ff08,Abyss,6,3,15,5,Gold,2.0,140.133,0,2,0,2,13,1,0,4
c75f3175-e5cf-4bce-b0d3-638c4182909c,Abyss,14,1,10,9,Gold,2.0,167.174,2,1,0,10,13,1,0,4
252e7a18-50ea-4611-9711-1c8136d1bc7c,Split,19,3,4,8,Unrated,,345.929,3,1,1,13,1,1,0,4
2e331ca5-b4f6-4ba8-a303-8e37643e1c1f,Split,6,6,18,3,Gold,2.0,83.167,0,3,1,13,11,1,0,4
a8dc403d-48cb-4140-8128-f13d1cad9e52,Sunset,31,7,24,20,Gold,2.0,317.4,5,2,0,15,15,1,0,4
6729f67f-9302-4a98-897e-56fc8ffc1791,Ascent,29,9,22,17,Gold,2.0,291.464,5,2,1,15,13,1,0,4
89cbde3d-ff91-4c32-bf9f-168dc1abe212,Lotus,12,2,10,10,Gold,2.0,162.238,1,0,0,8,13,0,0,4
f8b2c55b-8e42-460f-a6e6-fca9bfaaed7a,Summit,12,2,17,10,Gold,2.0,182.737,5,1,0,6,13,1,0,4
e2c0e328-e7f7-4013-b480-00126f107e09,Haven,6,1,7,4,Gold,2.0,80.143,2,0,0,8,13,0,0,4
58b2eaed-d8b9-408c-8af8-d9d30d930735,Summit,17,4,12,11,Gold,2.0,255.278,0,0,1,13,5,0,1,3
c96dc4f6-a0d9-4487-9199-904200647719,Sunset,13,8,14,11,Gold,2.0,193.429,0,0,1,13,8,0,0,4
93860952-25ac-416e-a132-b0b8926a520b,Lotus,11,4,16,9,Gold,2.0,159.857,2,2,1,13,8,1,0,4
5ac57593-ecb3-493b-9baf-ae7de1681b4a,Ascent,21,3,12,15,Gold,2.0,268.5,1,3,2,13,7,1,0,4
6ff90593-9c50-40ed-8314-d9a7ea377db3,Abyss,11,4,13,7,Gold,2.0,240.067,1,3,0,2,13,1,1,3
699b8966-b0c2-4b68-95a8-5d0bcab25e8d,Sunset,34,11,22,26,Gold,2.0,352.893,5,0,0,14,14,0,1,3
989fa8a9-265d-4305-9822-49f0a821dc6e,Lotus,23,4,20,16,Gold,2.0,251.538,5,0,0,12,14,1,1,3
7320f95d-1ff3-4c75-991e-052bed49b6ef,Abyss,21,1,9,16,Gold,2.0,323.611,4,0,0,5,13,1,1,3
