id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
9b67b670-fa23-4f47-96a5-809b33e71e22,Pearl,23,5,19,17,Diamond,2.0,202.633,4,3,1,16,14,1,1,3
db56099c-8a7e-4bb8-a5d9-7df7a73b8066,Haven,17,0,7,10,Diamond,2.0,218.167,1,0,2,13,5,1,2,2
0d8902c0-769c-408b-ae83-adca65559bf7,Fracture,21,8,16,17,Diamond,2.0,253.417,2,0,3,13,11,0,1,3
77c013e8-1e3b-4b39-b213-b257f92aa569,Breeze,18,2,13,16,Diamond,2.0,285.389,2,2,0,5,13,1,1,3
98fee671-fbb1-42ad-9dbb-be1cb622aa70,Lotus,24,3,17,17,Diamond,2.0,235.615,5,1,1,14,12,1,1,3
3e02dd1e-a0de-4ad4-8f84-67bc1aab2a3b,Fracture,14,12,12,8,Diamond,2.0,218.2,0,3,1,13,7,0,1,3
d2ca7775-6047-402d-9545-6cecfbb6284d,Ascent,23,10,16,17,Diamond,2.0,279.458,0,0,1,13,11,0,1,3
2057d2ac-80e5-418f-8c1e-b75a748b41bc,Lotus,17,7,19,15,Diamond,2.0,219.364,3,1,0,9,13,0,1,3
d7b169e9-4314-4053-888a-2ad2c38231e2,Haven,21,3,14,13,Diamond,2.0,273.136,3,3,1,13,9,1,1,3
46a091b7-3e49-4cab-9e19-9a1ebef92365,Fracture,17,3,16,9,Diamond,2.0,211.087,3,3,2,13,10,1,1,3
49c31dd4-562d-4a46-a456-f66c616b13f4,Lotus,29,5,15,13,Diamond,3.0,342.783,3,0,0,10,13,1,1,3
4178e4ac-f596-4f92-8097-e76abb520e76,Haven,19,5,17,14,Diamond,3.0,268.19,5,0,0,8,13,0,1,3
1526ce4f-d8c9-44f4-a15d-35ff1416acc2,Split,16,5,15,14,Diamond,3.0,205.958,1,1,1,13,11,0,1,3
d297ad82-0e69-4840-9598-96d32305eef1,Split,16,9,8,15,Diamond,3.0,264.588,2,0,2,13,4,0,1,3
8873b087-086a-4c47-bd77-4ca8ca8e6fb3,Pearl,4,0,4,3,Diamond,3.0,85.929,0,1,0,1,4,1,1,3
7f70f402-86e4-4f30-aa57-46f2f2d890af,Lotus,19,2,17,12,Diamond,3.0,222.261,3,2,0,10,13,1,1,3
787aaba6-c0f6-4794-b7fc-45a3fcad04dd,Breeze,20,4,12,13,Diamond,2.0,328.529,2,2,1,13,4,1,1,3
73c7797e-b61b-4d9a-a819-739bfac4e76d,Haven,15,4,10,8,Diamond,3.0,216.895,3,1,1,13,6,1,1,3
c2e14e54-d16d-4e8c-a043-112267df805a,Lotus,15,4,15,7,Diamond,2.0,212.095,4,2,2,13,8,1,1,3
9c3af02c-954d-4e65-94eb-3276ef34ec1b,Split,28,5,21,19,Diamond,3.0,267.067,6,3,0,14,16,1,1,3
41fd8743-edd4-46b1-bcb0-00eb689e1394,Split,13,2,15,12,Diamond,3.0,169.522,2,2,0,10,13,1,1,3
cedf0d0e-07a2-42c1-8311-a11ea5fdeb74,Lotus,25,4,9,22,Diamond,3.0,399.722,2,2,1,13,5,1,1,3
01ac2dc5-dc24-46b1-bec3-bcaa053944c6,Fracture,18,0,11,10,Diamond,3.0,232.381,3,1,1,13,8,1,1,3
