id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
7959ef3e-08b2-4e28-9692-524c41b1c71e,Split,15.0,3.0,16.0,7.0,Bronze,2.0,183.478,1.0,0.0,1.0,13.0,10.0,1,2,2
4eed53d4-7923-438b-9a55-3805af10817f,Bind,12.0,7.0,15.0,13.0,Bronze,2.0,186.696,0.0,1.0,0.0,10.0,13.0,1,1,3
00fa081a-0796-466b-a9f8-0fb5bc983aee,Lotus,11.0,3.0,19.0,7.0,Bronze,2.0,160.391,0.0,2.0,1.0,13.0,10.0,1,4,0
8ff76795-fcd9-403d-9b44-bb4978821d02,Bind,17.0,12.0,16.0,9.0,Bronze,2.0,230.364,3.0,2.0,2.0,13.0,9.0,0,2,2
89c05b9c-3304-4660-8639-ad7798a67e4f,Pearl,10.0,0.0,17.0,8.0,Bronze,2.0,164.211,1.0,1.0,0.0,6.0,13.0,1,1,3
18542641-aed5-403e-a6fd-986a17a4fb1c,Lotus,19.0,3.0,9.0,11.0,Bronze,2.0,249.2,0.0,0.0,1.0,13.0,7.0,1,1,3
7e8b2020-613e-41fd-b76b-64a335dc09f2,Split,16.0,6.0,17.0,7.0,Bronze,2.0,237.955,0.0,1.0,2.0,13.0,9.0,0,1,3
e35bbacc-e9b5-4741-9232-af6af4aca4df,Bind,18.0,10.0,13.0,10.0,Bronze,1.0,278.429,3.0,1.0,1.0,13.0,8.0,0,2,2
f24041d1-1da6-4b87-9b2a-29828a3149e0,Fracture,7.0,4.0,16.0,8.0,Bronze,1.0,121.81,1.0,1.0,0.0,8.0,13.0,1,1,3
1c9f77b2-5fa9-4653-b349-648b5a7f6987,Pearl,18.0,4.0,8.0,9.0,Bronze,1.0,248.722,2.0,0.0,1.0,13.0,5.0,1,1,3
08d68621-3942-437b-a333-a3c8e4324a66,Split,31.0,5.0,16.0,12.0,Bronze,1.0,431.095,5.0,2.0,0.0,8.0,13.0,1,1,3
