id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
23920c90-d714-4663-b2e3-13df90bff2c0,Lotus,11,6,15,9,Platinum,1.0,213.059,2,3,0,4,13,1,0,4
e74e46aa-959f-4b80-92fe-81b791f9f264,Split,14,4,19,11,Platinum,1.0,163.565,3,5,0,10,13,0,2,2
1c5d5e28-d225-4439-a68d-a8b76ad57657,Haven,6,2,17,6,Platinum,1.0,108.278,1,5,0,5,13,1,0,4
a60d16aa-741a-42f1-bf2c-303df65a57ab,Abyss,12,3,20,9,Platinum,1.0,155.364,4,6,1,13,9,0,0,4
3c5513c6-d6d4-4a6a-b336-cc8716d3c758,Summit,12,4,13,9,Platinum,1.0,179.4,1,2,1,13,7,1,0,4
7a972a55-03cd-4027-93ef-5588ed0838aa,Summit,19,4,20,14,Platinum,1.0,206.962,4,8,0,12,14,1,0,4
823ac52e-bb31-4274-9823-3375dc4c353f,Split,21,7,15,19,Platinum,1.0,325.095,5,4,0,8,13,1,0,4
01941df1-2db4-451c-a814-0d97d6b7c2f2,Ascent,13,7,20,11,Platinum,1.0,188.261,4,4,0,10,13,1,0,4
a33a0732-e409-47cb-b2fc-1a86de2fa654,Haven,23,4,15,17,Platinum,1.0,275.391,5,1,1,13,10,1,0,4
1f657b93-3c64-4879-9af2-1b781aa13fe8,Lotus,16,3,14,16,Platinum,1.0,228.857,1,2,2,13,8,0,0,4
3d843150-13f0-4d5c-809e-fa23b43adaa8,Lotus,14,6,20,14,Platinum,1.0,197.304,2,3,0,10,13,1,0,4
fe9c179b-f4c0-4393-b899-762554603dde,Split,6,3,17,6,Platinum,1.0,130.235,2,5,0,4,13,0,0,4
6ad0180a-bd3d-426b-86ec-bf7ef04195a8,Lotus,20,3,19,16,Platinum,1.0,260.476,4,3,0,8,13,0,0,4
5411e049-d9af-4479-931c-6dd6f770befc,Split,20,2,14,15,Platinum,1.0,303.833,5,0,1,13,5,0,0,4
6aedd286-2650-46ec-8867-552bd20cc7bc,Abyss,14,4,15,13,Platinum,1.0,241.056,4,2,0,5,13,1,0,4
048feaa8-bccc-4236-bcc2-b11705351237,Haven,25,7,15,22,Platinum,1.0,271.231,2,2,1,14,12,1,0,4
561ee68f-1bda-4aec-b1fe-1a5e42c6514f,Lotus,16,4,17,14,Platinum,1.0,217.0,0,3,0,9,13,0,0,4
03f472d8-e6cf-4e39-8b8a-9c24793c423f,Ascent,22,6,18,20,Platinum,1.0,275.5,1,3,1,13,11,0,0,4
8f94fd43-6b84-41ea-adeb-6f653f8ed9f7,Summit,10,1,13,8,Platinum,1.0,159.059,1,0,0,4,13,0,0,4
ba8dfb7a-8a54-4674-8c74-436439642258,Sunset,23,0,10,22,Platinum,1.0,327.0,0,2,0,6,13,1,0,4
9d4e7d8b-e3b9-4045-84a2-f44e66800a16,Sunset,15,6,16,14,Platinum,1.0,237.9,2,2,1,13,7,1,0,4
c5a5aeea-0932-4893-a254-975528056242,Haven,19,15,20,18,Platinum,1.0,268.435,4,2,2,13,10,1,0,4
56ccda5d-bafd-493e-bea8-4dccd5ea5ad0,Sunset,17,7,11,14,Platinum,1.0,239.65,4,1,3,13,7,0,0,4
7928b742-ebbd-41d2-b289-e363ca9e0845,Ascent,16,3,10,16,Platinum,1.0,265.438,3,2,4,13,3,0,0,4
a0486caa-b1ad-48d1-b141-1f002c25f591,Lotus,13,5,17,10,Platinum,2.0,151.261,0,2,0,10,13,1,1,3
c45facb4-b9b6-48ad-8588-d5b3b2bd4468,Abyss,7,5,1,5,Platinum,2.0,115.462,1,0,1,9,0,0,0,4
