id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
6b03837d-b79c-4f7d-8df2-3ef8510c6505,Lotus,17,6,15,12,Platinum,2.0,243.8,1,5,1,13,7,1,0,4
3261dfe1-767c-4712-a0a6-bd0bd79f8e70,Summit,24,2,18,12,Unrated,,245.0,4,1,0,12,14,0,0,4
f3ba7969-6ee9-4e9b-8a42-b1d44f4e94f8,Sunset,13,2,11,8,Platinum,2.0,163.05,3,1,1,13,7,0,0,4
944c3975-9353-445c-be84-0795e1c1546d,Summit,12,7,12,7,Platinum,2.0,203.294,2,2,2,13,4,0,0,4
cf47b085-9f44-4fde-b630-2a54d74b1a5b,Split,17,9,17,9,Platinum,2.0,208.727,2,3,1,13,9,0,0,4
9878b90a-4833-43b7-b46a-55a1d85f827e,Haven,16,2,15,14,Platinum,3.0,252.176,1,0,0,4,13,0,0,4
5c500cc9-d652-4a56-a64f-491c657ac743,Abyss,27,3,24,7,Platinum,3.0,258.867,6,5,1,16,14,1,0,4
9788e194-9a80-4e70-9697-e766f754614d,Split,3,0,9,2,Platinum,3.0,52.0,1,3,0,5,13,0,0,4
eb416c04-6c61-4bcf-a252-634b855dcbe7,Sunset,0,0,5,0,Platinum,3.0,8.133,0,2,0,2,13,0,0,4
7d4b132f-b945-4abd-847f-2674eee11d08,Lotus,2,0,7,4,Platinum,2.0,31.304,2,0,0,10,13,0,0,4
