id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
cb3d7345-b2c4-48c0-8410-92502c39db42,Bind,27,20,16,10,Bronze,3.0,282.423,4,1,0,12,14,0,4,0
e52a9066-d920-4390-81e0-7805b79c2bad,Haven,23,4,15,11,Bronze,3.0,296.143,2,1,3,13,8,1,4,0
18e193fb-25bd-4e36-826c-f3cca2891b0c,Lotus,20,6,15,6,Bronze,3.0,263.182,0,4,0,9,13,1,4,0
75378d13-50a7-4744-8a4e-22a5b13518a9,Breeze,30,6,16,18,Bronze,3.0,399.818,8,0,1,13,9,1,3,1
0acf19df-9649-48bf-82e0-2fb9ffe9d632,Pearl,17,8,16,11,Silver,2.0,234.263,0,2,0,6,13,0,2,2
133916b0-27ed-44df-bb4b-e3805cfb8f89,Ascent,14,3,19,10,Silver,1.0,190.87,4,4,0,10,13,1,3,1
eb306a08-8c72-4915-9016-204696d4ff5e,Fracture,10,0,14,6,Silver,2.0,213.667,0,1,0,2,13,1,3,1
e76cdc59-7ec8-4f57-915b-9b995285e936,Ascent,18,5,17,10,Unrated,,245.591,2,0,1,13,9,0,4,0
e809a353-a80f-412a-8781-7937b83c8eb4,Haven,10,7,14,5,Unrated,,128.955,1,1,2,13,9,0,4,0
1cdcc5ed-b9c9-475a-9001-48f9662b6679,Split,16,19,10,6,Unrated,,245.842,1,2,1,13,6,0,4,0
e439c5d2-bcaa-47c9-b58c-5ff48348d315,Haven,13,19,12,11,Unrated,,200.619,0,2,2,13,8,1,1,3
7a48b35b-79ed-4b57-ac7b-d2f97bb7b988,Breeze,3,4,13,3,Bronze,3.0,88.533,0,1,0,2,13,0,2,2
5629c992-8dff-496a-a154-723765ee5464,Lotus,13,15,14,8,Unrated,,170.462,3,1,1,14,12,0,2,2
e1761a89-a9ad-44d9-bc9e-5d2cfa9a266b,Abyss,15,3,14,5,Unrated,,233.421,2,4,0,6,13,0,4,0
0d35d92f-49d4-4d0e-8622-309439020c14,Haven,13,8,17,6,Bronze,3.0,161.261,2,1,1,13,10,1,4,0
