id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
e356c628-8c81-4038-b48c-51070aee712b,Sunset,11,7,18,6,Platinum,2,153.857,0,0,0,8,13,1,1,3
c04e2d04-b8aa-4b39-a071-3ec462f587c6,Lotus,17,5,15,14,Platinum,2,215.864,2,2,1,13,9,1,0,4
9fb6f119-f4eb-43bb-9c38-c3526b16d018,Haven,11,8,16,9,Platinum,2,149.0,1,0,0,8,13,1,1,3
b38ca89d-5907-4d76-9aab-8f10478425e9,Sunset,10,12,19,7,Platinum,2,185.5,2,3,0,7,13,1,1,3
b510eb02-a99b-4bb4-adaa-0f27e62362bf,Sunset,15,8,17,12,Platinum,2,242.722,4,1,0,5,13,1,1,3
b3d9b699-34fd-49cc-a1fb-697ce9b33e67,Split,11,5,16,9,Platinum,2,152.905,3,1,1,13,8,0,0,4
f17ce5c7-68a1-4b8f-bfc7-a0e8d8a67c1d,Abyss,16,11,18,15,Platinum,2,197.522,1,1,2,13,10,1,0,4
f9b0856e-1693-43f3-a1a6-1cb6610d62f4,Abyss,10,6,16,8,Platinum,2,150.05,1,3,0,7,13,1,1,3
d80c41ed-5a7f-4066-8873-bffb5ee64682,Haven,14,3,19,9,Platinum,2,209.762,3,4,0,8,13,0,0,4
b686f2c5-44d8-46a3-a2a7-2d3185935c67,Summit,9,8,12,8,Platinum,2,140.316,0,0,1,13,6,0,0,4
97cd00f8-1cbe-4f26-b7c7-ba002d29b202,Lotus,29,5,13,26,Platinum,2,355.571,0,4,2,13,8,1,0,4
917882d1-8b97-4845-a71d-5fdb0aa4e420,Lotus,9,4,11,9,Platinum,2,163.188,1,3,1,13,3,1,0,4
6f9aa58a-be30-4536-a31e-65f2b24e2ba2,Split,12,7,15,8,Platinum,2,179.111,1,0,0,5,13,0,0,4
8c7968bc-abce-4685-b63b-056693213d02,Split,15,8,20,9,Platinum,2,238.35,3,5,0,7,13,0,0,4
4a7e8c53-2ce1-440e-9168-18a2bff6c348,Haven,9,2,5,5,Platinum,2,156.5,3,0,1,9,3,1,0,4
0099be35-e4b4-4e84-92f2-7ac67c74c7f2,Lotus,14,7,11,11,Platinum,2,213.053,2,1,2,13,6,1,0,4
a2614919-e70c-4e8e-afac-27658f193869,Summit,10,10,18,9,Platinum,2,164.381,2,1,0,8,13,0,0,4
538b5aed-6e8a-42ce-88cf-221ad04eafc1,Haven,14,8,16,8,Platinum,2,198.571,1,0,1,13,8,1,0,4
5f16ac9f-f687-488b-beef-9e2dd15c5c31,Haven,11,4,18,9,Platinum,3,220.5,3,0,0,3,13,0,0,4
51c85281-9b51-4420-931a-fd982c36970d,Summit,6,3,16,7,Platinum,3,145.938,0,1,0,3,13,0,0,4
411d0c6a-d716-4a6d-902c-77a11c913e92,Split,17,13,21,19,Platinum,2,233.5,2,3,1,13,11,1,0,4
23e190cc-8cc9-4b82-abcd-46c58b79a590,Sunset,18,3,9,17,Platinum,2,287.312,1,3,2,13,3,0,0,4
4591802d-a660-4420-8c09-147dac96a05f,Split,14,3,16,9,Platinum,2,167.524,1,3,1,13,8,0,0,4
dcbc8712-4ad6-4967-abfd-5627fcf92687,Summit,12,9,18,11,Platinum,2,162.636,1,0,0,9,13,0,0,4
f3b872d7-248f-4f9d-97a1-c182302c6ac7,Sunset,9,9,17,10,Platinum,2,142.0,1,4,1,13,8,1,0,4
c1fc8b37-e871-4d7f-84fa-79064e5aa781,Summit,18,6,19,14,Platinum,2,240.227,2,1,2,13,9,1,0,4
f5642ff3-5d87-42fb-8a32-9738fbc9bed3,Abyss,23,7,10,15,Platinum,2,327.211,0,0,3,13,6,0,0,4
c51a7966-88f2-4f2d-bebe-6e3410a734ae,Split,11,4,16,8,Platinum,2,159.5,0,0,0,7,13,1,0,4
5c7ab5bb-1842-4cd5-9ea4-b7e69b88fe55,Lotus,11,7,17,8,Platinum,2,147.0,0,0,0,8,13,0,0,4
9d711962-377b-47c9-8f87-9ac6f3f75e72,Sunset,20,8,12,18,Platinum,2,263.095,1,2,1,13,8,0,0,4
