id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
7abcf05e-9157-42b1-8ae6-1952eabfe148,Lotus,34,3,26,34,Diamond,1,372.786,11,6,0,13,15,0,0,4
adf6b61f-f572-42e5-af77-d52d388eeaf5,Split,23,3,10,18,Diamond,1,439.4,7,1,1,13,2,0,0,4
bbb46f2b-3daf-4369-b291-fcb04cc6063b,Sunset,10,4,15,5,Diamond,1,157.579,0,4,0,6,13,1,0,4
e75fcf30-66c5-4d3d-bebb-870976108867,Haven,32,2,16,22,Diamond,1,402.182,8,1,1,13,9,1,0,4
0341eb87-cd03-4d1e-8e14-27f355a9205b,Summit,20,9,21,18,Diamond,1,243.423,6,4,1,14,12,0,0,4
f43cf1ec-4f89-41ae-9bfd-fa6001169de9,Ascent,17,4,17,24,Diamond,1,270.952,5,7,0,8,13,0,1,3
c83ab104-cb75-456d-9797-096f0e98661b,Haven,18,2,19,11,Diamond,1,242.227,4,2,0,9,13,1,1,3
d7e10daf-9186-4009-afb2-ab1c3ddf0625,Abyss,3,2,5,3,Diamond,1,71.769,1,0,0,0,5,0,1,3
65e4fdc9-46c9-45a9-be3a-37003b6e686b,Summit,11,2,15,10,Diamond,1,216.188,6,2,0,3,13,1,1,3
8f08416a-0f22-4481-bfe4-ce16ed1440aa,Ascent,14,8,14,12,Diamond,1,232.056,2,0,1,13,5,0,1,3
f6d233d3-bad2-46d8-a91a-c62ecaa498a2,Abyss,27,6,15,22,Diamond,1,310.348,0,1,1,13,10,1,2,2
916edeef-16a4-4688-8cdd-43aa19ccc205,Haven,21,9,19,18,Diamond,1,300.652,1,0,0,10,13,0,2,2
d2c97909-6d69-438d-b344-e74887befec3,Ascent,18,3,17,18,Diamond,1,274.65,6,0,0,7,13,1,2,2
05ee62e3-b427-4c8c-a7c5-007a520d3544,Abyss,14,3,17,15,Diamond,1,215.789,2,3,0,6,13,0,1,3
10158afd-36a5-4a67-9ce8-116c13c7fe5c,Sunset,25,4,15,19,Diamond,1,334.095,3,3,1,13,8,0,1,3
6d39d856-a644-4c60-a953-28b060b9dce1,Split,18,6,14,13,Diamond,1,253.5,2,0,0,7,13,0,2,2
4f532341-5fef-4863-8fb9-209df1bee6fb,Split,22,7,19,15,Diamond,1,276.333,1,0,1,13,11,1,2,2
8f285507-5205-43a7-b8d5-77acc2ec93ab,Sunset,31,5,27,28,Diamond,1,288.733,1,5,0,14,16,0,0,4
faa8b989-e876-4f78-b5e2-6657ab98470c,Haven,16,1,18,15,Diamond,1,264.526,5,1,0,6,13,0,0,4
14df887e-a01a-4091-8f97-827955453785,Split,14,3,19,14,Platinum,3,181.905,1,1,0,8,13,1,1,3
b7ac5c96-620e-47cd-b892-b3234945e901,Haven,8,2,14,6,Diamond,1,166.714,3,2,0,1,13,1,1,3
1c6bdadd-71db-4c52-93ce-75e6e0fa5ef2,Split,19,1,21,17,Platinum,3,244.0,5,7,0,10,13,0,0,4
0de377f6-d992-421f-83de-4e6936f147cd,Ascent,13,3,19,9,Platinum,3,160.958,2,4,0,11,13,1,0,4
968735ed-fe09-4988-a033-4dc13c608677,Summit,16,5,20,14,Platinum,3,181.957,5,4,1,13,10,0,1,3
de313da1-2cc1-49a2-b4b7-b0818580b5d9,Abyss,25,6,26,17,Platinum,3,222.719,6,5,0,15,17,1,1,3
4f7a99bf-d808-41df-85ff-012c184aff55,Lotus,14,3,14,9,Platinum,3,197.4,4,1,1,13,7,0,1,3
827110f2-3fd7-42f8-9c8f-25dd2c52e46a,Summit,13,5,18,9,Platinum,3,172.833,3,4,0,11,13,0,1,3
5009c9a3-a334-4fe5-875d-bf76c9dc993f,Haven,16,3,20,10,Platinum,3,222.174,3,1,0,10,13,0,1,3
e4b8057b-b4c8-4659-a211-dabe91923325,Split,6,5,15,5,Platinum,3,126.0,1,3,0,4,13,0,2,2
7c6babb0-b61a-496c-a8d7-e78d1278eba0,Ascent,17,2,11,6,Platinum,3,310.5,3,0,1,13,1,1,2,2
be357d42-d788-4c5e-b74a-0868473aac94,Lotus,17,5,10,15,Platinum,3,257.125,1,1,2,13,3,1,2,2
7290bd90-ecc5-4827-ac2f-52fae92f6e70,Split,24,6,21,17,Platinum,3,308.667,9,4,0,11,13,0,2,2
79a1eb6c-20ed-4ba1-b03e-9752f9653424,Haven,18,1,10,14,Platinum,3,282.812,2,2,1,13,3,0,1,3
b6125b9f-8f74-4117-a574-766f16c7cdc0,Lotus,22,4,18,14,Platinum,3,290.783,5,4,0,10,13,0,1,3
821679cf-d621-437e-aba9-7b7dce4af1e5,Sunset,22,3,14,22,Platinum,3,267.545,3,1,1,13,9,0,1,3
c61c237a-ef9b-4fcb-afe4-b86670e08fa6,Ascent,9,3,16,6,Platinum,3,181.188,2,2,0,3,13,0,2,2
5a24e0b4-e471-4353-b58a-73695900fdc4,Sunset,24,2,17,16,Platinum,3,279.913,5,1,0,10,13,0,2,2
4efe8470-ef7c-4633-8805-f9c0a3a32122,Lotus,26,5,27,16,Platinum,3,240.469,4,3,0,15,17,1,1,3
