id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
c463cb0c-7efa-490e-80e2-43eff65d6e17,Lotus,5,3,13,4,Silver,1.0,90.059,0,2,0,4,13,0,1,3
2d8c4897-993a-45ac-ae82-62768a2fd09f,Ascent,15,3,14,3,Silver,1.0,217.278,1,2,0,5,13,0,1,3
2f311431-21f8-42d8-98e1-3c41f4d1d323,Summit,7,2,14,1,Silver,1.0,135.294,1,0,0,4,13,1,1,3
9c42fce5-1194-4f5b-aa5d-4d7f1f866386,Breeze,17,8,19,3,Silver,1.0,197.071,2,3,1,15,13,0,1,3
c5d408bf-9eaf-4b55-8906-6a395bf3b84b,Split,17,3,16,9,Silver,1.0,198.609,2,1,0,10,13,1,1,3
c4b954f5-9abf-4c31-9490-c1301f693b7c,Haven,11,3,14,9,Silver,1.0,181.05,0,3,0,7,13,1,1,3
3669f078-43b5-4f54-b9ee-33370a6c46b4,Summit,11,3,19,5,Silver,1.0,132.522,1,5,0,10,13,0,1,3
8e1b7304-6c06-4531-99f5-d7cc7a04db90,Breeze,12,3,10,1,Silver,1.0,157.35,0,2,1,13,7,0,1,3
cacbbaa7-690f-4e3d-abe3-266d64d422b4,Ascent,17,5,11,5,Silver,1.0,232.6,1,0,2,13,7,1,0,4
1f35c346-5707-43aa-a224-9ada1cb3c795,Breeze,16,0,11,2,Silver,1.0,207.15,2,0,1,13,7,0,0,4
29e827ad-1d9b-4ed7-95b3-0a12524a9f17,Ascent,9,6,14,5,Silver,1.0,173.471,2,0,0,4,13,1,1,3
a7ee8591-2e49-4fd3-aab7-04fb47ecf670,Lotus,14,2,16,8,Silver,1.0,234.632,2,1,0,6,13,1,1,3
d8cf3160-8108-4915-8dd3-040839f8b591,Split,18,4,5,11,Silver,1.0,281.824,3,0,1,10,4,0,1,3
5fa16703-c503-48a1-b0d7-270025181aef,Summit,19,7,10,7,Silver,1.0,260.278,1,2,2,13,5,0,1,3
e0e61677-8be9-4c20-8f24-465d398ce54b,Ascent,18,1,16,10,Silver,1.0,262.5,3,1,0,5,13,1,1,3
f18d45ab-3aee-4834-8f6b-bbd21fb00e46,Lotus,15,8,16,7,Silver,1.0,238.381,0,3,0,8,13,1,1,3
dc0b7fb5-4cfc-43fe-abaf-7469a4093c50,Split,16,2,14,4,Silver,1.0,230.895,0,0,0,6,13,0,1,3
7dd0863d-2517-4c35-ba01-aee4eaeb1c68,Haven,18,4,13,6,Silver,1.0,236.522,1,0,0,10,13,0,1,3
aa88cee3-e0e7-4b28-af00-7b80fe0b0aa6,Breeze,14,2,7,7,Silver,1.0,208.438,2,0,1,13,3,0,1,3
bb31ea91-49b8-4e83-a06d-e1fc3c8e7dc3,Summit,11,8,9,8,Silver,1.0,179.222,0,1,1,13,5,1,1,3
652cbf25-d25a-4579-ae33-754c093c792d,Haven,16,6,12,6,Silver,1.0,213.5,0,0,2,13,7,1,1,3
c5e99678-abe5-4eca-a3e5-521f31fc696e,Ascent,13,10,13,5,Silver,1.0,200.478,3,0,3,13,10,0,1,3
7fd417e8-3550-4258-854a-a8d0d1bdfc00,Summit,24,12,20,9,Silver,1.0,236.2,3,0,0,15,15,0,0,4
8532867c-44f4-42af-a1a3-1bf90a0be3b9,Haven,18,2,14,3,Silver,1.0,181.667,0,2,1,13,11,0,0,4
923d8955-3e51-4b02-ab85-53cbf181c40f,Lotus,6,4,14,2,Silver,1.0,105.722,1,2,2,13,5,0,0,4
