id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
a93d6d81-2b86-4230-a7fc-36fc4c302220,Split,13,6,10,4,Platinum,1.0,187.789,2,1,1,13,6,1,0,4
6a0c80c9-8ca5-48d4-9b30-da81d2367934,Sunset,25,2,21,11,Platinum,1.0,236.6,6,4,1,15,15,1,0,4
105314c6-3972-45a2-b789-fad08c0f5d61,Lotus,11,3,15,8,Platinum,1.0,217.533,0,1,0,2,13,0,0,4
fa11d466-856d-4f20-a6d8-6cabf513936a,Abyss,4,2,14,4,Platinum,1.0,106.143,1,1,0,1,13,0,0,4
329399cf-6b79-4934-a685-242f5d97e3c3,Ascent,11,5,20,5,Platinum,1.0,153.652,3,3,0,10,13,1,0,4
1a0a9db7-599d-4fb6-8121-cd635e0847c1,Summit,9,5,11,7,Platinum,1.0,160.562,0,2,1,13,3,0,0,4
8465f256-5f41-48d8-8f92-8498b225cbdb,Lotus,16,6,18,17,Platinum,1.0,197.25,3,2,0,11,13,0,0,4
b0682db4-421b-45c1-9b30-9d0acc65830a,Summit,10,8,15,7,Platinum,1.0,153.19,0,4,1,13,8,1,0,4
3c314d0a-8465-405a-a375-a4525aeac8a3,Ascent,20,4,15,20,Platinum,1.0,258.0,5,1,0,8,13,0,0,4
b78b8a82-08c5-4ed6-9aa6-8b6409cd9a58,Haven,11,5,15,7,Platinum,1.0,140.909,1,1,1,13,9,1,0,4
f8105e21-d5b6-45d4-a68e-ad6aff3d3ef4,Split,18,5,24,13,Platinum,1.0,204.769,4,2,0,12,14,1,0,4
d368370a-9ba4-47be-96ec-f118e8227562,Ascent,25,5,22,17,Platinum,1.0,225.833,2,2,0,14,16,0,0,4
d07667e8-346e-4246-913d-3e09d53954bc,Summit,22,3,18,13,Platinum,1.0,255.818,1,0,1,13,9,1,0,4
