id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
97262d72-eca7-4e2b-b761-311bd7c1ebd4,1fknt,Split,Unrated,Sage,Centinela,10,5,12,7,"['BloodyMint', 'etoo mafia11', 'ayhaga1', 'CandiB']",Unrated,,"['Yoru', 'Neon', 'Sage', 'Brimstone', 'Tejo']",139.522,4,1,1,13,10,1787529058,"Sunday, August 23, 2026 11:50 PM"
d0cc24b7-8f3a-4baf-bd4d-044e9ff25e71,1fknt,Sunset,Unrated,Sage,Centinela,11,5,15,12,"['raresbrt', 'ledjims', 'Edward Ulric', 'NoPClea']",Unrated,,"['Jett', 'Sova', 'Clove', 'Reyna', 'Sage']",190.053,2,2,0,6,13,1787526735,"Sunday, August 23, 2026 11:12 PM"
18548574-d98c-4fb8-9632-d55715548ef7,1fknt,Haven,Unrated,Phoenix,Duelista,10,6,19,17,"['Medhyou5', 'mindforce', 'Tristours', 'Cams']",Unrated,,"['KAY/O', 'Brimstone', 'Reyna', 'Sage', 'Phoenix']",145.167,0,4,0,11,13,1787690237,"Tuesday, August 25, 2026 08:37 PM"
95a6eb20-e8f1-4264-b570-bf83c3fbc0a6,1fknt,Haven,Unrated,Sage,Centinela,7,3,10,9,"['DarkVoid シ', 'kokosek420', 'krisssss', 'sxk7k']",Unrated,,"['Omen', 'Sage', 'Yoru', 'Skye', 'Phoenix']",132.278,0,2,0,5,8,1787758719,"Wednesday, August 26, 2026 03:38 PM"
25a136a3-cd05-4721-853c-628fc113cdb8,1fknt,Lotus,Swiftplay,Omen,Controlador,4,1,6,4,"['wish', 'SKHON', 'evegitmemgerek', 'Caesar']",Unrated,,"['Phoenix', 'Omen', 'Iso', 'Jett', 'Sage']",125.333,1,2,1,5,4,1787790109,"Thursday, August 27, 2026 12:21 AM"
e0804ae4-6c77-4fc2-90be-81a502d3892c,1fknt,Ascent,Unrated,Sage,Centinela,13,8,16,11,"['YdSaid', 'chara', 'SKHON', 'AceJet']",Unrated,,"['Chamber', 'Clove', 'Sage', 'Reyna', 'Phoenix']",164.48,1,0,0,12,13,1787787087,"Wednesday, August 26, 2026 11:31 PM"
25bea672-a110-406d-bd2c-3c2673921260,1fknt,Abyss,Unrated,Phoenix,Duelista,15,3,10,13,"['creatine', 'SKHON', 'BreadyButter', 'Missclownest']",Unrated,,"['Clove', 'Astra', 'Phoenix', 'Breach', 'Sage']",213.526,4,0,1,13,6,1787784942,"Wednesday, August 26, 2026 10:55 PM"
1ee72a4d-64a4-43c7-8818-dcdb5abc6ee3,1fknt,Split,Swiftplay,Omen,Controlador,9,2,6,9,"['pufulete', 'Raveon', ' Fu7ChaPuk ', 'Kandix']",Unrated,,"['Sage', 'Waylay', 'Chamber', 'Jett', 'Omen']",324.25,2,0,0,3,5,1787847593,"Thursday, August 27, 2026 04:19 PM"
f3141f6f-2366-41b2-90c1-f5b56afad5a6,1fknt,Corrode,Swiftplay,Iso,Duelista,4,3,7,3,"['LPSclutch', 'Sylixx', 'SogeKing', 'oqsl2']",Unrated,,"['Iso', 'Jett', 'Breach', 'Deadlock', 'Reyna']",166.5,0,0,0,3,5,1787842956,"Thursday, August 27, 2026 03:02 PM"
40031b87-71df-4bb1-9c38-63d20b89ff57,1fknt,Sunset,Swiftplay,Omen,Controlador,0,3,4,0,"['FRANCOPETISTA', 'BarberoENmálaga', 'ヤ furianocturnaツ', 'Eyes of Lies']",Unrated,,"['Phoenix', 'Omen', 'Raze', 'Waylay', 'Reyna']",29.143,0,1,0,2,2,1787842384,"Thursday, August 27, 2026 02:53 PM"
6c464da2-7585-4f2b-bdf1-34bb40ac47e2,1fknt,Pearl,Swiftplay,Sage,Centinela,7,1,4,6,"['Silou', 'THE ITZZ', 'RYOSukuna', 'gzenohn']",Unrated,,"['Jett', 'Omen', 'Neon', 'Sage', 'Gekko']",266.571,1,1,0,2,5,1788540306,"Friday, September 04, 2026 04:45 PM"
e66f1e40-a5a4-4825-a4d2-4d7ec83b7763,1fknt,Breeze,Swiftplay,Omen,Controlador,5,4,5,5,"['NoZeMeOkurre', 'PinkieMaj', 'Greed', 'wew3']",Unrated,,"['Raze', 'Gekko', 'Neon', 'Waylay', 'Omen']",186.5,0,0,1,5,3,1788539045,"Friday, September 04, 2026 04:24 PM"
94eb28fe-4974-4c00-a1aa-454544d8d863,1fknt,Corrode,Swiftplay,Fade,Iniciador,0,0,5,1,"['CrokMoiSTP', 'tamtam131313', 'RUN Himesama', 'eunoia']",Unrated,,"['Chamber', 'Cypher', 'Yoru', 'Miks', 'Fade']",28.8,0,0,0,0,5,1788619886,"Saturday, September 05, 2026 02:51 PM"
b3cb599d-c4f9-4085-895e-e5c047b81ed3,1fknt,Abyss,Competitive,Phoenix,Duelista,12,1,14,11,"['Wallabys Nobody', 'zedrafinx', 'MylaneB', 'Brika']",Unrated,,"['Skye', 'Miks', 'Killjoy', 'Phoenix', 'Sage']",166.095,3,3,0,8,13,1788785476,"Monday, September 07, 2026 12:51 PM"
