id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
87e6171f-fe4d-4990-8356-03230ab6cae1,Alexlz,Drift,Team Deathmatch,Jett,Duelista,31,8,25,12,"['Ali B', 'ladramahwang', 'ZeroTwo', 'bazooka']",Unrated,,"['Jett', 'Reyna', 'Veto', 'Sova', 'Chamber']",8490.0,0,1,1,100,85,1787417525,"Saturday, August 22, 2026 04:52 PM"
e71c8e5f-7af8-4039-bdd1-d2c8c5de0529,Alexlz,Glitch,Team Deathmatch,Jett,Duelista,22,9,24,14,"['special client', 'ladramahwang', 'no aim', '007']",Unrated,,"['Neon', 'Jett', 'Raze', 'Reyna', 'Iso']",6391.0,0,0,0,62,100,1787417085,"Saturday, August 22, 2026 04:44 PM"
3cd183eb-fdea-4a77-990b-8f4cb55d9a4f,Alexlz,Ascent,Competitive,Chamber,Centinela,15,4,16,9,"['moneyga', 'dizo', 'nghtタ', 'boss']",Diamond,3.0,"['Clove', 'Reyna', 'Chamber', 'Jett', 'Sova']",204.045,3,3,0,9,13,1787357465,"Saturday, August 22, 2026 12:11 AM"
df2eec0c-8498-43e3-9584-db35f99a1cd3,Alexlz,Kasbah,Team Deathmatch,Reyna,Duelista,25,8,21,16,"['Altaïr', 'luZo', 'shraxed', 'red']",Unrated,,"['Deadlock', 'Jett', 'Fade', 'Reyna', 'Chamber']",7253.0,1,0,1,100,83,1787354142,"Friday, August 21, 2026 11:15 PM"
23457633-c01f-4484-83f6-c290aadcdf5b,Alexlz,Kasbah,Team Deathmatch,Jett,Duelista,26,6,21,10,"['HAZ', 'Francky 3', 'Ilyas786', 'timtim']",Unrated,,"['Neon', 'Reyna', 'Jett', 'Sova', 'Raze']",7073.0,0,0,0,98,100,1787353530,"Friday, August 21, 2026 11:05 PM"
fc66c4c8-2797-42cc-9d3e-570c738240d9,Alexlz,Summit,Competitive,Clove,Controlador,9,7,18,6,"['SAMY RANK 67', 'Hihihihihihi', 'Powell', 'yamato']",Diamond,3.0,"['Vyse', 'Phoenix', 'Clove', 'Neon', 'Waylay']",153.333,3,1,0,5,13,1787896061,"Friday, August 28, 2026 05:47 AM"
f9575745-3a94-4998-a935-911025ba419f,Alexlz,Haven,Competitive,Jett,Duelista,15,5,15,12,"['Hihihihihihi', 'xDISCIPL1NE', 'Powell', 'ロック']",Diamond,3.0,"['Clove', 'Sova', 'Jett', 'Neon', 'Chamber']",197.818,4,1,1,13,9,1787893994,"Friday, August 28, 2026 05:13 AM"
ab286cb4-bb23-4d08-b482-f430007cd62d,Alexlz,Split,Competitive,Chamber,Centinela,12,0,14,5,"['Doink', 'ykwim', 'Hihihihihihi', 'Powell']",Diamond,3.0,"['Raze', 'Fade', 'Clove', 'Chamber', 'Neon']",168.737,1,1,0,6,13,1787891994,"Friday, August 28, 2026 04:39 AM"
700099dc-c7eb-4c40-86db-819845c17922,Alexlz,Abyss,Competitive,Chamber,Centinela,19,0,14,11,"['raphiiiiiii', 'ItzJabba', 'Momo', 'SaSa2500']",Diamond,3.0,"['Raze', 'Jett', 'Chamber', 'Sova', 'Clove']",255.55,2,0,0,7,13,1787889500,"Friday, August 28, 2026 03:58 AM"
8b2df52a-f0bd-4b4c-8594-d244e734f953,Alexlz,Lotus,Competitive,Chamber,Centinela,12,3,15,4,"['Han', 'shelio', 'Hagrid', 'HUNK']",Diamond,3.0,"['Reyna', 'Clove', 'Sage', 'Chamber', 'Sova']",172.421,2,4,0,6,13,1787887532,"Friday, August 28, 2026 03:25 AM"
