id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
4f24a1b0-f77f-42b2-9baf-d7a29ea475e0,Bet365 Enjoyer,Summit,Competitive,Sage,Centinela,10,6,18,9,"['G2 KatarinaBluu', 'G2 gallardoo', 'Erarse', 'Riko']",Gold,3,"['Neon', 'Cypher', 'Omen', 'Sova', 'Sage']",139.909,1,5,0,9,13,1787254988,"Thursday, August 20, 2026 07:43 PM"
9c8e52da-5d68-4f1a-977b-47c013250810,Bet365 Enjoyer,Sunset,Competitive,Sova,Iniciador,14,8,21,10,"['culoskk', 'КΛΟTICΛ', 'I Love Her', 'EduDZJ']",Gold,3,"['Chamber', 'Clove', 'Sova', 'Reyna', 'Deadlock']",186.333,1,6,0,11,13,1787250360,"Thursday, August 20, 2026 06:26 PM"
808240c5-8466-4ff5-9635-17b52d48e4ad,Bet365 Enjoyer,Ascent,Competitive,Sova,Iniciador,10,2,15,9,"['维克莎', 'SAMEGMA', 'SpOpO', 'T1 Corvus Xlll']",Gold,3,"['Clove', 'Sova', 'Phoenix', 'Raze', 'Killjoy']",129.81,2,1,1,13,8,1787233571,"Thursday, August 20, 2026 01:46 PM"
17dc867f-55d8-4aee-a8f8-ac083691202c,Bet365 Enjoyer,Sunset,Competitive,Clove,Controlador,19,12,24,12,"['Nefta', 'lukitas0327', 'Alexitto', 'Reinhard Van Ast']",Gold,3,"['Neon', 'Deadlock', 'Sova', 'Clove', 'Phoenix']",212.5,2,3,1,14,14,1787229471,"Thursday, August 20, 2026 12:37 PM"
81c948f2-6178-4731-b279-a0c4be973506,Bet365 Enjoyer,Summit,Competitive,Skye,Iniciador,15,4,19,10,"['MTA', 'Javieeliyo', 'X1 HugX', 'IGUANA']",Gold,3,"['Jett', 'Sova', 'Omen', 'Skye', 'Chamber']",176.217,1,1,0,10,13,1787222440,"Thursday, August 20, 2026 10:40 AM"
0c86aa78-db26-4fe6-947f-14f11d682fe7,Bet365 Enjoyer,Ascent,Competitive,Clove,Controlador,13,5,17,9,"['Juke', 'alvaatrooss', 'karaio', 'NonChalant']",Gold,3,"['Breach', 'Reyna', 'Clove', 'Chamber', 'Jett']",162.81,0,1,1,13,8,1788183847,"Monday, August 31, 2026 01:44 PM"
f449aa80-3150-4ecb-938c-75943f91ed02,Bet365 Enjoyer,Lotus,Competitive,Clove,Controlador,19,4,14,14,"['Harry Kane', 'Jolathis', 'Kimmich', 'alvaatrooss']",Gold,3,"['Deadlock', 'Phoenix', 'Clove', 'Gekko', 'Reyna']",250.75,2,2,2,13,7,1788181615,"Monday, August 31, 2026 01:06 PM"
dd1c9b23-c0a8-472b-8828-20e130474d56,Bet365 Enjoyer,Haven,Competitive,Clove,Controlador,12,6,23,9,"['dzm', 'Narkow', 'vele008', 'Последниот човек']",Gold,3,"['Jett', 'Clove', 'Reyna', 'Chamber', 'Sova']",142.958,2,4,0,11,13,1788258556,"Tuesday, September 01, 2026 10:29 AM"
8935ba15-90bc-43e0-94aa-c9dddf2854f3,Bet365 Enjoyer,Sunset,Competitive,Clove,Controlador,8,3,15,5,"['Gaara', 'itzgirekkusu', 'alvaatrooss', 'Bacturne']",Gold,3,"['Clove', 'Phoenix', 'Iso', 'Neon', 'Reyna']",159.625,0,3,0,3,13,1788274794,"Tuesday, September 01, 2026 02:59 PM"
476b14f2-6e5e-45a0-a85c-a7c5988e314d,Bet365 Enjoyer,Sunset,Competitive,Clove,Controlador,19,1,17,15,"['tupucroqueta', 'Mori Buntarou', 'alvaatrooss', 'NoReply']",Gold,3,"['Killjoy', 'Phoenix', 'Reyna', 'Brimstone', 'Clove']",273.6,1,4,0,7,13,1788347496,"Wednesday, September 02, 2026 11:11 AM"
3ee930db-0b6c-40e1-9eec-008092727d3b,Bet365 Enjoyer,Haven,Competitive,Skye,Iniciador,8,3,17,8,"['GhostyALEXIO', 'M4rc0id3', 'UrkoUmarex', 'alvaatrooss']",Gold,3,"['Chamber', 'Omen', 'Skye', 'Cypher', 'Reyna']",130.55,0,2,0,7,13,1788540885,"Friday, September 04, 2026 04:54 PM"
561c6276-ddb7-492d-998c-8cb6a7f65f81,Bet365 Enjoyer,Split,Competitive,Clove,Controlador,13,5,22,11,"['Sir IslandOwner', 'alvaatrooss', 'Nazuna ツ', 'Yamori ツ']",Gold,3,"['Breach', 'Reyna', 'Clove', 'Sage', 'Jett']",143.833,1,3,1,13,11,1789058488,"Thursday, September 10, 2026 04:41 PM"
