id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
5a2ba782-dfc0-4df0-915e-72ca562b9dfa,Bmbxrr,Lotus,Competitive,Reyna,Duelista,6,3,16,3,"['GalicianFighter', 'sZeyKo', 'Gochukiller1', 'EsNeiLuj']",Silver,2,"['Cypher', 'Miks', 'Chamber', 'Reyna', 'Fade']",107.579,0,2,0,6,13,1787502861,"Sunday, August 23, 2026 04:34 PM"
278688f9-b6df-45e3-b71e-c37895af4c1e,Bmbxrr,Summit,Competitive,Omen,Controlador,17,3,18,11,"['Black Deesus', 'حي سكني', 'LPH adKHARY', 'GalicianFighter']",Silver,2,"['Chamber', 'Sage', 'Omen', 'Phoenix', 'Tejo']",219.091,1,5,0,9,13,1787500167,"Sunday, August 23, 2026 03:49 PM"
d138a8fd-b9df-4924-9d97-e2a7ad536656,Bmbxrr,Haven,Competitive,Neon,Duelista,15,5,14,10,"['vitalis95', 'MT James Crasher', 'AIM de SHEIN', 'GalicianFighter']",Silver,1,"['Raze', 'Brimstone', 'Cypher', 'Sova', 'Neon']",252.222,4,5,1,13,5,1787497859,"Sunday, August 23, 2026 03:10 PM"
1a6e4c49-9117-4bc7-a2e6-2849e6fe52cd,Bmbxrr,Split,Competitive,Reyna,Duelista,22,4,22,13,"['Nicosanz16', 'GalicianFighter', 'velahoz', 'Marcu']",Silver,2,"['Cypher', 'Raze', 'Reyna', 'Clove', 'Sage']",266.0,6,3,0,11,13,1787495258,"Sunday, August 23, 2026 02:27 PM"
1167ebff-ba66-413c-8b54-5bce3d4e5869,Bmbxrr,Ascent,Competitive,Omen,Controlador,6,4,14,5,"['ILoveEgirlsッ', 'GalicianFighter', 'MonoBallz', 'FeetHunter']",Silver,2,"['Omen', 'KAY/O', 'Veto', 'Waylay', 'Reyna']",146.333,1,5,0,2,13,1787493651,"Sunday, August 23, 2026 02:00 PM"
e0840089-ced5-4c03-9498-3980539faca4,Bmbxrr,Summit,Competitive,Omen,Controlador,6,5,12,5,"['AbstaCheter', 'I have Wife', 'HARDKORETAKETAMI', 'zxn']",Silver,1,"['Fade', 'Jett', 'Omen', 'Chamber', 'Raze']",123.688,1,4,0,3,9,1789394127,"Monday, September 14, 2026 01:55 PM"
de9205ff-1ee7-4881-a41c-69af41a2391c,Bmbxrr,Split,Competitive,Reyna,Duelista,8,5,14,5,"['Rodri', 'marcitos247', 'Torvick', 'LotetoHype']",Silver,1,"['Clove', 'Neon', 'Chamber', 'Vyse', 'Reyna']",160.294,1,3,0,4,13,1789391660,"Monday, September 14, 2026 01:14 PM"
e45843cd-9243-42b8-add1-1c03bf7405e0,Bmbxrr,Summit,Competitive,Reyna,Duelista,25,8,21,9,"['Rollyboid', 'CeltaVigoAspas', 'GYRO', 'Salsa Barbacoa']",Silver,1,"['Omen', 'Reyna', 'Jett', 'Breach', 'Cypher']",247.893,4,2,0,13,15,1789671260,"Thursday, September 17, 2026 06:54 PM"
46132a79-08ee-4a8d-9dd6-f33b0557d093,Bmbxrr,Sunset,Competitive,Reyna,Duelista,16,0,7,7,"['Guillevgx', 'ErMiguelin', 'MoritosFuera', 'Pipalamaspipa']",Silver,1,"['Miks', 'Chamber', 'Reyna', 'Neon', 'Gekko']",253.312,3,2,1,13,3,1789669637,"Thursday, September 17, 2026 06:27 PM"
226302ca-1d72-48ae-b690-0737885935ef,Bmbxrr,Ascent,Competitive,Chamber,Centinela,11,5,17,2,"['Sweet chili', 'inno', 'Tacos', 'Appaah']",Silver,1,"['Waylay', 'Raze', 'Clove', 'Breach', 'Chamber']",121.167,1,4,2,13,11,1789656628,"Thursday, September 17, 2026 02:50 PM"
