id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
74230288-e9d3-460e-8853-331cd2a82248,Ender,Abyss,Competitive,Killjoy,Centinela,22,4,5,9,"['Capt Perú', 'RelvaTT', 'M3DEEI', 'RDWN']",Iron,3.0,"['Killjoy', 'Sage', 'Miks', 'Neon', 'Reyna']",374.8,4,0,1,13,2,1787518475,"Sunday, August 23, 2026 08:54 PM"
c4e72169-a14a-46be-b548-bcc10bb0351f,Ender,Summit,Competitive,Killjoy,Centinela,17,7,20,9,"['IchiGoat', 'Capt Perú', 'Fademommy', 'TK NANUK']",Iron,3.0,"['Phoenix', 'Killjoy', 'Sage', 'Clove', 'Fade']",236.208,6,3,0,11,13,1787515762,"Sunday, August 23, 2026 08:09 PM"
82f810d6-2bd8-4ad1-b05d-2d8285808529,Ender,Split,Competitive,Killjoy,Centinela,8,1,14,4,"['Capt Perú', 'Kukosuwka', 'Furia', 'taha']",Iron,3.0,"['Sage', 'Vyse', 'Clove', 'Killjoy', 'Reyna']",208.714,1,2,0,1,13,1787514287,"Sunday, August 23, 2026 07:44 PM"
3e682b66-3338-4d20-b6df-80d78941c956,Ender,Lotus,Competitive,Killjoy,Centinela,21,3,12,5,"['nacho28030', 'mrkos', 'forn', 'Rimichii0']",Iron,3.0,"['Killjoy', 'Sova', 'Brimstone', 'Raze', 'Jett']",240.227,0,1,1,13,9,1787484268,"Sunday, August 23, 2026 11:24 AM"
80ea5616-af5f-444b-9f3a-be2f327828fe,Ender,Summit,Competitive,Killjoy,Centinela,15,7,20,10,"['Capt Perú', 'Alberto catetas', 'gonzavila25', '13Nightmare13']",Iron,3.0,"['Sage', 'Omen', 'Jett', 'KAY/O', 'Killjoy']",216.478,4,2,0,10,13,1787434686,"Saturday, August 22, 2026 09:38 PM"
771ef4b4-b560-4b73-88c9-cbe24c51d6a5,Ender,Abyss,Competitive,Killjoy,Centinela,14,10,6,6,"['OBSCURA', 'Filistrupi', 'guepar', 'Mandarina']",Iron,3.0,"['Yoru', 'Sova', 'Reyna', 'Clove', 'Killjoy']",288.5,2,2,1,11,1,1787595046,"Monday, August 24, 2026 06:10 PM"
aac52300-8a53-49e2-bc45-0b49559979f6,Ender,Icebox,Unrated,Killjoy,Centinela,7,1,6,4,"['Lucas 0000000000', 'Razix', 'manuel345', 'machadinhooou']",Unrated,,"['Reyna', 'Sage', 'Jett', 'Killjoy', 'Sova']",124.786,2,0,1,9,1,1788209011,"Monday, August 31, 2026 08:43 PM"
19454971-f036-4e3c-9d64-72af1d8c77d3,Ender,Haven,Unrated,Killjoy,Centinela,13,5,11,6,"['arienzaleo', 'Ulquiorra', 'MartimGamer00790', 'JekeDas']",Unrated,,"['Clove', 'Killjoy', 'Jett', 'Sage', 'KAY/O']",221.737,3,1,1,13,6,1788284717,"Tuesday, September 01, 2026 05:45 PM"
6cee83e7-b75b-4c44-98c1-88058f30313a,Ender,Lotus,Competitive,Sova,Iniciador,12,7,15,3,"['Ryomen', 'Boqueron327', 'Capt Perú', 'Aitorvaleroツ']",Iron,3.0,"['Omen', 'Brimstone', 'Sova', 'Sage', 'Waylay']",153.0,1,4,0,8,13,1788290695,"Tuesday, September 01, 2026 07:24 PM"
ce7dc9a0-b19d-42e5-bc3d-fd653623e087,Ender,Lotus,Competitive,Killjoy,Centinela,14,5,15,5,"['MarcsitoNavaja', 'tio patinas', 'jpgod777', 'miampudiafdez']",Iron,3.0,"['Gekko', 'Phoenix', 'Killjoy', 'Neon', 'Clove']",229.158,1,2,1,13,6,1788292989,"Tuesday, September 01, 2026 08:03 PM"
2b9a1ada-cbc1-41e6-906c-81c13876ae0d,Ender,Split,Competitive,Killjoy,Centinela,17,2,21,10,"['FreeZz84', 'GentleCap2', 'boomkiki', 'PictureB4lm']",Iron,3.0,"['Sage', 'Yoru', 'Killjoy', 'Fade', 'Jett']",189.692,1,0,1,14,12,1788378737,"Wednesday, September 02, 2026 07:52 PM"
2cd9231f-4f37-4023-9c63-fa016af11ae1,Ender,Sunset,Competitive,Killjoy,Centinela,13,6,23,7,"['hisuco', 'NoDoyNiUna', 'sacarinasaboria', 'GWolk3']",Iron,3.0,"['Astra', 'Killjoy', 'KAY/O', 'Sage', 'Reyna']",147.538,1,1,1,14,12,1788457551,"Thursday, September 03, 2026 05:45 PM"
f45c01d6-5d97-4bf1-a2bd-7d67f01d1e0f,Ender,Abyss,Competitive,Killjoy,Centinela,17,11,18,12,"['xGeri Kennedy98', 'katastrof', 'ADR2244', 'nikolomolol']",Iron,3.0,"['Phoenix', 'Raze', 'Astra', 'KAY/O', 'Killjoy']",279.048,4,2,0,8,13,1788690040,"Sunday, September 06, 2026 10:20 AM"
33e4b614-35a7-4cf6-8d01-1097f3a89c93,Ender,Ascent,Competitive,Killjoy,Centinela,17,8,16,7,"['IBRK', 'Huh', 'Capt Perú', 'Civilinho10']",Iron,3.0,"['Sage', 'Killjoy', 'Sova', 'Gekko', 'Iso']",256.19,3,4,0,8,13,1788729168,"Sunday, September 06, 2026 09:12 PM"
99a636f8-aa21-4c5e-b2e2-88b340345278,Ender,Pearl,Unrated,Killjoy,Centinela,38,5,17,14,"['RedDeath281', 'Huh', 'Capt Perú', 'MrDagnaa']",Unrated,,"['Yoru', 'Sova', 'Sage', 'KAY/O', 'Killjoy']",414.64,9,2,1,13,12,1788726377,"Sunday, September 06, 2026 08:26 PM"
edd62444-176b-476b-bf2f-bb6f3d772449,Ender,Abyss,Unrated,Killjoy,Centinela,10,1,14,5,"['Gamo3611fre', 'Huh', 'Camiloegay69', 'Mehdiiy']",Unrated,,"['Omen', 'Sova', 'Miks', 'Fade', 'Killjoy']",239.812,1,1,0,3,13,1789500337,"Tuesday, September 15, 2026 07:25 PM"
