id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
70ee439b-8ff0-4f36-8934-2765c5869aaa,Gloomy,Summit,Competitive,Fade,Iniciador,6,4,13,4,"['Danielix', 'halfezs', 'j4héx', 'J LAW meryl boss']",Radiant,,"['Clove', 'Neon', 'Reyna', 'Fade', 'Chamber']",146.062,1,0,0,3,13,1787528952,"Sunday, August 23, 2026 11:49 PM"
8caaaf97-55e5-4acf-b03e-bdef83d78c3b,Gloomy,Abyss,Competitive,Sova,Iniciador,15,2,15,10,"['Vitaminli', 'poxe', 'j4héx', 'hydro']",Radiant,,"['Jett', 'Chamber', 'Astra', 'Sova', 'Yoru']",194.1,0,1,0,7,13,1787526939,"Sunday, August 23, 2026 11:15 PM"
169efd44-ce1f-4a42-b89a-3a7ad6d887df,Gloomy,Summit,Competitive,Fade,Iniciador,11,7,14,11,"['j4héx', '리이욘', 'yLeaffff', 'Faceit 10']",Radiant,,"['Vyse', 'Clove', 'Fade', 'Jett', 'Reyna']",155.182,0,2,1,13,9,1787524795,"Sunday, August 23, 2026 10:39 PM"
3748c582-3059-4da7-ab57-13156015654d,Gloomy,Ascent,Competitive,Jett,Duelista,20,3,14,9,"['FLC kupecc', 'JulCáesar', 'j4héx', 'Elyxo']",Radiant,,"['Jett', 'Clove', 'Killjoy', 'Phoenix', 'Sova']",262.1,5,4,2,13,7,1787522283,"Sunday, August 23, 2026 09:58 PM"
b21df5bc-3a7a-40fc-8a71-8253c78e72aa,Gloomy,Ascent,Competitive,Sova,Iniciador,11,5,6,8,"['flinn', 'COLORS Juskay', 'j4héx', 'ksm']",Immortal,3.0,"['Sova', 'Jett', 'Phoenix', 'Cypher', 'Clove']",214.267,0,1,3,13,2,1787520758,"Sunday, August 23, 2026 09:32 PM"
5b2c968e-e460-4d7a-910d-a6c0100ba839,Gloomy,Split,Competitive,Fade,Iniciador,13,4,14,11,"['Ease', 'dystopia', 'CrXpTonix 203', 'deepca']",Radiant,,"['Viper', 'Phoenix', 'Clove', 'Fade', 'Jett']",249.059,2,1,0,4,13,1787606446,"Monday, August 24, 2026 09:20 PM"
b4d54dcc-9b68-4cb6-b439-8cc2a85380f3,Gloomy,Lotus,Competitive,Jett,Duelista,17,4,13,11,"['alittleisland', 'FUT mepeezy', 'GS Fleecs', 'KROS']",Radiant,,"['Fade', 'Neon', 'Omen', 'Vyse', 'Jett']",219.667,6,1,1,13,11,1787603761,"Monday, August 24, 2026 08:36 PM"
c184fce8-f14e-4fdf-a0a0-b5760ce6c119,Gloomy,Summit,Competitive,Fade,Iniciador,20,6,12,12,"['GS Fleecs', 'alittleisland', 'FUT mepeezy', 'KROS']",Radiant,,"['Omen', 'Vyse', 'Cypher', 'Neon', 'Fade']",252.773,2,3,2,13,9,1787601313,"Monday, August 24, 2026 07:55 PM"
d211cad3-d091-44eb-9bdc-ffc1060c9f42,Gloomy,Lotus,Competitive,Fade,Iniciador,24,12,12,20,"['snowy', 'Kuroo', 'CRISTIANORONALDO', 't h m s t r']",Radiant,,"['Chamber', 'Neon', 'Waylay', 'Clove', 'Fade']",376.722,3,0,3,13,5,1787598945,"Monday, August 24, 2026 07:15 PM"
00af1b68-60ae-454c-afac-24bbabe549ed,Gloomy,Haven,Competitive,Sova,Iniciador,13,1,2,6,"['anxiety', 'andik', 'QAD sickrey', 'icarus']",Radiant,,"['Jett', 'Clove', 'Cypher', 'Neon', 'Sova']",203.786,0,0,4,13,1,1787597525,"Monday, August 24, 2026 06:52 PM"
46430cfc-7733-4834-ba46-4f1772c9ff7a,Gloomy,Lotus,Competitive,Fade,Iniciador,7,3,16,3,"['sh1ngo', 'kiles', 'SGE Fizzy', 'xff']",Radiant,,"['Neon', 'Fade', 'Clove', 'Vyse', 'Jett']",90.667,1,1,0,8,13,1787960858,"Friday, August 28, 2026 11:47 PM"
0eb5395a-11d8-44c5-b751-169606bdba2f,Gloomy,Ascent,Competitive,Sova,Iniciador,13,8,11,8,"['EAEAEAEA', 'batman21', 'FUT Slaughter', 'sh1ngo']",Radiant,,"['Clove', 'Jett', 'Cypher', 'Neon', 'Sova']",190.474,3,0,1,13,6,1787958886,"Friday, August 28, 2026 11:14 PM"
1819f284-6d02-4383-9afd-587432475859,Gloomy,Split,Competitive,Fade,Iniciador,13,6,7,10,"['LOSINGBRAINCELLS', 'meon', 'daiku', 'SWINGG0D']",Immortal,3.0,"['Chamber', 'Yoru', 'Clove', 'Fade', 'Neon']",237.929,0,1,2,13,1,1787957439,"Friday, August 28, 2026 10:50 PM"
56807e03-54ea-4697-bce7-baf7d2ecbbef,Gloomy,Summit,Competitive,Fade,Iniciador,9,7,14,9,"['xerox', 'BJK oroni', 'qRqR', 'Kipperman']",Immortal,3.0,"['Clove', 'Fade', 'Chamber', 'Sage', 'Jett']",168.941,1,1,0,4,13,1787955741,"Friday, August 28, 2026 10:22 PM"
95b88ccc-968f-4229-8c22-949d0a6c5837,Gloomy,Sunset,Competitive,Omen,Controlador,13,2,15,11,"['qRqR', 'xerox', 'Goldstone', 'Santiego']",Radiant,,"['Gekko', 'Chamber', 'Waylay', 'Neon', 'Omen']",200.412,1,2,0,4,13,1787953418,"Friday, August 28, 2026 09:43 PM"
b946c59d-cf60-46b3-b748-017ff31c1590,Gloomy,Ascent,Competitive,Sova,Iniciador,12,3,16,8,"['remuss', 'tar feathers', 'проект генезис', 'emilio']",Radiant,,"['Sova', 'Phoenix', 'Killjoy', 'Jett', 'Clove']",185.45,1,2,0,7,13,1788003431,"Saturday, August 29, 2026 11:37 AM"
