id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
5462b6bb-eb11-4e25-84ea-51abb75947ce,Hyuko,Haven,Competitive,Gekko,Iniciador,18,2,12,9,"['csgoisbetter', 'Tarnished', 'nyeah', 'Lofty']",Bronze,3.0,"['Reyna', 'Gekko', 'Chamber', 'Raze', 'Omen']",246.25,2,2,1,13,7,1787586446,"Monday, August 24, 2026 03:47 PM"
6fe4eb84-638b-4a87-86d9-ab311908b9ab,Hyuko,Split,Competitive,Clove,Controlador,15,4,22,10,"['RaScry18', 'RyanXI7ツ', 'silverpringle', 'spin']",Bronze,3.0,"['Chamber', 'Clove', 'Sage', 'Raze', 'Tejo']",182.375,1,1,0,11,13,1787583987,"Monday, August 24, 2026 03:06 PM"
51e341a6-161f-48b1-af0e-c565522284a8,Hyuko,Summit,Competitive,Gekko,Iniciador,33,9,24,23,"['shogeeye', 'RaScry18', 'toutpareil', 'Shelderx']",Silver,1.0,"['Omen', 'Yoru', 'Sage', 'Waylay', 'Gekko']",328.179,4,2,0,13,15,1787580993,"Monday, August 24, 2026 02:16 PM"
a5a96a31-b10f-4789-917d-7a67cb7ab82e,Hyuko,Ascent,Competitive,Clove,Controlador,12,9,21,11,"['papamogger', 'RaScry18', 'toutpareil', 'Mellyria']",Silver,1.0,"['Reyna', 'Chamber', 'Tejo', 'Clove', 'Fade']",176.045,0,2,0,9,13,1787578320,"Monday, August 24, 2026 01:32 PM"
a661c4af-5929-4693-8cb9-6ffd589f3375,Hyuko,Abyss,Competitive,Gekko,Iniciador,15,7,15,10,"['milo', 'I miss her Kitty', 'nadelle', 'fishbakesztan']",Silver,1.0,"['Sage', 'Gekko', 'Jett', 'Clove', 'Reyna']",216.0,4,4,1,13,7,1787359748,"Saturday, August 22, 2026 12:49 AM"
5b08ab43-321b-4b66-9e29-a3859d909802,Hyuko,Lotus,Competitive,Omen,Controlador,10,6,19,7,"['Tr131', 'KahØtiik', 'sUPERTROMPI2', 'RaScry18']",Bronze,3.0,"['Phoenix', 'Cypher', 'Sova', 'Omen', 'Chamber']",133.083,1,1,1,13,11,1787672847,"Tuesday, August 25, 2026 03:47 PM"
e6272bdd-b5b5-432e-bbb1-5224e8f95bfa,Hyuko,Abyss,Competitive,Gekko,Iniciador,6,7,18,5,"['HH jesucristo', 'MasterCleaner', 'RaScry18', 'triple goose']",Silver,1.0,"['Reyna', 'Brimstone', 'Gekko', 'Chamber', 'Waylay']",138.579,0,1,0,6,13,1787675538,"Tuesday, August 25, 2026 04:32 PM"
91f1ae7d-fb7e-4912-9059-ec005d48853b,Hyuko,Abyss,Competitive,Clove,Controlador,19,13,24,15,"['Ariessona', 'Josi', 'nobody', 'HELLYE']",Silver,1.0,"['Harbor', 'Clove', 'Sage', 'Sova', 'Chamber']",239.077,1,1,1,14,12,1787677649,"Tuesday, August 25, 2026 05:07 PM"
b6fda58d-cb47-470c-acd7-d65962f2a978,Hyuko,Summit,Competitive,Clove,Controlador,22,16,17,10,"['Skayfox', 'Nowlyzz', 'Ethan25', 'Vouki']",Silver,1.0,"['Skye', 'Reyna', 'Cypher', 'Clove', 'Jett']",308.65,0,0,1,13,7,1787786328,"Wednesday, August 26, 2026 11:18 PM"
cf53cd8c-5ba0-4b09-8864-aeb1643f77fd,Hyuko,Sunset,Competitive,Clove,Controlador,24,2,23,22,"['Amak1ng  23', '6Diesel8', 'kowolski', 'guizinholegend']",Silver,1.0,"['Miks', 'Neon', 'Reyna', 'Clove', 'Harbor']",308.957,2,4,0,10,13,1787784199,"Wednesday, August 26, 2026 10:43 PM"
