id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
1d84c164-b787-4d37-96ce-b07b58cad6ee,Johni,Glitch,Team Deathmatch,Reyna,Duelista,24,9,21,23,"['yampi', 'raider22', '29 a secas', 'Xdani05']",Unrated,,"['Reyna', 'Raze', 'Neon', 'Jett', 'Sage']",6872.0,0,0,1,100,92,1787562854,"Monday, August 24, 2026 09:14 AM"
93bff5b8-27df-4c38-adca-e71ea85bee6a,Johni,Split,Competitive,Fade,Iniciador,12,6,17,7,"['RΞY', 'FORD Fiesta', 'Smmv', 'FORD Focus']",Silver,2.0,"['Fade', 'Raze', 'Miks', 'Reyna', 'Sage']",169.429,2,1,0,8,13,1787507601,"Sunday, August 23, 2026 05:53 PM"
ed4edf42-7893-45e1-ac49-9733287a4df4,Johni,Kasbah,Team Deathmatch,Chamber,Centinela,20,3,17,18,"['Hoo Lee Sheet', 'akaithsu', 'dr12', 'DARK MORTAL']",Unrated,,"['Raze', 'Reyna', 'KAY/O', 'Chamber', 'Jett']",5850.0,0,0,0,95,100,1787506623,"Sunday, August 23, 2026 05:37 PM"
58bf90bc-a309-4f7a-9cfd-55ea6301f158,Johni,Haven,Competitive,Neon,Duelista,11,5,15,7,"['Gso902', 'Maykelomar', 'Krayon', 'Tatuga7']",Silver,2.0,"['Sova', 'Neon', 'Chamber', 'Sage', 'Omen']",153.762,2,5,1,13,8,1787685090,"Tuesday, August 25, 2026 07:11 PM"
39f05f0a-304a-439d-8543-5e1c363060db,Johni,Kasbah,Team Deathmatch,Jett,Duelista,18,7,24,17,"['FØX', 'Hoshi 星', 'Gso902', 'Tatuga7']",Unrated,,"['Reyna', 'Jett', 'Iso', 'Phoenix', 'Raze']",5613.0,0,0,0,95,100,1787684460,"Tuesday, August 25, 2026 07:01 PM"
a18944e3-f6e6-43c2-8b1a-308afde2a79e,Johni,District,Team Deathmatch,Neon,Duelista,18,9,23,15,"['Peti', 'iSadness 维', 'Noxy', 'Afugenta C1ganos']",Unrated,,"['Clove', 'Neon', 'Jett', 'Reyna', 'Chamber']",5344.0,0,1,1,100,98,1787780289,"Wednesday, August 26, 2026 09:38 PM"
3b9abb08-9f78-488e-9acc-79678e2a98e8,Johni,Fracture,Swiftplay,Yoru,Duelista,9,1,2,3,"['MITICO PRIME', 'noTap', 'мαηgσ', 'Supportdeconfi']",Unrated,,"['Raze', 'Jett', 'Fade', 'Sage', 'Yoru']",339.0,1,0,2,5,1,1787779667,"Wednesday, August 26, 2026 09:27 PM"
53e1ca4a-3207-47bb-8ffe-a9da693a16cf,Johni,Haven,Competitive,Omen,Controlador,24,7,11,18,"['96PuChItO96', 'Tatuga7', 'elseguraaa', 'Elpelupsa']",Silver,2.0,"['Fade', 'Omen', 'Cypher', 'Reyna', 'Jett']",346.278,3,0,3,13,5,1787773602,"Wednesday, August 26, 2026 07:46 PM"
fc1dc743-63b3-4b15-97ed-55f7d90e2b6f,Johni,Abyss,Competitive,Jett,Duelista,24,4,12,18,"['Barrexat', 'PewPew', 'Gso902', 'Tatuga7']",Silver,2.0,"['Veto', 'Harbor', 'Jett', 'Sova', 'Raze']",341.3,4,2,1,13,7,1787852888,"Thursday, August 27, 2026 05:48 PM"
fa75fa47-c215-48b8-9fca-514805dfbc54,Johni,Sunset,Competitive,Neon,Duelista,23,2,17,16,"['iimvenuss', 'calamar baltasar', 'Tatuga7', 'Adrilary']",Silver,2.0,"['Sage', 'Neon', 'Tejo', 'Raze', 'Clove']",271.167,4,1,0,11,13,1787850042,"Thursday, August 27, 2026 05:00 PM"
