id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
9ba336c9-28f5-42cd-bb9d-1bbe5aa3b36a,KayFlock,Split,Competitive,Reyna,Duelista,24,0,19,19,"['zepo', 'Thomas Seymour', 'trivi', 'nessabarrett']",Platinum,2.0,"['Omen', 'Reyna', 'Raze', 'Breach', 'Sage']",314.5,2,4,0,7,13,1786061596,"Friday, August 07, 2026 12:13 AM"
e9240ace-bd50-420f-bbd9-ef2b7e1d5965,KayFlock,Sunset,Competitive,Raze,Duelista,19,5,12,17,"['nessabarrett', 'MePegoElPing', 'PayoPoni69', 'RECOVER']",Platinum,2.0,"['Killjoy', 'Clove', 'Raze', 'Jett', 'Reyna']",306.421,3,4,1,13,6,1786059522,"Thursday, August 06, 2026 11:38 PM"
081d1cdd-b9e9-44bc-8879-094066414138,KayFlock,Summit,Competitive,Reyna,Duelista,26,3,14,20,"['peakplatino3', 'The Messiah', 'PayoPoni69', 'manolito']",Platinum,2.0,"['Fade', 'Omen', 'Reyna', 'Jett', 'Deadlock']",390.158,5,3,2,13,6,1785892048,"Wednesday, August 05, 2026 01:07 AM"
b2ee32c9-f418-4f9c-9235-c78d22c31106,KayFlock,Haven,Competitive,Reyna,Duelista,38,6,20,32,"['savitch', 'nessabarrett', 'RubiasOnTop', 'TecladoRoto']",Platinum,2.0,"['Clove', 'Sage', 'Sova', 'Chamber', 'Reyna']",530.455,11,0,0,9,13,1785889682,"Wednesday, August 05, 2026 12:28 AM"
21ca370a-57f3-4ba9-8e06-4386ca224275,KayFlock,Split,Competitive,Reyna,Duelista,18,3,15,20,"['Roronoa Zoro', 'pan con atún', 'nessabarrett', 'Orragicisdeadbye']",Platinum,2.0,"['Clove', 'Sage', 'Reyna', 'Neon', 'KAY/O']",384.0,1,1,0,2,13,1785887803,"Tuesday, August 04, 2026 11:56 PM"
6ae5361b-392a-4572-9975-8d32c2214afb,KayFlock,Split,Competitive,Clove,Controlador,19,6,15,13,"['CaraChopeLuzi', 'asiersexi222', 'GoldenKirk', 'LeonorTuguinha91']",Platinum,2.0,"['Sage', 'Jett', 'Clove', 'Fade', 'Reyna']",297.667,2,1,1,13,5,1788064810,"Sunday, August 30, 2026 04:40 AM"
0be7bc3c-9b7b-4621-b497-93e59ec00ce9,KayFlock,Summit,Competitive,Clove,Controlador,39,6,20,35,"['nikitatmch', 'Hasbulla father', 'StarOX143', 'asiersexi222']",Platinum,2.0,"['Chamber', 'Clove', 'Iso', 'Breach', 'Jett']",443.654,4,0,2,14,12,1788062027,"Sunday, August 30, 2026 03:53 AM"
5d2613e6-252f-43a2-a573-b81b30a1fa36,KayFlock,Lotus,Competitive,Clove,Controlador,24,2,19,23,"['pilili', 'CROQUETADEJAMON', 'macarradeyechas', 'asiersexi222']",Platinum,2.0,"['KAY/O', 'Phoenix', 'Clove', 'Sage', 'Raze']",330.952,3,2,0,8,13,1788059077,"Sunday, August 30, 2026 03:04 AM"
47083929-5ff4-4f97-9059-63152e92219f,KayFlock,Abyss,Competitive,Reyna,Duelista,12,4,17,15,"['Since7 ツ', 'asiersexi222', 'Gonc', 'macarradeyechas']",Unrated,,"['Chamber', 'Jett', 'Reyna', 'Clove', 'Skye']",224.889,2,1,0,5,13,1788057233,"Sunday, August 30, 2026 02:33 AM"
3bd50569-d897-4b85-9615-ebedd32ff38c,KayFlock,Ascent,Competitive,Clove,Controlador,28,12,25,25,"['Karlo187', 'macarradeyechas', 'asiersexi222', 'LKHAL3A']",Platinum,3.0,"['Brimstone', 'Clove', 'Reyna', 'Jett', 'KAY/O']",341.615,6,1,0,12,14,1788315225,"Wednesday, September 02, 2026 02:13 AM"
4810e3eb-30f4-4606-a112-0ab14c68cd9a,KayFlock,Sunset,Competitive,Clove,Controlador,32,8,13,31,"['goldvald', 'macarradeyechas', 'kalipiin', 'asiersexi222']",Platinum,2.0,"['Veto', 'Gekko', 'Clove', 'Neon', 'Jett']",462.053,1,1,1,13,6,1788313473,"Wednesday, September 02, 2026 01:44 AM"
fe67a1eb-031a-4d3c-b199-bb343ac4ca61,KayFlock,Ascent,Competitive,Reyna,Duelista,30,4,13,27,"['asiersexi222', 'Joselion', 'FranPro3322', 'macarradeyechas']",Platinum,3.0,"['Jett', 'Astra', 'Cypher', 'Breach', 'Reyna']",410.81,5,3,1,13,8,1788663869,"Sunday, September 06, 2026 03:04 AM"
4f3f6eaa-ff65-4af4-8280-6f4282605e0b,KayFlock,Haven,Competitive,Jett,Duelista,16,2,12,15,"['macarradeyechas', 'asiersexi222', 'urbigdaddy', 'AMANSA']",Platinum,3.0,"['Cypher', 'Chamber', 'Jett', 'Clove', 'Gekko']",265.412,6,1,2,13,4,1788662147,"Sunday, September 06, 2026 02:35 AM"
17f3c165-3306-416f-a631-7554ef6f3b6b,KayFlock,Summit,Competitive,Reyna,Duelista,33,3,17,29,"['macarradeyechas', 'zMark', 'asiersexi222', 'WEYF7TTV']",Platinum,3.0,"['Gekko', 'Reyna', 'Sage', 'Jett', 'Clove']",414.0,4,2,1,13,9,1788996147,"Wednesday, September 09, 2026 11:22 PM"
07d8b0db-1c0d-4d0a-ae66-110e20bcece1,KayFlock,Summit,Competitive,Reyna,Duelista,22,2,13,20,"['Algernon', 'asiersexi222', 'macarradeyechas', 'rauullb']",Platinum,3.0,"['Sage', 'Jett', 'Clove', 'Chamber', 'Reyna']",332.158,5,3,2,13,6,1788987933,"Wednesday, September 09, 2026 09:05 PM"
