id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
14092f1d-ae23-47f3-a352-0e2f6ee08dd9,LefazoAstral,Sunset,Competitive,Clove,Controlador,11,3,19,10,"['avocado', 'CUCAA', 'xHx49', 'Magikarp']",Diamond,2.0,"['Jett', 'Clove', 'Sova', 'Sage', 'Phoenix']",178.0,4,4,0,5,13,1787527018,"Sunday, August 23, 2026 11:16 PM"
cf8a1248-ffd5-4365-9ca4-8f2e40082e56,LefazoAstral,Haven,Competitive,Clove,Controlador,21,8,21,18,"['CUCAA', 'Tr0mpaDeuS', 'Gauss Jordan', 'HollowWhiitezz乂']",Diamond,2.0,"['Sova', 'Cypher', 'Phoenix', 'Jett', 'Clove']",261.5,3,3,0,12,14,1787524439,"Sunday, August 23, 2026 10:33 PM"
57ab40a3-2040-46eb-be7b-aaf809d53c9a,LefazoAstral,Piazza,Team Deathmatch,Reyna,Duelista,23,1,18,18,"['404so', 'SabakunoGaara666', 'CUCAA', 'jix']",Unrated,,"['Phoenix', 'Iso', 'Reyna', 'Neon', 'Raze']",6014.0,0,0,0,67,100,1787523874,"Sunday, August 23, 2026 10:24 PM"
9b48c4b5-83a6-4c84-b3b6-42e9bbca9bb4,LefazoAstral,Abyss,Competitive,Jett,Duelista,19,6,15,12,"['DonDonfiiii', 'CUCAA', 'ShadowPeek', 'offcoast']",Diamond,2.0,"['Deadlock', 'Sova', 'Phoenix', 'Jett', 'Astra']",249.364,3,1,0,9,13,1787509839,"Sunday, August 23, 2026 06:30 PM"
008e680b-0a18-404e-a698-8fe2983d97a4,LefazoAstral,Lotus,Competitive,Jett,Duelista,30,4,14,21,"['SKYMED', 'CUCAA', 'Panchas Enjoyer', 'Livaï']",Diamond,2.0,"['Omen', 'Chamber', 'Gekko', 'Reyna', 'Jett']",372.182,4,0,1,13,9,1787507575,"Sunday, August 23, 2026 05:52 PM"
f311d160-8169-4f2a-9627-8bf6a39e4f63,LefazoAstral,Ascent,Competitive,Clove,Controlador,11,5,10,8,"['cursed Shay', 'MANYU', 'wops', 'LefazoCósmico']",Diamond,1.0,"['Jett', 'Sova', 'Clove', 'Omen', 'Killjoy']",187.5,1,0,1,13,3,1787596709,"Monday, August 24, 2026 06:38 PM"
286aba88-f96d-4f99-88f5-2297b7f613f5,LefazoAstral,Lotus,Competitive,Jett,Duelista,15,1,18,10,"['G0TER4', 'Яykko', 'noni', 'LefazoCósmico']",Diamond,1.0,"['Fade', 'Jett', 'Raze', 'Brimstone', 'Chamber']",208.273,3,3,0,9,13,1787593871,"Monday, August 24, 2026 05:51 PM"
77c6f84f-c386-496b-a74d-4a7c1f39fc89,LefazoAstral,Kasbah,Team Deathmatch,Iso,Duelista,25,7,20,19,"['Astrexel', '選ばれし者', 'Upsiii', 'Drizzy']",Unrated,,"['Phoenix', 'Iso', 'Jett', 'Sage', 'Reyna']",6780.0,0,0,0,94,100,1787673556,"Tuesday, August 25, 2026 03:59 PM"
992e7582-f266-43fd-b2fa-d8056e42d287,LefazoAstral,Abyss,Competitive,Clove,Controlador,12,7,21,10,"['LefazoCósmico', 'CUCAA', 'Ñixwell', 'JotaP']",Diamond,1.0,"['Clove', 'Vyse', 'Sova', 'Waylay', 'Iso']",179.636,3,1,1,13,9,1787670872,"Tuesday, August 25, 2026 03:14 PM"
35beb8a6-6823-4784-a5bb-13ded1b3b999,LefazoAstral,Haven,Competitive,Skye,Iniciador,12,4,14,8,"['LefazoCósmico', 'CUCAA', 'XDELGADO7', 'Μέγας Αλέξανδρο']",Diamond,1.0,"['Skye', 'Jett', 'Chamber', 'Omen', 'Phoenix']",163.333,1,0,0,5,13,1787668916,"Tuesday, August 25, 2026 02:41 PM"
