id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
c838f9a6-e7e6-4615-8130-ca992a63e465,Megueñete,Ascent,Competitive,Waylay,Duelista,19,4,12,11,"['Pechoabierto', 'renizerra', 'lovers bier', 'Sayto']",Ascendant,2.0,"['Sova', 'Clove', 'Chamber', 'Waylay', 'Iso']",240.571,2,2,1,13,8,,
af3e73cf-fd7f-4c1f-a175-f21da1e0e66c,Megueñete,Breeze,Competitive,Chamber,Centinela,20,2,13,10,"['Bensaa', 'Nomade', 'Isi Palazón', 'Pechoabierto']",Ascendant,2.0,"['Skye', 'Clove', 'Phoenix', 'Jett', 'Chamber']",274.421,3,1,2,13,6,,
73c3d1f4-6278-40ae-be47-acbbdebec122,Megueñete,Haven,Competitive,Chamber,Centinela,20,2,8,10,"['saraasx', 'Pechoabierto', 'JustOption', 'phantom abuser']",Ascendant,2.0,"['Miks', 'Chamber', 'Phoenix', 'Reyna', 'Skye']",308.176,3,1,3,13,4,,
960c5673-a61f-4071-a32c-7ee61a63a429,Megueñete,Lotus,Competitive,Omen,Controlador,16,5,7,16,"['zZ2000', 'Pechoabierto', 'Diiego', 'cazagatas23']",Ascendant,2.0,"['Fade', 'Omen', 'Reyna', 'Chamber', 'Raze']",266.294,3,1,4,13,4,,
7b3c4fed-a3f3-4baa-9167-479e1f0f0ed1,Megueñete,Pearl,Competitive,Chamber,Centinela,19,6,20,7,"['Albert8', 'King alexツ', 'mvp mariona fuse', 'HAAAAAY Gregoria']",Ascendant,2.0,"['Chamber', 'Jett', 'Miks', 'Phoenix', 'Tejo']",219.7,4,6,5,16,14,,
37dfd5ef-db86-448d-89d9-6fd22e1853f1,Megueñete,Haven,Competitive,Chamber,Centinela,20,1,17,11,"['CaesarJ', 'Skynowei', 'IvW', 'Marcito0']",Ascendant,3.0,"['Sova', 'Clove', 'Chamber', 'Jett', 'Raze']",247.409,3,1,0,9,13,1782139299.0,"Monday, June 22, 2026 02:41 PM"
0298f99d-7405-4421-845c-54aa1baa1b51,Megueñete,Pearl,Competitive,Chamber,Centinela,19,3,15,11,"['ＮＥＦＡＲＩＯＵＳ 1907', 'Kramber461', 'Anubas Evil', 'srмокко']",Ascendant,3.0,"['Astra', 'Jett', 'Raze', 'Chamber', 'Fade']",237.714,2,2,1,13,8,1782204728.0,"Tuesday, June 23, 2026 08:52 AM"
39db9025-2ae4-4045-b98e-6892a2df85f7,Megueñete,Haven,Competitive,Chamber,Centinela,5,3,15,3,"['El rey del pozo', 'Pechoabierto', 'TexasTheOmertosa', 'クワックス']",Unrated,,"['Chamber', 'Reyna', 'Phoenix', 'Omen', 'Sova']",138.467,1,4,0,2,13,1782601744.0,"Saturday, June 27, 2026 11:09 PM"
29f61e0c-d0c3-45c1-880a-7a2de2739cec,Megueñete,Lotus,Competitive,Omen,Controlador,16,13,12,15,"['Pechoabierto', 'karmaken', 'Xyuzya', 'El rey del pozo']",Unrated,,"['Jett', 'Skye', 'Chamber', 'Omen', 'Raze']",222.762,1,1,1,13,8,1782598557.0,"Saturday, June 27, 2026 10:15 PM"
b8badccb-a39b-40d1-be55-b7384004a207,Megueñete,Breeze,Competitive,Viper,Controlador,13,4,16,10,"['Jalome', 'Yotta', 'Rigby', 'gimeniko11']",Unrated,,"['Yoru', 'Reyna', 'Chamber', 'Viper', 'Sova']",155.826,2,3,0,10,13,1783012012.0,"Thursday, July 02, 2026 05:06 PM"
dfdb38f0-916d-4cd5-a1a8-7118586b9663,Megueñete,Summit,Competitive,Omen,Controlador,16,5,16,14,"['Pittbull', 'MrBlackBear', 'kotaz', 'Jamon Iberico ツ']",Unrated,,"['Chamber', 'Fade', 'Omen', 'Jett', 'Phoenix']",201.792,4,3,0,11,13,1783009376.0,"Thursday, July 02, 2026 04:22 PM"
c5fbeff0-08f4-4b81-9ea3-2e26c26e70e6,Megueñete,Ascent,Competitive,Chamber,Centinela,17,2,18,12,"['яosadou εïз', 'King Nasir', 'studio addict', 'TH hugzz7']",Unrated,,"['Chamber', 'Sova', 'Omen', 'Reyna', 'Jett']",202.417,4,1,1,13,11,1783105330.0,"Friday, July 03, 2026 07:02 PM"
07e7ff53-59e5-4ddc-9d29-f099e4bddd13,Megueñete,Ascent,Competitive,Chamber,Centinela,17,3,18,11,"['adruko222', 'トライハード', 'CHENCHØ', 'Freezapatero']",Unrated,,"['Sage', 'Jett', 'Chamber', 'Clove', 'Gekko']",226.087,4,3,0,10,13,1790286987.0,"Thursday, September 24, 2026 09:56 PM"
