id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
bcab5b84-1d37-43fe-b0f3-319d8e9ecc6f,Nyro,Lotus,Competitive,Clove,Controlador,24,12,21,8,"['Jende36', 'abdellah', 'KOI white', 'GaboozXx']",Unrated,,"['Sage', 'Sova', 'Jett', 'Clove', 'Chamber']",239.3,1,1,0,14,16,1787528160,"Sunday, August 23, 2026 11:36 PM"
94281667-7dfc-4fdd-9b45-ae64a9bc635c,Nyro,Sunset,Competitive,Clove,Controlador,13,9,16,3,"['xexu', 'massynyxen', 'teletubo', 'BoothillSinAim']",Unrated,,"['Sage', 'Clove', 'Reyna', 'Miks', 'Skye']",234.889,5,2,1,13,5,1787525930,"Sunday, August 23, 2026 10:58 PM"
8f81b0fd-779a-4658-bf48-6a66ff2c4820,Nyro,Haven,Competitive,Clove,Controlador,17,3,16,6,"['Rara6h', 'Zénith01', 'Shiru000', 'layzix']",Unrated,,"['Reyna', 'Clove', 'Fade', 'Sage', 'Jett']",261.556,0,2,2,13,5,1787519489,"Sunday, August 23, 2026 09:11 PM"
09b9f194-baa3-4830-878d-deba0e1fb37e,Nyro,Ascent,Competitive,Clove,Controlador,6,5,19,2,"['Compos03', 'eggspain', 'TotheMoon99', 'NENICHICO']",Unrated,,"['Chamber', 'Raze', 'Fade', 'Jett', 'Clove']",121.412,1,0,0,4,13,1787431833,"Saturday, August 22, 2026 08:50 PM"
8844bf16-0478-44cf-a82f-7fb61bccfde1,Nyro,Sunset,Competitive,Clove,Controlador,8,6,22,3,"['Mrti', 'Clarinete', 'Ego Destroyer', 'elmechas']",Unrated,,"['Phoenix', 'Fade', 'Clove', 'Chamber', 'Neon']",135.783,3,4,0,10,13,1787429628,"Saturday, August 22, 2026 08:13 PM"
5f2d1ebf-8227-4474-a6b2-80b998df12eb,Nyro,Ascent,Competitive,Clove,Controlador,13,3,16,3,"['jatrucapeluca', 'KANYE WEST', 'Cherbachenko04', 'raul becas psoe']",Iron,3.0,"['Fade', 'Killjoy', 'Reyna', 'Yoru', 'Clove']",199.833,1,3,0,5,13,1787599928,"Monday, August 24, 2026 07:32 PM"
f4868bf1-2d26-4286-9643-9425022c0e41,Nyro,Lotus,Competitive,Clove,Controlador,11,5,14,4,"['Diggi007', 'Imperio Otomano', 'hjgcfhj', 'Yijie32']",Iron,3.0,"['Vyse', 'KAY/O', 'Miks', 'Clove', 'Raze']",208.438,3,2,0,3,13,1787682952,"Tuesday, August 25, 2026 06:35 PM"
556d8a74-0289-4a6e-afb0-8d8d683fa017,Nyro,Abyss,Competitive,Clove,Controlador,12,3,11,5,"['Fateh', '影SoiNiko影ッ', 'i Miss her', 'Charlie3742']",Iron,3.0,"['Phoenix', 'Clove', 'Sage', 'Reyna', 'Cypher']",192.222,2,1,1,13,5,1787752791,"Wednesday, August 26, 2026 01:59 PM"
3c46d827-6251-4033-90db-d35f773e7259,Nyro,Sunset,Competitive,Clove,Controlador,12,10,26,9,"['Enax', 'Milanesakaka', 'Standtrooper350', 'MrXony']",Iron,3.0,"['Reyna', 'Clove', 'Phoenix', 'Skye', 'Killjoy']",177.783,2,7,1,13,10,1787768542,"Wednesday, August 26, 2026 06:22 PM"
1f0cc570-f88b-4a00-aaed-70787d2ab386,Nyro,Abyss,Competitive,Chamber,Centinela,24,6,23,10,"['tuabuelo com', 'SirVarg', 'pablodyssey', 'danilangosta1234']",Iron,3.0,"['Breach', 'Omen', 'Chamber', 'Miks', 'Neon']",225.833,0,3,0,14,16,1787764952,"Wednesday, August 26, 2026 05:22 PM"
2a603423-47e2-4586-9a6d-155fe75fdef6,Nyro,Summit,Competitive,Clove,Controlador,15,6,21,1,"['SandraF', 'Turiba', 'Itz Dead', 'ismabm']",Iron,3.0,"['Sage', 'Miks', 'Chamber', 'Neon', 'Clove']",182.708,1,1,1,13,11,1787855363,"Thursday, August 27, 2026 06:29 PM"
1ed5d3a6-1e0d-48ac-a182-f55cefe56d45,Nyro,Sunset,Competitive,Clove,Controlador,15,7,20,4,"['BadHorny', 'manzana123', 'Nightwing', 'vmoorf']",Iron,3.0,"['Fade', 'Clove', 'Sage', 'Yoru', 'Chamber']",222.65,0,3,0,7,13,1787851545,"Thursday, August 27, 2026 05:25 PM"
