id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
7c6be9cf-ef14-45e9-b656-706d967c9f7d,Pechoabierto,Corrode,Swiftplay,Waylay,Duelista,8,0,4,8,"['Okey', '怠け者の王様', 'OTK arce', 'ŁunatiCatrina']",Unrated,,"['Jett', 'Fade', 'Vyse', 'Clove', 'Waylay']",304.429,0,2,1,5,2,1787138806,"Wednesday, August 19, 2026 11:26 AM"
0de6715b-1a2b-4ced-a4fd-e9e787775ab1,Pechoabierto,Ascent,Swiftplay,Jett,Duelista,5,0,5,1,"['BandoBoyz ツ', 'fitas', 'NarcoXd', 'Mikel']",Unrated,,"['Reyna', 'Fade', 'Neon', 'Jett', 'Raze']",217.333,1,0,0,1,5,1787138244,"Wednesday, August 19, 2026 11:17 AM"
3d541326-152e-4227-84a6-c36dc246acff,Pechoabierto,Corrode,Swiftplay,Jett,Duelista,11,1,8,7,"['irenetienep3ne', 'Cheyo', 'Carlitus', '1CM Nómura']",Unrated,,"['Sage', 'Veto', 'Neon', 'Raze', 'Jett']",384.875,4,2,0,3,5,1787137366,"Wednesday, August 19, 2026 11:02 AM"
dfdffff4-cb12-4613-a85a-199c495c0403,Pechoabierto,Ascent,Swiftplay,Jett,Duelista,12,2,6,8,"['DoraExplotadora', 'paulahm', 'Roxas', 'Noahlinksi']",Unrated,,"['Killjoy', 'Jett', 'Clove', 'Viper', 'KAY/O']",439.875,2,2,1,5,3,1787135305,"Wednesday, August 19, 2026 10:28 AM"
a2467815-ba26-4a48-9b05-e4455b94a906,Pechoabierto,Split,Swiftplay,Reyna,Duelista,12,1,3,11,"['SoyminifranGuay', 'Miralles799', 'CapitanTabaco', '7x62mm']",Unrated,,"['Reyna', 'Phoenix', 'Vyse', 'Chamber', 'Neon']",473.714,1,0,2,5,2,1787061333,"Tuesday, August 18, 2026 01:55 PM"
14c86f8b-104b-47db-a0f3-b9aeb94c4046,Pechoabierto,Lotus,Competitive,Raze,Duelista,28,3,16,23,"['matandomorosmlg', 'TetxsdeVainilla', 'AIways Inting', 'RaioMackuin']",Diamond,3.0,"['Vyse', 'Astra', 'Jett', 'Raze', 'Fade']",436.105,5,1,0,6,13,1787784183,"Wednesday, August 26, 2026 10:43 PM"
0b679714-f365-411f-839d-8677171dad80,Pechoabierto,Split,Competitive,Jett,Duelista,33,4,15,26,"['RaioMackuin', 'TetxsdeVainilla', 'matandomorosmlg', 'AIways Inting']",Unrated,,"['Omen', 'Skye', 'Sage', 'Cypher', 'Jett']",478.526,9,2,1,13,6,1787782009,"Wednesday, August 26, 2026 10:06 PM"
9b4cb23f-7854-44c8-be71-b2890d1d56b2,Pechoabierto,Bind,Unrated,Jett,Duelista,24,2,7,14,"['RaioMackuin', 'Knariasoy', 'Mar Y Kon', 'ConcolutedAgent']",Unrated,,"['Jett', 'Phoenix', 'Brimstone', 'Chamber', 'Reyna']",419.867,3,0,1,10,2,1788038341,"Saturday, August 29, 2026 09:19 PM"
bc8a3435-b3cd-4ca5-a3d0-a80351039196,Pechoabierto,Split,Competitive,Reyna,Duelista,21,2,20,18,"['FradeQlon', 'ElBrujo', 'MrJoker', 'MGS']",Diamond,3.0,"['Raze', 'Omen', 'Vyse', 'Skye', 'Reyna']",241.875,5,4,0,11,13,1788789369,"Monday, September 07, 2026 01:56 PM"
b1aed06f-c175-4faf-b63f-0096a9564209,Pechoabierto,Summit,Competitive,Astra,Controlador,25,4,17,22,"['FradeQlon', 'MrJoker', 'ElBrujo', 'Xrresep11']",Diamond,2.0,"['Waylay', 'Gekko', 'Astra', 'Cypher', 'Chamber']",288.5,2,1,0,9,13,1788798435,"Monday, September 07, 2026 04:27 PM"
b8a9ec3e-f9e1-4415-a7c5-0a25fc297cd1,Pechoabierto,Lotus,Competitive,Reyna,Duelista,18,5,18,12,"['FradeQlon', 'MrJoker', 'Xrresep11', 'ElBrujo']",Diamond,2.0,"['Breach', 'Omen', 'Chamber', 'Reyna', 'Raze']",228.217,2,4,1,13,10,1788795922,"Monday, September 07, 2026 03:45 PM"
6d2b51b0-6425-479e-a9b3-37bf5ba29e11,Pechoabierto,Summit,Competitive,Jett,Duelista,20,3,11,10,"['AriesSoul', 'LΔΡΔ', 'ElBrujo', 'ZaZa']",Diamond,2.0,"['Jett', 'Phoenix', 'KAY/O', 'Cypher', 'Miks']",318.294,5,3,1,13,4,1789129407,"Friday, September 11, 2026 12:23 PM"
71780e53-7810-461c-b528-fb54dbff0649,Pechoabierto,Sunset,Competitive,Omen,Controlador,15,1,17,14,"['EKKO', 'TheLittleRoD', 'Xanxullo', 'ElBrujo']",Diamond,2.0,"['Deadlock', 'Cypher', 'Iso', 'Omen', 'Phoenix']",247.0,4,1,0,6,13,1789127455,"Friday, September 11, 2026 11:50 AM"
b891e9ea-6459-4647-8a3d-2e69e22b1b0b,Pechoabierto,Abyss,Swiftplay,Jett,Duelista,4,1,6,1,"['gaeloch0', 'Tazox9', 'Miralles799', 'CapitanTabaco']",Unrated,,"['Raze', 'Reyna', 'Skye', 'Chamber', 'Jett']",184.5,2,0,0,1,5,1789133608,"Friday, September 11, 2026 01:33 PM"
9e6aeca4-d52e-4793-8b2a-9f052f68c4d9,Pechoabierto,Fracture,Swiftplay,Neon,Duelista,12,2,6,11,"['Miralles799', 'CapitanTabaco', 'IZANAA', 'Washed']",Unrated,,"['Skye', 'Neon', 'Phoenix', 'Reyna', 'Cypher']",341.111,1,1,1,5,4,1789132650,"Friday, September 11, 2026 01:17 PM"
