id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
a715bf56-e7ca-4697-82d0-3b26d1a81e27,Winoniix,Summit,Swiftplay,Miks,Controlador,8,4,4,2,"['Racsog31', 'Aisek', 'Gonzy', 'Apah']",Unrated,,"['KAY/O', 'Gekko', 'Jett', 'Reyna', 'Miks']",280.286,0,0,1,5,2,1787459897,"Sunday, August 23, 2026 04:38 AM"
34fb6626-240e-4d89-ad43-2c9336eea8b6,Winoniix,Sunset,Swiftplay,Miks,Controlador,4,4,5,2,"['como estás', 'Gonzy', 'Lilah', 'MRMadhook']",Unrated,,"['Raze', 'Miks', 'Jett', 'Sage', 'Sova']",188.857,0,2,2,5,2,1787459076,"Sunday, August 23, 2026 04:24 AM"
a0a194c5-6239-41b0-9013-69277edf0811,Winoniix,Pearl,Swiftplay,Miks,Controlador,9,8,4,2,"['kata', 'Lilah', 'Apolex', 'como estás']",Unrated,,"['Jett', 'Miks', 'Neon', 'Deadlock', 'Raze']",388.714,1,0,3,5,2,1787458192,"Sunday, August 23, 2026 04:09 AM"
3650eb4b-13ac-4154-9104-4826f195ce3c,Winoniix,Corrode,Swiftplay,Sage,Centinela,7,0,4,1,"['YGNATSU', 'Bakaomi', 'SneakyLittleFox', 'sky22']",Unrated,,"['Neon', 'Breach', 'Omen', 'Sage', 'Yoru']",277.5,0,1,4,5,1,1787457228,"Sunday, August 23, 2026 03:53 AM"
8cbfb92f-91f7-4329-bbf9-81f46936a6e3,Winoniix,Breeze,Unrated,Sage,Centinela,19,10,14,3,"['BrugalFanta', 'EloahTrix', 'complechari', 'LuckyMentolao']",Unrated,,"['Raze', 'Sage', 'Clove', 'KAY/O', 'Chamber']",205.833,1,0,0,11,13,1787599707,"Monday, August 24, 2026 07:28 PM"
9d477970-5a10-43f0-82cf-772ec69f278f,Winoniix,Ascent,Unrated,Killjoy,Centinela,9,4,15,4,"['Pepitocador', 'LockedJamon', 'Jesuschancla', 'MammaCracker']",Unrated,,"['Omen', 'Breach', 'Raze', 'Killjoy', 'Neon']",164.111,2,1,0,5,13,1787597859,"Monday, August 24, 2026 06:57 PM"
84aa7356-8974-45ae-b18f-82c9dd3f9b10,Winoniix,Bind,Unrated,Gekko,Iniciador,8,7,7,2,"['lactating kirk', 'Loki Laufeyson', 'Marin0Put3r0', 'ChikenCreisi']",Unrated,,"['Gekko', 'Yoru', 'Clove', 'Chamber', 'Reyna']",159.667,0,1,1,13,2,1787763186,"Wednesday, August 26, 2026 04:53 PM"
be227fcb-c69a-4fc7-b198-344323616444,Winoniix,Lotus,Unrated,Sage,Centinela,12,11,8,4,"['Anubis', 'ShisaDeLasNubes', 'TheRealChefツ', 'Zepharion']",Unrated,,"['Chamber', 'Omen', 'Miks', 'Sage', 'Veto']",158.944,1,1,1,13,5,1787775032,"Wednesday, August 26, 2026 08:10 PM"
f7aca2ea-4af7-4780-abf7-02a474085607,Winoniix,Abyss,Swiftplay,Sage,Centinela,5,1,7,5,"['manchado2007PROO', 'kohaku', 'Ruffles de jamon', 'Cold m1nd dem0n']",Unrated,,"['Sage', 'Phoenix', 'Omen', 'Chamber', 'Reyna']",209.0,1,0,0,2,5,1787764883,"Wednesday, August 26, 2026 05:21 PM"
7ba85a81-a847-403b-84c5-a7075ffd60c4,Winoniix,Pearl,Unrated,Sage,Centinela,18,10,12,5,"['paketemaaaaaaaan', 'Varoufakis1', 'Chicoto', 'Vitolop17']",Unrated,,"['Phoenix', 'Sage', 'Sova', 'Astra', 'KAY/O']",277.167,2,1,1,13,5,1787957390,"Friday, August 28, 2026 10:49 PM"
d57deafe-d199-49c9-8504-915693442975,Winoniix,Abyss,Unrated,Miks,Controlador,4,1,9,3,"['luca', 'Cabra Espartana', 'Polter', 'Moiteo']",Unrated,,"['Sova', 'Reyna', 'Cypher', 'Miks', 'Sage']",94.067,1,0,0,2,7,1787953722,"Friday, August 28, 2026 09:48 PM"
2a8e734c-66d0-422a-bd6f-cd0d2ee90415,Winoniix,Icebox,Unrated,Fade,Iniciador,11,5,11,7,"['LEPOULETPEPÉ', 'ABASARiii', 'ladaya zawjatun', 'Yuzuki']",Unrated,,"['Veto', 'Fade', 'Miks', 'Sage', 'Reyna']",180.7,1,1,1,13,7,1788025758,"Saturday, August 29, 2026 05:49 PM"
2651e606-67a0-4df0-ad1d-342d5bbc6d13,Winoniix,Sunset,Swiftplay,Deadlock,Centinela,10,0,2,7,"['mohamed8', 'Panadero peruano', 'torrrrres', 'oussama']",Unrated,,"['Reyna', 'Gekko', 'Clove', 'Deadlock', 'Miks']",394.667,0,0,1,5,1,1788050173,"Sunday, August 30, 2026 12:36 AM"
46135a4d-7d30-480a-a698-8291ac21115a,Winoniix,Bind,Swiftplay,Killjoy,Centinela,9,3,3,4,"['BlameThePing', 'ادم', 'Billy crawford', 'saad']",Unrated,,"['Jett', 'Raze', 'Killjoy', 'Cypher', 'Brimstone']",437.0,1,0,1,5,1,1788117458,"Sunday, August 30, 2026 07:17 PM"
843d06ec-e938-4a4f-94b6-246079c5fd8d,Winoniix,Summit,Swiftplay,Miks,Controlador,4,7,3,2,"['winxclub4ever09', 'Amy Winehouse', 'Kirer', 'MoηkeyĐMαrια']",Unrated,,"['Reyna', 'Clove', 'Omen', 'Sage', 'Miks']",239.833,1,0,1,5,1,1788119837,"Sunday, August 30, 2026 07:57 PM"
6dc49696-f233-45c1-b875-151726996f7c,Winoniix,Breeze,Unrated,Sage,Centinela,11,6,10,7,"['NiLyUz', 'Tigz', 'I Miss The L', 'JeepGrandCher']",Unrated,,"['Reyna', 'Breach', 'Jett', 'Sage', 'Chamber']",195.944,2,0,2,8,5,1788118295,"Sunday, August 30, 2026 07:31 PM"
d7329c62-3ee5-48fb-a6b4-222656db3c2a,Winoniix,Summit,Competitive,Miks,Controlador,12,17,12,4,"['Nuriko', 'Skaffatar', 'Mugito', 'WolfArtico']",Unrated,,"['Sage', 'Reyna', 'Miks', 'Skye', 'Brimstone']",194.905,4,0,1,13,8,1788211389,"Monday, August 31, 2026 09:23 PM"
