id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
01475b1b-00ba-426b-921d-99b46dbccf03,Zokren,Haven,Competitive,Chamber,Centinela,14,5,10,13,"['manu ツ', 'Vikinga', 'skibidisigma', 'I love Mercè']",Gold,2.0,"['Chamber', 'Brimstone', 'Skye', 'Jett', 'Phoenix']",258.25,3,1,1,13,3,1787359685,"Saturday, August 22, 2026 12:48 AM"
7df844b2-bdc5-4416-8ecb-5b9732541839,Zokren,Ascent,Competitive,Chamber,Centinela,21,5,20,13,"['manu ツ', 'fito', '3R3N', 'Vikinga']",Gold,2.0,"['Brimstone', 'Phoenix', 'Neon', 'Breach', 'Chamber']",202.214,5,3,2,15,13,1787355405,"Friday, August 21, 2026 11:36 PM"
60b1269c-5b83-47ac-b97c-fb8066aa3c89,Zokren,Lotus,Competitive,Chamber,Centinela,11,1,12,7,"['SanatilaBBYツ', 'skibidisigma', 'manu ツ', 'AndreaBBYツ']",Unrated,,"['Reyna', 'Raze', 'Brimstone', 'Fade', 'Chamber']",153.381,0,1,3,13,8,1787187122,"Thursday, August 20, 2026 12:52 AM"
35a91eba-7a8d-45e5-843c-8c253321ab1e,Zokren,Breeze,Competitive,KAY/O,Iniciador,5,0,14,4,"['Nagi', 'メERIIKメ', 'AdrianRC', 'manolito']",Gold,2.0,"['Chamber', 'Viper', 'KAY/O', 'Raze', 'Phoenix']",96.857,0,3,0,1,13,1786124055,"Friday, August 07, 2026 05:34 PM"
15092b33-aaca-4da0-8ca0-e2ebd09a71c1,Zokren,Split,Competitive,Chamber,Centinela,10,0,17,5,"['skibidisigma', 'Shogun', 'looree', 'manu ツ']",Gold,2.0,"['Jett', 'Skye', 'Chamber', 'Sage', 'Brimstone']",183.706,1,2,0,4,13,1787674156,"Tuesday, August 25, 2026 04:09 PM"
8bbb78cd-dc1f-4cdb-a290-b65f714a7539,Zokren,Ascent,Competitive,Chamber,Centinela,22,1,17,15,"['manu ツ', 'Vikinga', 'skibidisigma', 'Vito Praim']",Gold,2.0,"['Brimstone', 'Killjoy', 'Jett', 'Gekko', 'Chamber']",250.042,0,2,0,11,13,1787669879,"Tuesday, August 25, 2026 02:57 PM"
2f1da025-bd7c-4bb6-a6d8-44f9567614ab,Zokren,Summit,Competitive,Chamber,Centinela,13,4,12,7,"['manu ツ', 'I love Mercè', 'Vikinga', 'skibidisigma']",Gold,2.0,"['Chamber', 'Sage', 'Raze', 'Skye', 'Clove']",171.158,1,2,1,13,6,1787667011,"Tuesday, August 25, 2026 02:10 PM"
5584b1c6-2af0-4291-8f13-cfc8ecbc246a,Zokren,Haven,Competitive,Chamber,Centinela,25,1,13,9,"['napytok', 'xama091', 'Vikinga', 'neverendingdeath']",Gold,2.0,"['Neon', 'Cypher', 'Skye', 'Chamber', 'Clove']",313.409,1,2,1,13,9,1788189268,"Monday, August 31, 2026 03:14 PM"
39c41c7f-24f9-4db9-8cfc-0a994c762b3c,Zokren,Summit,Competitive,Chamber,Centinela,15,5,20,10,"['srfswtgrwet', 'alf0', 'prietsss11', 'Vikinga']",Gold,2.0,"['Chamber', 'Phoenix', 'Clove', 'Sage', 'Breach']",150.567,1,7,2,16,14,1788185402,"Monday, August 31, 2026 02:10 PM"
888661ad-bf49-4376-8e4b-0ac37015970f,Zokren,Sunset,Competitive,Chamber,Centinela,21,9,17,12,"['snorkito', 'carlosfoosid', '1xsniper', 'manu ツ']",Gold,2.0,"['Clove', 'Sova', 'Reyna', 'Sage', 'Chamber']",259.696,4,3,1,13,10,1789136771,"Friday, September 11, 2026 02:26 PM"
aa28e1b0-bdd7-4500-9a40-bdfdc6621c4a,Zokren,Ascent,Competitive,Chamber,Centinela,13,1,14,3,"['rexser20', '鹰0YAKUTS3N鹰', 'xaxty78', 'manu ツ']",Gold,2.0,"['KAY/O', 'Reyna', 'Chamber', 'Jett', 'Brimstone']",236.667,0,2,0,2,13,1789135180,"Friday, September 11, 2026 01:59 PM"
