id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
f9907ded-aa9c-4e62-822d-1ac701a5d4f7,jsl75092,Split,Competitive,Skye,Iniciador,27,3,15,18,"['Pachichi', 'mohamdd', 'meeessi', 'Wakana Gojo']",Platinum,1.0,"['Chamber', 'Reyna', 'Jett', 'Skye', 'Omen']",288.958,3,1,0,11,13,,
0c6e5b73-61ae-4ae1-b1d9-82935ef55eaa,jsl75092,Fracture,Competitive,Brimstone,Controlador,14,9,12,10,"['Dylan', 'Kevin', 'kiks le dealer', 'Panda']",Platinum,1.0,"['Brimstone', 'Jett', 'Sage', 'Reyna', 'Fade']",224.882,2,2,1,13,4,,
d0fa2f08-5889-4e03-90d0-558c96b6a33c,jsl75092,Ascent,Competitive,Miks,Controlador,10,17,19,5,"['Fraise', 'Melo', 'Shewann', 'pafmouillé']",Platinum,1.0,"['Killjoy', 'Sova', 'Phoenix', 'Reyna', 'Miks']",143.565,3,0,2,13,10,,
e1834417-692b-4e00-aa20-847d66972f30,jsl75092,Split,Competitive,Killjoy,Centinela,16,5,16,16,"['Le DUC', 'reveriedotcom', 'Madara', 'DOX FALCON']",Platinum,1.0,"['Jett', 'Miks', 'Reyna', 'Killjoy', 'Breach']",235.3,1,0,0,7,13,,
0316ff1a-08cf-4359-9643-039fb8060b22,jsl75092,Haven,Competitive,Phoenix,Duelista,18,3,10,14,"['1PrOZz', 'yougone', 'ALEXON9', 'Camoro']",Platinum,1.0,"['KAY/O', 'Clove', 'Phoenix', 'Jett', 'Cypher']",236.579,5,4,1,13,6,,
82c1bcfa-734f-45a5-b2d2-a0992c9ea9db,jsl75092,Pearl,Competitive,Brimstone,Controlador,17,10,20,13,"['axvl', 'ALTER F4', 'JTBendouceur11', 'Soàh']",Platinum,1.0,"['Brimstone', 'Reyna', 'Cypher', 'Breach', 'Waylay']",191.0,2,5,0,12,14,1781219957.0,"Thursday, June 11, 2026 11:19 PM"
96eb73b1-c508-46c4-b716-ec7bd5e1c381,jsl75092,Breeze,Competitive,Gekko,Iniciador,11,7,16,10,"['Ichiro 一郎', 'jsuis pas un bdg', 'Broom', 'xcenvo']",Platinum,1.0,"['Miks', 'Chamber', 'Gekko', 'Jett', 'Raze']",138.261,0,2,1,13,10,1781217215.0,"Thursday, June 11, 2026 10:33 PM"
6e4dc400-eaca-4f0b-a87d-113721f38f7f,jsl75092,Ascent,Competitive,Fade,Iniciador,29,3,19,24,"['Aokiji', 'Lyfer', 'Deadcolor', 'Totosh']",Platinum,1.0,"['Phoenix', 'Jett', 'Miks', 'Fade', 'Sage']",276.286,3,2,2,15,13,1781210448.0,"Thursday, June 11, 2026 08:40 PM"
bca28f22-ea73-418e-80e8-3796fcc4e226,jsl75092,Glitch,Team Deathmatch,Reyna,Duelista,11,3,19,10,"['ren ben', 'I miss them', 'kc kiffeur2elsie', 'Naimanir']",Unrated,,"['Raze', 'Skye', 'Jett', 'Reyna', 'Chamber']",3412.0,0,0,0,68,100,1781209431.0,"Thursday, June 11, 2026 08:23 PM"
8f3600f0-6804-4d62-934d-b79367054f65,jsl75092,Fracture,Competitive,Fade,Iniciador,18,3,14,20,"['Malibeullule', 'Gereur2Egirll', 'Elle me manque', 'Psycause28']",Platinum,1.0,"['Fade', 'Deadlock', 'Viper', 'Phoenix', 'Raze']",276.684,0,1,0,6,13,1781201124.0,"Thursday, June 11, 2026 06:05 PM"
