id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
6b03837d-b79c-4f7d-8df2-3ef8510c6505,peakplatino3,Lotus,Competitive,Phoenix,Duelista,17,6,15,12,"['DanielVgs', 'Dákiti', 'Bad Gyal', 'CarlaConRabo']",Platinum,2.0,"['Chamber', 'Killjoy', 'Jett', 'Miks', 'Phoenix']",243.8,1,5,1,13,7,1787587733,"Monday, August 24, 2026 04:08 PM"
3261dfe1-767c-4712-a0a6-bd0bd79f8e70,peakplatino3,Summit,Competitive,Chamber,Centinela,24,2,18,12,"['G0n', 'PacoFiestas', 'Inafuma y Beben', 'Vaxkezz']",Unrated,,"['Phoenix', 'Waylay', 'Skye', 'Omen', 'Chamber']",245.0,4,1,0,12,14,1787584883,"Monday, August 24, 2026 03:21 PM"
f3ba7969-6ee9-4e9b-8a42-b1d44f4e94f8,peakplatino3,Sunset,Competitive,KAY/O,Iniciador,13,2,11,8,"['Jntyyy', 'BrIneS10', 'TinkyWinky62', 'Sªixx']",Platinum,2.0,"['Reyna', 'Clove', 'Phoenix', 'Chamber', 'KAY/O']",163.05,3,1,1,13,7,1787036124,"Tuesday, August 18, 2026 06:55 AM"
944c3975-9353-445c-be84-0795e1c1546d,peakplatino3,Summit,Competitive,Omen,Controlador,12,7,12,7,"['Stary', 'Emilsito', 'CrazyRaze15', 'Nah id win']",Platinum,2.0,"['Chamber', 'Cypher', 'Omen', 'KAY/O', 'Waylay']",203.294,2,2,2,13,4,1786841466,"Sunday, August 16, 2026 12:51 AM"
cf47b085-9f44-4fde-b630-2a54d74b1a5b,peakplatino3,Split,Competitive,Fade,Iniciador,17,9,17,9,"['Cherasss', 'Ramses II', 'Nhares', 'Zombiee']",Platinum,2.0,"['Chamber', 'Jett', 'Fade', 'Omen', 'Sage']",208.727,2,3,1,13,9,1787669321,"Tuesday, August 25, 2026 02:48 PM"
9878b90a-4833-43b7-b46a-55a1d85f827e,peakplatino3,Haven,Competitive,Omen,Controlador,16,2,15,14,"['JuanDeDios', 'TROYWNZ', 'Diegochoo', 'xiandmgz']",Platinum,3.0,"['Omen', 'Phoenix', 'Chamber', 'Jett', 'Sova']",252.176,1,0,0,4,13,1787736830,"Wednesday, August 26, 2026 09:33 AM"
5c500cc9-d652-4a56-a64f-491c657ac743,peakplatino3,Abyss,Competitive,Chamber,Centinela,27,3,24,7,"['bleis', 'Croqueta', 'Njord Snio', 'DrugsGotMeNumb']",Platinum,3.0,"['Sova', 'Jett', 'Astra', 'Chamber', 'Reyna']",258.867,6,5,1,16,14,1787732963,"Wednesday, August 26, 2026 08:29 AM"
9788e194-9a80-4e70-9697-e766f754614d,peakplatino3,Split,Competitive,Reyna,Duelista,3,0,9,2,"['lain', 'John pork on top', 'amador rivas', 'LΛY S']",Platinum,3.0,"['Deadlock', 'Clove', 'Chamber', 'Reyna', 'Jett']",52.0,1,3,0,5,13,1788119627,"Sunday, August 30, 2026 07:53 PM"
eb416c04-6c61-4bcf-a252-634b855dcbe7,peakplatino3,Sunset,Competitive,Jett,Duelista,0,0,5,0,"['albilla', 'α Vergil Ω', 'rythmm', 'chocapik']",Platinum,3.0,"['Gekko', 'Jett', 'Cypher', 'Clove', 'Phoenix']",8.133,0,2,0,2,13,1789832967,"Saturday, September 19, 2026 03:49 PM"
7d4b132f-b945-4abd-847f-2674eee11d08,peakplatino3,Lotus,Competitive,Jett,Duelista,2,0,7,4,"['ỄηιςhФmシ', '27zz', 'L chocapic ツ', 'Javieeliyo']",Platinum,2.0,"['Breach', 'Jett', 'Sage', 'Astra', 'Chamber']",31.304,2,0,0,10,13,1790297916,"Friday, September 25, 2026 12:58 AM"
