id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
7d390e01-ed09-4353-a592-ed37061f1ad4,rondax,Pearl,Unrated,Veto,Centinela,15,2,13,3,"['angelutrix', 'Dishwasher', 'Aaronnn17', 'Handfetisch']",Unrated,,"['Astra', 'Tejo', 'Neon', 'Veto', 'Raze']",181.591,2,0,1,13,9,,
c9f7da8a-39e0-49dd-9822-aa75d9522606,rondax,Sunset,Unrated,Miks,Controlador,16,11,21,7,"['angelutrix', 'Aaronnn17', 'FireSlayer', 'Finja']",Unrated,,"['Tejo', 'Deadlock', 'Miks', 'Jett', 'Gekko']",175.48,1,1,0,12,13,,
ba3ea1fd-e496-4a77-8bca-910a1f1678ad,rondax,Ascent,Unrated,Gekko,Iniciador,16,6,20,11,"['angelutrix', 'Axyela2508', 'EL Primo', 'Aaronnn17']",Unrated,,"['Tejo', 'Miks', 'Chamber', 'Gekko', 'Jett']",232.045,0,3,0,9,13,,
375f4d30-e79b-47a5-8639-990f5f9ae4f8,rondax,Bind,Unrated,Miks,Controlador,17,21,18,5,"['Aaronnn17', '1236987', 'angelutrix', 'Axyela2508']",Unrated,,"['Miks', 'Raze', 'Sage', 'Tejo', 'Viper']",267.095,4,2,1,13,8,,
51590b02-5acc-46c0-b347-76fb3656acd2,rondax,Corrode,Unrated,Phoenix,Duelista,9,2,16,3,"['SullyAk', 'Aaronnn17', 'Axyela2508', 'angelutrix']",Unrated,,"['Miks', 'Chamber', 'Fade', 'Waylay', 'Phoenix']",167.444,3,6,0,5,13,,
376c981b-4602-44fc-b6ab-f4c23dc532ac,rondax,Bind,Unrated,Miks,Controlador,11,11,11,6,"['angelutrix', 'Chiste sad002', 'ImTheNoobMaster', 'エリック']",Unrated,,"['Chamber', 'Neon', 'Miks', 'Clove', 'Omen']",198.529,0,2,1,13,4,,
3c906c3d-54e7-4c21-bc0c-b34449262103,rondax,Abyss,Unrated,Reyna,Duelista,7,2,10,3,"['Chiste sad002', 'Luckiest', 'angelutrix', 'Borja11pro']",Unrated,,"['Gekko', 'Deadlock', 'Miks', 'Reyna', 'Chamber']",131.938,1,4,0,3,9,,
cb3d7345-b2c4-48c0-8410-92502c39db42,rondax,Bind,Competitive,Skye,Iniciador,27,20,16,10,"['Aaronnn17', 'Axyela2508', 'Chiste sad002', 'mamipito']",Bronze,3.0,"['Brimstone', 'Sage', 'Neon', 'Killjoy', 'Skye']",282.423,4,1,0,12,14,,
8b53de4d-35d5-4e6b-ad50-eb8dd9f8f63f,rondax,Fracture,Unrated,Reyna,Duelista,5,4,4,1,"['Chiste sad002', 'Aaronnn17', 'mamipito', 'Axyela2508']",Unrated,,"['Neon', 'Omen', 'Deadlock', 'Skye', 'Reyna']",113.857,1,1,1,5,1,,
eb8a939e-2cfc-4438-9b04-02e2ed73c289,rondax,Breeze,Unrated,Miks,Controlador,23,18,16,11,"['Venomgirl', 'Aaronnn17', 'Axyela2508', 'angelutrix']",Unrated,,"['Skye', 'Chamber', 'Raze', 'Viper', 'Miks']",303.609,1,6,2,13,10,,
e52a9066-d920-4390-81e0-7805b79c2bad,rondax,Haven,Competitive,Reyna,Duelista,23,4,15,11,"['angelutrix', 'Aaronnn17', 'Axyela2508', 'papa pito']",Bronze,3.0,"['KAY/O', 'Skye', 'Sage', 'Astra', 'Reyna']",296.143,2,1,3,13,8,,
18e193fb-25bd-4e36-826c-f3cca2891b0c,rondax,Lotus,Competitive,Reyna,Duelista,20,6,15,6,"['angelutrix', 'Aaronnn17', 'Axyela2508', 'papa pito']",Bronze,3.0,"['Tejo', 'Harbor', 'Deadlock', 'Skye', 'Reyna']",263.182,0,4,0,9,13,,
19a103d5-1f84-43e6-8b76-eab4382d0ecf,rondax,Bind,Premier,Skye,Iniciador,18,11,20,8,"['Aaronnn17', 'mamipito', 'Axyela2508', 'Chiste sad002']",Unrated,,"['Brimstone', 'Killjoy', 'Sage', 'Neon', 'Skye']",248.727,3,2,0,9,13,,
db6aba56-36d0-42cd-a1dc-48a8444091d3,rondax,Bind,Premier,Brimstone,Controlador,6,5,14,1,"['Aaronnn17', 'mamipito', 'Axyela2508', 'Chiste sad002']",Unrated,,"['Raze', 'KAY/O', 'Sage', 'Brimstone', 'Killjoy']",112.688,0,0,0,3,13,,
75378d13-50a7-4744-8a4e-22a5b13518a9,rondax,Breeze,Competitive,Reyna,Duelista,30,6,16,18,"['Alvaro28', 'Chiste sad002', 'Aaronnn17', 'mamipito']",Bronze,3.0,"['Miks', 'Reyna', 'Killjoy', 'Chamber', 'KAY/O']",399.818,8,0,1,13,9,,
2787b341-d571-4182-9964-07652c75eb3c,rondax,Ascent,Unrated,Tejo,Iniciador,18,5,12,5,"['Alvaro28', 'Aaronnn17', 'RoadToPlastic', 'MordecaieRigby']",Unrated,,"['Jett', 'Harbor', 'Tejo', 'Chamber', 'Waylay']",250.316,2,0,2,13,6,,
cffba954-eab8-469c-b3b1-6e24c9793f2f,rondax,Split,Unrated,Brimstone,Controlador,8,9,16,4,"['Tsiloks', 'Alvaro28', 'KHANOVICAS', 'Aaronnn17']",Unrated,,"['Phoenix', 'Breach', 'Brimstone', 'Jett', 'Chamber']",135.158,0,1,0,6,13,,
2cd358b0-4cb3-47a4-9076-467ac8a72e71,rondax,Ascent,Premier,Reyna,Duelista,21,3,18,15,"['Axyela2508', 'mamipito', 'papa pito', 'angelutrix']",Unrated,,"['Miks', 'Killjoy', 'Chamber', 'Reyna', 'Skye']",305.0,3,3,0,8,13,,
25907c5e-7836-4ae3-ae0f-64ee85f771b0,rondax,Ascent,Premier,Reyna,Duelista,10,3,14,7,"['papa pito', 'Axyela2508', 'mamipito', 'angelutrix']",Unrated,,"['Omen', 'Reyna', 'Sage', 'Skye', 'Killjoy']",208.312,1,3,0,3,13,,
c23b1667-705e-4051-bbc6-371da32f83f0,rondax,Lotus,Unrated,Reyna,Duelista,11,6,14,3,"['papa pito', 'Axyela2508', 'angelutrix', 'mamipito']",Unrated,,"['Astra', 'Sage', 'Reyna', 'Skye', 'Killjoy']",172.048,2,3,0,8,9,,
30a29614-a20a-46f6-a5e4-f89766e970db,rondax,Split,Spike Rush,Skye,Iniciador,2,3,5,1,"['Mrangel45', 'Axyela2508', 'papa pito', 'mamipito']",Unrated,,"['Reyna', 'Sage', 'Skye', 'Omen', 'Killjoy']",96.429,0,2,0,3,4,,
0acf19df-9649-48bf-82e0-2fb9ffe9d632,rondax,Pearl,Competitive,Miks,Controlador,17,8,16,11,"['angelutrix', 'DracoGamer', 'Imthebiggestbird', 'mamipito']",Silver,2.0,"['Skye', 'Fade', 'Neon', 'Miks', 'Killjoy']",234.263,0,2,0,6,13,,
133916b0-27ed-44df-bb4b-e3805cfb8f89,rondax,Ascent,Competitive,Reyna,Duelista,14,3,19,10,"['Axyela2508', 'URAMAKI', 'Aaronnn17', 'mamipito']",Silver,1.0,"['Tejo', 'Omen', 'Phoenix', 'Killjoy', 'Reyna']",190.87,4,4,0,10,13,,
eb306a08-8c72-4915-9016-204696d4ff5e,rondax,Fracture,Competitive,Reyna,Duelista,10,0,14,6,"['URAMAKI', 'Aaronnn17', 'Axyela2508', 'mamipito']",Silver,2.0,"['Omen', 'Chamber', 'Sage', 'Skye', 'Reyna']",213.667,0,1,0,2,13,,
c1b2e4ea-ae4b-462f-adfe-2edea11a78ab,rondax,Lotus,Premier,Iso,Duelista,14,4,16,9,"['Aaronnn17', 'Axyela2508', 'angelutrix', 'mamipito']",Unrated,,"['Harbor', 'Iso', 'Sage', 'Vyse', 'Skye']",218.65,3,3,1,13,7,,
767031e1-a8d7-47d8-9bb4-7a0fb8917b70,rondax,Lotus,Premier,Reyna,Duelista,21,1,17,11,"['Axyela2508', 'angelutrix', 'mamipito', 'Aaronnn17']",Unrated,,"['Sage', 'Vyse', 'Skye', 'Harbor', 'Reyna']",261.273,1,5,0,9,13,,
f2df4ee9-87da-4b8f-bb70-145521b05067,rondax,Corrode,Unrated,Reyna,Duelista,18,1,15,8,"['Axyela2508', 'angelutrix', 'mamipito', 'Aaronnn17']",Unrated,,"['Reyna', 'Sage', 'Vyse', 'Skye', 'Harbor']",299.471,4,2,0,4,13,,
c07f2ea1-1aba-4ce6-88c5-8978ab4d2708,rondax,Abyss,Unrated,Reyna,Duelista,21,3,15,7,"['angelutrix', 'christovell', 'papa pito', 'mamipito']",Unrated,,"['Chamber', 'Sage', 'Skye', 'Omen', 'Reyna']",282.7,1,0,0,7,13,,
