id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
a93d6d81-2b86-4230-a7fc-36fc4c302220,メERIIKメ,Split,Competitive,Chamber,Centinela,13,6,10,4,"['pokeralho1234', 'IΔNpeek', 'Mariluzgochaツ', 'MAGOUJO']",Platinum,1.0,"['Chamber', 'Fade', 'Reyna', 'Omen', 'Phoenix']",187.789,2,1,1,13,6,1787345118,"Friday, August 21, 2026 08:45 PM"
6a0c80c9-8ca5-48d4-9b30-da81d2367934,メERIIKメ,Sunset,Competitive,Chamber,Centinela,25,2,21,11,"['Flixie', 'Kiril', 'iMonkeyss', 'malmat188']",Platinum,1.0,"['Clove', 'Jett', 'Phoenix', 'Chamber', 'Skye']",236.6,6,4,1,15,15,1787326155,"Friday, August 21, 2026 03:29 PM"
105314c6-3972-45a2-b789-fad08c0f5d61,メERIIKメ,Lotus,Competitive,Clove,Controlador,11,3,15,8,"['ALEXVALP', 'xavi hernandez', 'Ellpiraa', 'Pétalo']",Platinum,1.0,"['Tejo', 'Clove', 'Chamber', 'Jett', 'Phoenix']",217.533,0,1,0,2,13,1787321666,"Friday, August 21, 2026 02:14 PM"
7330cf36-1290-43d1-ae36-3dd5f1783b1c,メERIIKメ,Drift,Team Deathmatch,Reyna,Duelista,20,11,20,18,"['Theking47', 'chopchop', 'ElVasco', 'Cherry Aim']",Unrated,,"['Reyna', 'Neon', 'Sova', 'Chamber', 'Jett']",5868.0,0,1,1,100,93,1787320995,"Friday, August 21, 2026 02:03 PM"
c489b411-d327-44c5-a413-709d70b10d0b,メERIIKメ,Piazza,Team Deathmatch,Reyna,Duelista,14,4,22,10,"['666', 'MamiWest', 'vayn', 'HP Jardivan']",Unrated,,"['Phoenix', 'Reyna', 'Jett', 'Waylay', 'Chamber']",3792.0,0,0,0,75,100,1787320507,"Friday, August 21, 2026 01:55 PM"
fa11d466-856d-4f20-a6d8-6cabf513936a,メERIIKメ,Abyss,Competitive,Fade,Iniciador,4,2,14,4,"['yakomo', 'ウルフィー', 'Marquitos Carola', 'depsiro']",Platinum,1.0,"['Reyna', 'Clove', 'Fade', 'Chamber', 'Phoenix']",106.143,1,1,0,1,13,1787581661,"Monday, August 24, 2026 02:27 PM"
00b6c983-e1c7-4a86-85fc-305de54d1870,メERIIKメ,Kasbah,Team Deathmatch,Reyna,Duelista,16,4,24,11,"['Miles Morales', '7 frutos', 'Roca Rey', 'gomesss']",Unrated,,"['Reyna', 'Jett', 'Gekko', 'Sova', 'Phoenix']",4101.0,1,0,0,99,100,1787580760,"Monday, August 24, 2026 02:12 PM"
329399cf-6b79-4934-a685-242f5d97e3c3,メERIIKメ,Ascent,Competitive,Chamber,Centinela,11,5,20,5,"['itachu', 'Matapiojo7', 'Txivo', 'Iristócrata']",Platinum,1.0,"['Sova', 'Reyna', 'Sage', 'Chamber', 'Brimstone']",153.652,3,3,0,10,13,1787592423,"Monday, August 24, 2026 05:27 PM"
1a0a9db7-599d-4fb6-8121-cd635e0847c1,メERIIKメ,Summit,Competitive,Fade,Iniciador,9,5,11,7,"['моро хугетоy', 'Ξέλα x Modrić', 'ifwchambical', 'Nami Swannn']",Platinum,1.0,"['Clove', 'Fade', 'Reyna', 'Chamber', 'Raze']",160.562,0,2,1,13,3,1787666956,"Tuesday, August 25, 2026 02:09 PM"
7b2c1c9b-eca4-4a44-81cd-d7b897abbcf1,メERIIKメ,Piazza,Team Deathmatch,Reyna,Duelista,26,10,13,22,"['therubenxx', '4rib', 'Shadows23', 'fporotakuapesto']",Unrated,,"['Killjoy', 'Raze', 'Jett', 'Neon', 'Reyna']",7312.0,1,0,2,100,69,1787666385,"Tuesday, August 25, 2026 01:59 PM"
8465f256-5f41-48d8-8f92-8498b225cbdb,メERIIKメ,Lotus,Competitive,Fade,Iniciador,16,6,18,17,"['Derrior', 'Vitinho', 'Celíaco Promedio', 'ChorizoMantekero']",Platinum,1.0,"['Omen', 'Vyse', 'Chamber', 'Jett', 'Fade']",197.25,3,2,0,11,13,1787675313,"Tuesday, August 25, 2026 04:28 PM"
b0682db4-421b-45c1-9b30-9d0acc65830a,メERIIKメ,Summit,Competitive,Chamber,Centinela,10,8,15,7,"['AJS', 'Poeta solitario', 'Saturp04', 'Hipnosapo']",Platinum,1.0,"['Phoenix', 'Omen', 'Chamber', 'Waylay', 'Gekko']",153.19,0,4,1,13,8,1787766127,"Wednesday, August 26, 2026 05:42 PM"
db755839-0bf7-48be-bbbb-dccef9f3136f,メERIIKメ,Drift,Team Deathmatch,Reyna,Duelista,18,4,19,14,"['sawari', 'Senyaツ', 'Choncc', 'Ansss29']",Unrated,,"['Reyna', 'Raze', 'Phoenix', 'Jett', 'Iso']",4998.0,0,1,2,100,84,1787765236,"Wednesday, August 26, 2026 05:27 PM"
ccacf828-ced5-4ad9-a2e6-07b70a9ae485,メERIIKメ,District,Team Deathmatch,Reyna,Duelista,24,7,22,16,"['Alaxias14', 'Chemaher', 'maluma01', 'Javiiloopeez']",Unrated,,"['Iso', 'KAY/O', 'Reyna', 'Phoenix', 'Clove']",6874.0,0,0,1,100,91,1788024608,"Saturday, August 29, 2026 05:30 PM"
3c314d0a-8465-405a-a375-a4525aeac8a3,メERIIKメ,Ascent,Competitive,Fade,Iniciador,20,4,15,20,"['Azuax', 'El silla ツ', 'EnekitoAG', 'JLN404']",Platinum,1.0,"['Clove', 'Fade', 'Chamber', 'Cypher', 'Phoenix']",258.0,5,1,0,8,13,1788033093,"Saturday, August 29, 2026 07:51 PM"
68e98254-7f39-4241-a839-3222a3001c22,メERIIKメ,Fracture,Unrated,Reyna,Duelista,15,5,18,14,"['INF3RN4P3', 'POЯCUЯIOSO', 'cybeerleek', 'MUPI']",Unrated,,"['Reyna', 'Yoru', 'KAY/O', 'Miks', 'Viper']",240.85,5,2,0,7,13,1788107457,"Sunday, August 30, 2026 04:30 PM"
9fe6b25b-653f-47ac-8e9a-30cf683dc9a1,メERIIKメ,Haven,Unrated,Neon,Duelista,26,3,15,21,"['MUPI', 'INF3RN4P3', 'POЯCUЯIOSO', 'cybeerleek']",Unrated,,"['Neon', 'Omen', 'Cypher', 'Breach', 'Phoenix']",318.652,5,4,1,13,10,1788104974,"Sunday, August 30, 2026 03:49 PM"
b78b8a82-08c5-4ed6-9aa6-8b6409cd9a58,メERIIKメ,Haven,Competitive,Fade,Iniciador,11,5,15,7,"['Man6el', 'manodedios83', 'MKING', 'JackQ']",Platinum,1.0,"['Yoru', 'Waylay', 'Viper', 'Fade', 'Chamber']",140.909,1,1,1,13,9,1788540228,"Friday, September 04, 2026 04:43 PM"
f8105e21-d5b6-45d4-a68e-ad6aff3d3ef4,メERIIKメ,Split,Competitive,Clove,Controlador,18,5,24,13,"['Orlik', 'not zenin', 'asttiaan', 'Kemba Walker']",Platinum,1.0,"['Chamber', 'Sage', 'Sova', 'Raze', 'Clove']",204.769,4,2,0,12,14,1788559450,"Friday, September 04, 2026 10:04 PM"
8ab8ad5f-7bd2-4d23-8714-88b5020e2e53,メERIIKメ,Abyss,Swiftplay,Breach,Iniciador,5,3,5,6,"['drillsmh', 'forever', 'obsessixn', 'NEW']",Unrated,,"['Omen', 'Clove', 'Reyna', 'Breach', 'Neon']",196.429,0,1,1,5,2,1788558704,"Friday, September 04, 2026 09:51 PM"
d368370a-9ba4-47be-96ec-f118e8227562,メERIIKメ,Ascent,Competitive,Iso,Duelista,25,5,22,17,"['HugoBoss159', 'fake clone', 'Ironroadrad', 'Machete Carrasco']",Platinum,1.0,"['Reyna', 'Sage', 'Sova', 'Brimstone', 'Iso']",225.833,2,2,0,14,16,1788713378,"Sunday, September 06, 2026 04:49 PM"
d07667e8-346e-4246-913d-3e09d53954bc,メERIIKメ,Summit,Competitive,Clove,Controlador,22,3,18,13,"['iMıssHerツ', 'denkitokito', 'Pequeno', 'iLoveherッ']",Platinum,1.0,"['Phoenix', 'Fade', 'Killjoy', 'Reyna', 'Clove']",255.818,1,0,1,13,9,1788889996,"Tuesday, September 08, 2026 05:53 PM"
7cd3ae83-59f5-4b8c-a567-993a371a9a74,メERIIKメ,Haven,Competitive,Clove,Controlador,14,3,16,11,"['AliciaPrinc', 'xxprometheus57', 'Calypso01', 'Zire']",Platinum,1.0,"['Skye', 'Jett', 'Clove', 'Sage', 'Killjoy']",287.438,1,2,0,3,13,1788945949,"Wednesday, September 09, 2026 09:25 AM"
af6f3c24-3735-4190-a0c2-727cdf973f5c,メERIIKメ,Abyss,Competitive,Fade,Iniciador,18,2,13,15,"['Ferd', 'Suarez', 'ZeeXxx', 'xanax']",Platinum,1.0,"['Jett', 'Fade', 'Clove', 'Deadlock', 'Reyna']",239.952,4,2,1,13,8,1788942460,"Wednesday, September 09, 2026 08:27 AM"
fc17e97a-ed49-44ef-a021-80c69dbc7016,メERIIKメ,Lotus,Competitive,Clove,Controlador,26,7,18,22,"['Rastyy', 'Camões', 'Sosaa', 'CloveEsMujer']",Platinum,1.0,"['KAY/O', 'Jett', 'Raze', 'Chamber', 'Clove']",298.13,2,3,1,13,10,1789072893,"Thursday, September 10, 2026 08:41 PM"
